"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,01/02/19 03:00:00 PM,66.708,0.00,,,,
2,01/02/19 04:00:00 PM,63.282,,,,,
3,01/02/19 05:00:00 PM,54.669,,,,,
4,01/02/19 06:00:00 PM,44.560,,,,,
5,01/02/19 07:00:00 PM,43.831,,,,,
6,01/02/19 08:00:00 PM,45.466,,,,,
7,01/02/19 09:00:00 PM,44.379,,,,,
8,01/02/19 10:00:00 PM,44.742,,,,,
9,01/02/19 11:00:00 PM,43.282,,,,,
10,01/03/19 12:00:00 AM,44.195,,,,,
11,01/03/19 01:00:00 AM,43.648,,,,,
12,01/03/19 02:00:00 AM,44.195,,,,,
13,01/03/19 03:00:00 AM,42.732,,,,,
14,01/03/19 04:00:00 AM,43.648,,,,,
15,01/03/19 05:00:00 AM,43.099,,,,,
16,01/03/19 06:00:00 AM,42.548,,,,,
17,01/03/19 07:00:00 AM,43.648,,,,,
18,01/03/19 08:00:00 AM,44.560,,,,,
19,01/03/19 09:00:00 AM,47.446,,,,,
20,01/03/19 10:00:00 AM,67.050,,,,,
21,01/03/19 11:00:00 AM,69.278,,,,,
22,01/03/19 12:00:00 PM,68.763,,,,,
23,01/03/19 01:00:00 PM,69.107,,,,,
24,01/03/19 02:00:00 PM,64.481,,,,,
25,01/03/19 03:00:00 PM,69.964,,,,,
26,01/03/19 04:00:00 PM,67.050,,,,,
27,01/03/19 05:00:00 PM,52.750,,,,,
28,01/03/19 06:00:00 PM,49.050,,,,,
29,01/03/19 07:00:00 PM,47.446,,,,,
30,01/03/19 08:00:00 PM,46.908,,,,,
31,01/03/19 09:00:00 PM,47.088,,,,,
32,01/03/19 10:00:00 PM,46.188,,,,,
33,01/03/19 11:00:00 PM,45.104,,,,,
34,01/04/19 12:00:00 AM,45.648,,,,,
35,01/04/19 01:00:00 AM,45.466,,,,,
36,01/04/19 02:00:00 AM,43.466,,,,,
37,01/04/19 03:00:00 AM,44.560,,,,,
38,01/04/19 04:00:00 AM,45.648,,,,,
39,01/04/19 05:00:00 AM,45.286,,,,,
40,01/04/19 06:00:00 AM,44.922,,,,,
41,01/04/19 07:00:00 AM,44.560,,,,,
42,01/04/19 08:00:00 AM,45.104,,,,,
43,01/04/19 09:00:00 AM,48.871,,,,,
44,01/04/19 10:00:00 AM,65.680,,,,,
45,01/04/19 11:00:00 AM,62.769,,,,,
46,01/04/19 12:00:00 PM,63.797,,,,,
47,01/04/19 01:00:00 PM,67.735,,,,,
48,01/04/19 02:00:00 PM,68.421,,,,,
49,01/04/19 03:00:00 PM,67.221,,,,,
50,01/04/19 04:00:00 PM,55.884,,,,,
51,01/04/19 05:00:00 PM,51.699,,,,,
52,01/04/19 06:00:00 PM,48.339,,,,,
53,01/04/19 07:00:00 PM,46.369,,,,,
54,01/04/19 08:00:00 PM,48.517,,,,,
55,01/04/19 09:00:00 PM,46.548,,,,,
56,01/04/19 10:00:00 PM,48.517,,,,,
57,01/04/19 11:00:00 PM,49.228,,,,,
58,01/05/19 12:00:00 AM,50.643,,,,,
59,01/05/19 01:00:00 AM,50.995,,,,,
60,01/05/19 02:00:00 AM,48.339,,,,,
61,01/05/19 03:00:00 AM,47.802,,,,,
62,01/05/19 04:00:00 AM,49.228,,,,,
63,01/05/19 05:00:00 AM,49.228,,,,,
64,01/05/19 06:00:00 AM,49.759,,,,,
65,01/05/19 06:32:08 AM,,0.01,,,,
66,01/05/19 06:36:26 AM,,0.02,,,,
67,01/05/19 06:39:20 AM,,0.03,,,,
68,01/05/19 06:44:43 AM,,0.04,,,,
69,01/05/19 06:52:35 AM,,0.05,,,,
70,01/05/19 07:00:00 AM,47.088,,,,,
71,01/05/19 07:05:16 AM,,0.06,,,,
72,01/05/19 07:08:13 AM,,0.07,,,,
73,01/05/19 07:10:18 AM,,0.08,,,,
74,01/05/19 07:12:54 AM,,0.09,,,,
75,01/05/19 07:14:54 AM,,0.10,,,,
76,01/05/19 07:20:50 AM,,0.11,,,,
77,01/05/19 07:54:39 AM,,0.12,,,,
78,01/05/19 08:00:00 AM,47.266,,,,,
79,01/05/19 08:10:43 AM,,0.13,,,,
80,01/05/19 08:20:24 AM,,0.14,,,,
81,01/05/19 08:28:10 AM,,0.15,,,,
82,01/05/19 08:33:31 AM,,0.16,,,,
83,01/05/19 09:00:00 AM,48.339,,,,,
84,01/05/19 10:00:00 AM,49.937,,,,,
85,01/05/19 11:00:00 AM,50.466,,,,,
86,01/05/19 12:00:00 PM,50.819,,,,,
87,01/05/19 12:20:17 PM,,0.17,,,,
88,01/05/19 12:21:25 PM,,0.18,,,,
89,01/05/19 12:22:56 PM,,0.19,,,,
90,01/05/19 12:47:27 PM,,0.20,,,,
