"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Attached (LGR S/N: 20309218, SEN S/N: 20309218)","Host Connected (LGR S/N: 20309218, SEN S/N: 20309218)","Stopped (LGR S/N: 20309218, SEN S/N: 20309218)","End Of File (LGR S/N: 20309218, SEN S/N: 20309218)"
1,01/19/19 03:00:00 PM,68.592,0.00,,,,
2,01/19/19 04:00:00 PM,63.282,,,,,
3,01/19/19 05:00:00 PM,58.820,,,,,
4,01/19/19 06:00:00 PM,56.057,,,,,
5,01/19/19 07:00:00 PM,56.230,,,,,
6,01/19/19 08:00:00 PM,53.274,,,,,
7,01/19/19 09:00:00 PM,54.147,,,,,
8,01/19/19 10:00:00 PM,52.401,,,,,
9,01/19/19 11:00:00 PM,51.874,,,,,
10,01/20/19 12:00:00 AM,51.523,,,,,
11,01/20/19 01:00:00 AM,52.050,,,,,
12,01/20/19 02:00:00 AM,52.576,,,,,
13,01/20/19 03:00:00 AM,53.274,,,,,
14,01/20/19 04:00:00 AM,52.576,,,,,
15,01/20/19 05:00:00 AM,53.623,,,,,
16,01/20/19 06:00:00 AM,53.449,,,,,
17,01/20/19 06:12:13 AM,,0.01,,,,
18,01/20/19 06:23:18 AM,,0.02,,,,
19,01/20/19 06:57:31 AM,,0.03,,,,
20,01/20/19 07:00:00 AM,53.100,,,,,
21,01/20/19 07:18:41 AM,,0.04,,,,
22,01/20/19 08:00:00 AM,52.925,,,,,
23,01/20/19 08:23:12 AM,,0.05,,,,
24,01/20/19 09:00:00 AM,52.925,,,,,
25,01/20/19 09:11:57 AM,,0.06,,,,
26,01/20/19 09:25:07 AM,,0.07,,,,
27,01/20/19 09:28:38 AM,,0.08,,,,
28,01/20/19 09:36:50 AM,,0.09,,,,
29,01/20/19 09:47:57 AM,,0.10,,,,
30,01/20/19 09:57:50 AM,,0.11,,,,
31,01/20/19 10:00:00 AM,53.623,,,,,
32,01/20/19 10:04:32 AM,,0.12,,,,
33,01/20/19 10:20:27 AM,,0.13,,,,
34,01/20/19 10:36:27 AM,,0.14,,,,
35,01/20/19 10:48:34 AM,,0.15,,,,
36,01/20/19 10:58:14 AM,,0.16,,,,
37,01/20/19 11:00:00 AM,54.495,,,,,
38,01/20/19 11:10:26 AM,,0.17,,,,
39,01/20/19 11:26:02 AM,,0.18,,,,
40,01/20/19 11:38:10 AM,,0.19,,,,
41,01/20/19 11:41:28 AM,,0.20,,,,
42,01/20/19 11:47:17 AM,,0.21,,,,
43,01/20/19 11:51:24 AM,,0.22,,,,
44,01/20/19 11:55:15 AM,,0.23,,,,
45,01/20/19 11:59:09 AM,,0.24,,,,
46,01/20/19 12:00:00 PM,55.364,,,,,
47,01/20/19 12:05:39 PM,,0.25,,,,
48,01/20/19 12:11:33 PM,,0.26,,,,
49,01/20/19 12:25:39 PM,,0.27,,,,
50,01/20/19 12:40:44 PM,,0.28,,,,
51,01/20/19 01:00:00 PM,54.322,,,,,
52,01/20/19 02:00:00 PM,52.925,,,,,
53,01/20/19 02:05:02 PM,,0.29,,,,
54,01/20/19 03:00:00 PM,51.699,,,,,
55,01/20/19 03:03:06 PM,,0.30,,,,
56,01/20/19 04:00:00 PM,52.401,,,,,
57,01/20/19 05:00:00 PM,49.404,,,,,
58,01/20/19 05:19:18 PM,,0.31,,,,
59,01/20/19 06:00:00 PM,48.339,,,,,
60,01/20/19 06:00:05 PM,,0.32,,,,
61,01/20/19 06:10:53 PM,,0.33,,,,
62,01/20/19 06:25:11 PM,,0.34,,,,
63,01/20/19 06:28:42 PM,,0.35,,,,
64,01/20/19 06:36:45 PM,,0.36,,,,
65,01/20/19 06:44:52 PM,,0.37,,,,
66,01/20/19 06:50:58 PM,,0.38,,,,
67,01/20/19 07:00:00 PM,44.195,,,,,
68,01/20/19 07:03:26 PM,,0.39,,,,
69,01/20/19 07:10:22 PM,,0.40,,,,
70,01/20/19 07:49:06 PM,,0.41,,,,
71,01/20/19 08:00:00 PM,43.282,,,,,
72,01/20/19 09:00:00 PM,43.466,,,,,
73,01/20/19 10:00:00 PM,42.548,,,,,
74,01/20/19 11:00:00 PM,41.810,,,,,
75,01/21/19 12:00:00 AM,41.625,,,,,
76,01/21/19 01:00:00 AM,41.254,,,,,
77,01/21/19 02:00:00 AM,41.254,,,,,
78,01/21/19 02:23:34 AM,,0.42,,,,
79,01/21/19 03:00:00 AM,40.881,,,,,
80,01/21/19 03:12:23 AM,,0.43,,,,
81,01/21/19 03:15:01 AM,,0.44,,,,
82,01/21/19 03:30:16 AM,,0.45,,,,
83,01/21/19 04:00:00 AM,41.994,,,,,
84,01/21/19 05:00:00 AM,40.509,,,,,
85,01/21/19 06:00:00 AM,39.947,,,,,
86,01/21/19 07:00:00 AM,39.196,,,,,
87,01/21/19 08:00:00 AM,41.994,,,,,
88,01/21/19 09:00:00 AM,48.695,,,,,
89,01/21/19 10:00:00 AM,56.404,,,,,
90,01/21/19 11:00:00 AM,78.624,,,,,
91,01/21/19 12:00:00 PM,88.282,,,,,
92,01/21/19 01:00:00 PM,86.097,,,,,
93,01/21/19 02:00:00 PM,69.964,,,,,
94,01/21/19 03:00:00 PM,57.785,,,,,
95,01/21/19 04:00:00 PM,52.401,,,,,
96,01/21/19 05:00:00 PM,47.802,,,,,
97,01/21/19 06:00:00 PM,43.099,,,,,
98,01/21/19 07:00:00 PM,41.994,,,,,
99,01/21/19 08:00:00 PM,41.439,,,,,
100,01/21/19 09:00:00 PM,40.696,,,,,
101,01/21/19 10:00:00 PM,41.254,,,,,
102,01/21/19 11:00:00 PM,42.179,,,,,
103,01/22/19 12:00:00 AM,41.994,,,,,
104,01/22/19 01:00:00 AM,43.099,,,,,
105,01/22/19 02:00:00 AM,42.732,,,,,
106,01/22/19 03:00:00 AM,42.732,,,,,
107,01/22/19 04:00:00 AM,41.994,,,,,
108,01/22/19 05:00:00 AM,41.994,,,,,
