"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Detached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,01/26/19 10:00:00 AM,54.669,0.00,,,,
2,01/26/19 11:00:00 AM,63.797,,,,,
3,01/26/19 12:00:00 PM,62.254,,,,,
4,01/26/19 01:00:00 PM,67.906,,,,,
5,01/26/19 02:00:00 PM,66.708,,,,,
6,01/26/19 03:00:00 PM,64.996,,,,,
7,01/26/19 04:00:00 PM,61.912,,,,,
8,01/26/19 05:00:00 PM,58.476,,,,,
9,01/26/19 06:00:00 PM,53.623,,,,,
10,01/26/19 07:00:00 PM,51.346,,,,,
11,01/26/19 08:00:00 PM,49.937,,,,,
12,01/26/19 09:00:00 PM,48.160,,,,,
13,01/26/19 10:00:00 PM,47.266,,,,,
14,01/26/19 11:00:00 PM,46.548,,,,,
15,01/27/19 12:00:00 AM,45.648,,,,,
16,01/27/19 01:00:00 AM,46.008,,,,,
17,01/27/19 02:00:00 AM,46.008,,,,,
18,01/27/19 03:00:00 AM,45.828,,,,,
19,01/27/19 04:00:00 AM,46.728,,,,,
20,01/27/19 05:00:00 AM,45.466,,,,,
21,01/27/19 06:00:00 AM,46.008,,,,,
22,01/27/19 07:00:00 AM,45.286,,,,,
23,01/27/19 08:00:00 AM,45.466,,,,,
24,01/27/19 09:00:00 AM,49.228,,,,,
25,01/27/19 10:00:00 AM,61.054,,,,,
26,01/27/19 11:00:00 AM,71.168,,,,,
27,01/27/19 12:00:00 PM,75.139,,,,,
28,01/27/19 01:00:00 PM,69.964,,,,,
29,01/27/19 02:00:00 PM,70.308,,,,,
30,01/27/19 03:00:00 PM,71.856,,,,,
31,01/27/19 04:00:00 PM,66.537,,,,,
32,01/27/19 05:00:00 PM,63.111,,,,,
33,01/27/19 06:00:00 PM,55.364,,,,,
34,01/27/19 07:00:00 PM,51.874,,,,,
35,01/27/19 08:00:00 PM,50.113,,,,,
36,01/27/19 09:00:00 PM,48.517,,,,,
37,01/27/19 10:00:00 PM,47.802,,,,,
38,01/27/19 11:00:00 PM,48.160,,,,,
39,01/28/19 12:00:00 AM,45.648,,,,,
40,01/28/19 01:00:00 AM,45.286,,,,,
41,01/28/19 02:00:00 AM,45.466,,,,,
42,01/28/19 03:00:00 AM,46.369,,,,,
43,01/28/19 04:00:00 AM,46.548,,,,,
44,01/28/19 05:00:00 AM,45.828,,,,,
45,01/28/19 06:00:00 AM,46.369,,,,,
46,01/28/19 07:00:00 AM,46.188,,,,,
47,01/28/19 08:00:00 AM,47.446,,,,,
48,01/28/19 09:00:00 AM,51.874,,,,,
49,01/28/19 10:00:00 AM,57.096,,,,,
50,01/28/19 11:00:00 AM,72.372,,,,,
51,01/28/19 12:00:00 PM,72.545,,,,,
52,01/28/19 01:00:00 PM,63.968,,,,,
53,01/28/19 02:00:00 PM,63.797,,,,,
54,01/28/19 03:00:00 PM,65.338,,,,,
55,01/28/19 04:00:00 PM,65.167,,,,,
56,01/28/19 05:00:00 PM,59.337,,,,,
57,01/28/19 06:00:00 PM,56.230,,,,,
58,01/28/19 07:00:00 PM,54.495,,,,,
59,01/28/19 08:00:00 PM,53.449,,,,,
60,01/28/19 09:00:00 PM,52.401,,,,,
61,01/28/19 10:00:00 PM,50.643,,,,,
62,01/28/19 11:00:00 PM,47.624,,,,,
63,01/29/19 12:00:00 AM,46.728,,,,,
64,01/29/19 01:00:00 AM,44.922,,,,,
65,01/29/19 02:00:00 AM,43.831,,,,,
66,01/29/19 03:00:00 AM,44.560,,,,,
67,01/29/19 04:00:00 AM,46.008,,,,,
68,01/29/19 05:00:00 AM,46.908,,,,,
69,01/29/19 06:00:00 AM,47.446,,,,,
70,01/29/19 07:00:00 AM,48.339,,,,,
71,01/29/19 08:00:00 AM,50.290,,,,,
72,01/29/19 09:00:00 AM,54.495,,,,,
73,01/29/19 10:00:00 AM,64.481,,,,,
74,01/29/19 11:00:00 AM,70.137,,,,,
75,01/29/19 12:00:00 PM,74.098,,,,,
76,01/29/19 01:00:00 PM,68.934,,,,,
77,01/29/19 02:00:00 PM,69.793,,,,,
78,01/29/19 03:00:00 PM,65.338,,,,,
79,01/29/19 04:00:00 PM,62.598,,,,,
80,01/29/19 05:00:00 PM,58.993,,,,,
81,01/29/19 06:00:00 PM,52.401,,,,,
82,01/29/19 07:00:00 PM,49.050,,,,,
83,01/29/19 08:00:00 PM,47.446,,,,,
