"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Host Connected (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,01/27/19 11:00:00 AM,60.712,0.00,,,
2,01/27/19 12:00:00 PM,63.455,,,,
3,01/27/19 01:00:00 PM,66.193,,,,
4,01/27/19 02:00:00 PM,63.455,,,,
5,01/27/19 03:00:00 PM,64.825,,,,
6,01/27/19 04:00:00 PM,69.793,,,,
7,01/27/19 05:00:00 PM,61.741,,,,
8,01/27/19 06:00:00 PM,58.647,,,,
9,01/27/19 07:00:00 PM,56.750,,,,
10,01/27/19 08:00:00 PM,55.537,,,,
11,01/27/19 09:00:00 PM,54.495,,,,
12,01/27/19 10:00:00 PM,53.973,,,,
13,01/27/19 11:00:00 PM,54.495,,,,
14,01/28/19 12:00:00 AM,53.973,,,,
15,01/28/19 01:00:00 AM,54.147,,,,
16,01/28/19 02:00:00 AM,54.147,,,,
17,01/28/19 03:00:00 AM,54.322,,,,
18,01/28/19 04:00:00 AM,54.147,,,,
19,01/28/19 05:00:00 AM,53.449,,,,
20,01/28/19 06:00:00 AM,53.100,,,,
21,01/28/19 07:00:00 AM,53.449,,,,
22,01/28/19 08:00:00 AM,53.274,,,,
23,01/28/19 09:00:00 AM,54.147,,,,
24,01/28/19 10:00:00 AM,56.577,,,,
25,01/28/19 11:00:00 AM,56.923,,,,
26,01/28/19 12:00:00 PM,62.769,,,,
27,01/28/19 01:00:00 PM,61.398,,,,
28,01/28/19 02:00:00 PM,63.797,,,,
29,01/28/19 03:00:00 PM,64.481,,,,
30,01/28/19 04:00:00 PM,64.481,,,,
31,01/28/19 05:00:00 PM,60.883,,,,
32,01/28/19 06:00:00 PM,58.303,,,,
33,01/28/19 07:00:00 PM,56.750,,,,
34,01/28/19 08:00:00 PM,55.017,,,,
35,01/28/19 09:00:00 PM,54.669,,,,
36,01/28/19 10:00:00 PM,53.973,,,,
37,01/28/19 11:00:00 PM,52.750,,,,
38,01/29/19 12:00:00 AM,52.576,,,,
39,01/29/19 01:00:00 AM,51.346,,,,
40,01/29/19 02:00:00 AM,50.643,,,,
41,01/29/19 03:00:00 AM,50.643,,,,
42,01/29/19 04:00:00 AM,51.346,,,,
43,01/29/19 05:00:00 AM,50.819,,,,
44,01/29/19 06:00:00 AM,49.582,,,,
45,01/29/19 07:00:00 AM,49.582,,,,
46,01/29/19 08:00:00 AM,50.819,,,,
47,01/29/19 09:00:00 AM,52.050,,,,
48,01/29/19 10:00:00 AM,51.699,,,,
49,01/29/19 11:00:00 AM,54.495,,,,
50,01/29/19 12:00:00 PM,58.131,,,,
51,01/29/19 01:00:00 PM,63.797,,,,
52,01/29/19 02:00:00 PM,61.912,,,,
53,01/29/19 03:00:00 PM,61.741,,,,
54,01/29/19 04:00:00 PM,61.912,,,,
55,01/29/19 05:00:00 PM,56.404,,,,
56,01/29/19 06:00:00 PM,54.669,,,,
57,01/29/19 07:00:00 PM,53.100,,,,
58,01/29/19 08:00:00 PM,52.576,,,,
59,01/29/19 09:00:00 PM,51.523,,,,
60,01/29/19 10:00:00 PM,50.819,,,,
61,01/29/19 11:00:00 PM,49.759,,,,
62,01/30/19 12:00:00 AM,48.871,,,,
63,01/30/19 01:00:00 AM,48.517,,,,
64,01/30/19 02:00:00 AM,48.160,,,,
65,01/30/19 03:00:00 AM,48.871,,,,
66,01/30/19 04:00:00 AM,48.160,,,,
67,01/30/19 05:00:00 AM,48.517,,,,
68,01/30/19 06:00:00 AM,47.624,,,,
69,01/30/19 07:00:00 AM,47.446,,,,
70,01/30/19 08:00:00 AM,46.908,,,,
71,01/30/19 09:00:00 AM,47.624,,,,
72,01/30/19 10:00:00 AM,48.871,,,,
73,01/30/19 11:00:00 AM,51.172,,,,
74,01/30/19 12:00:00 PM,56.923,,,,
75,01/30/19 01:00:00 PM,60.368,,,,
76,01/30/19 02:00:00 PM,60.539,,,,
77,01/30/19 03:00:00 PM,61.398,,,,
78,01/30/19 04:00:00 PM,56.404,,,,
79,01/30/19 05:00:00 PM,54.495,,,,
80,01/30/19 06:00:00 PM,53.274,,,,
81,01/30/19 07:00:00 PM,52.225,,,,
