"Plot Title: Als"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221, SEN S/N: 20309221)","Host Connected (LGR S/N: 20309221, SEN S/N: 20309221)","Stopped (LGR S/N: 20309221, SEN S/N: 20309221)","End Of File (LGR S/N: 20309221, SEN S/N: 20309221)"
1,02/02/19 01:00:00 PM,61.912,0.00,,,,
2,02/02/19 02:00:00 PM,58.820,,,,,
3,02/02/19 03:00:00 PM,57.096,,,,,
4,02/02/19 04:00:00 PM,54.322,,,,,
5,02/02/19 05:00:00 PM,52.225,,,,,
6,02/02/19 05:00:30 PM,,0.01,,,,
7,02/02/19 05:08:11 PM,,0.02,,,,
8,02/02/19 05:09:26 PM,,0.03,,,,
9,02/02/19 05:11:27 PM,,0.04,,,,
10,02/02/19 05:15:10 PM,,0.05,,,,
11,02/02/19 05:17:19 PM,,0.06,,,,
12,02/02/19 05:18:59 PM,,0.07,,,,
13,02/02/19 05:21:26 PM,,0.08,,,,
14,02/02/19 05:22:14 PM,,0.09,,,,
15,02/02/19 05:23:28 PM,,0.10,,,,
16,02/02/19 05:24:16 PM,,0.11,,,,
17,02/02/19 05:27:07 PM,,0.12,,,,
18,02/02/19 05:30:42 PM,,0.13,,,,
19,02/02/19 05:40:43 PM,,0.14,,,,
20,02/02/19 05:51:11 PM,,0.15,,,,
21,02/02/19 05:58:56 PM,,0.16,,,,
22,02/02/19 06:00:00 PM,49.050,,,,,
23,02/02/19 06:06:07 PM,,0.17,,,,
24,02/02/19 06:10:30 PM,,0.18,,,,
25,02/02/19 06:17:46 PM,,0.19,,,,
26,02/02/19 06:51:07 PM,,0.20,,,,
27,02/02/19 06:55:45 PM,,0.21,,,,
28,02/02/19 06:57:22 PM,,0.22,,,,
29,02/02/19 06:58:38 PM,,0.23,,,,
30,02/02/19 07:00:00 PM,49.404,,,,,
31,02/02/19 07:00:06 PM,,0.24,,,,
32,02/02/19 07:02:01 PM,,0.25,,,,
33,02/02/19 07:04:04 PM,,0.26,,,,
34,02/02/19 07:06:16 PM,,0.27,,,,
35,02/02/19 07:08:24 PM,,0.28,,,,
36,02/02/19 07:11:04 PM,,0.29,,,,
37,02/02/19 07:21:48 PM,,0.30,,,,
38,02/02/19 07:23:27 PM,,0.31,,,,
39,02/02/19 07:26:57 PM,,0.32,,,,
40,02/02/19 07:41:55 PM,,0.33,,,,
41,02/02/19 07:52:43 PM,,0.34,,,,
42,02/02/19 08:00:00 PM,49.404,,,,,
43,02/02/19 08:21:02 PM,,0.35,,,,
44,02/02/19 08:27:40 PM,,0.36,,,,
45,02/02/19 08:32:53 PM,,0.37,,,,
46,02/02/19 08:33:32 PM,,0.38,,,,
47,02/02/19 08:33:58 PM,,0.39,,,,
48,02/02/19 08:34:36 PM,,0.40,,,,
49,02/02/19 08:35:10 PM,,0.41,,,,
50,02/02/19 08:36:38 PM,,0.42,,,,
51,02/02/19 08:37:32 PM,,0.43,,,,
52,02/02/19 08:39:33 PM,,0.44,,,,
53,02/02/19 08:41:41 PM,,0.45,,,,
54,02/02/19 08:57:08 PM,,0.46,,,,
55,02/02/19 09:00:00 PM,48.517,,,,,
56,02/02/19 09:40:51 PM,,0.47,,,,
57,02/02/19 09:42:04 PM,,0.48,,,,
58,02/02/19 09:43:39 PM,,0.49,,,,
59,02/02/19 09:44:33 PM,,0.50,,,,
60,02/02/19 09:47:18 PM,,0.51,,,,
61,02/02/19 09:58:31 PM,,0.52,,,,
62,02/02/19 10:00:00 PM,51.172,,,,,
63,02/02/19 10:07:49 PM,,0.53,,,,
64,02/02/19 10:08:57 PM,,0.54,,,,
65,02/02/19 10:18:03 PM,,0.55,,,,
66,02/02/19 10:35:42 PM,,0.56,,,,
67,02/02/19 11:00:00 PM,51.172,,,,,
68,02/02/19 11:24:56 PM,,0.57,,,,
69,02/02/19 11:25:35 PM,,0.58,,,,
70,02/02/19 11:26:13 PM,,0.59,,,,
71,02/02/19 11:26:44 PM,,0.60,,,,
72,02/02/19 11:27:25 PM,,0.61,,,,
73,02/02/19 11:28:26 PM,,0.62,,,,
74,02/02/19 11:43:28 PM,,0.63,,,,
75,02/02/19 11:47:34 PM,,0.64,,,,
76,02/03/19 12:00:00 AM,50.995,,,,,
77,02/03/19 12:07:15 AM,,0.65,,,,
78,02/03/19 12:09:17 AM,,0.66,,,,
79,02/03/19 12:12:54 AM,,0.67,,,,
80,02/03/19 12:17:09 AM,,0.68,,,,
81,02/03/19 12:54:31 AM,,0.69,,,,
82,02/03/19 12:57:19 AM,,0.70,,,,
83,02/03/19 12:59:55 AM,,0.71,,,,
84,02/03/19 01:00:00 AM,51.699,,,,,
85,02/03/19 01:17:13 AM,,0.72,,,,
86,02/03/19 01:49:21 AM,,0.73,,,,
87,02/03/19 02:00:00 AM,52.225,,,,,
88,02/03/19 02:34:33 AM,,0.74,,,,
89,02/03/19 03:00:00 AM,52.401,,,,,
90,02/03/19 03:24:36 AM,,0.75,,,,
91,02/03/19 04:00:00 AM,52.050,,,,,
92,02/03/19 04:18:13 AM,,0.76,,,,
93,02/03/19 04:39:41 AM,,0.77,,,,
94,02/03/19 05:00:00 AM,51.874,,,,,
95,02/03/19 05:15:08 AM,,0.78,,,,
96,02/03/19 06:00:00 AM,51.523,,,,,
97,02/03/19 07:00:00 AM,51.523,,,,,
98,02/03/19 07:16:47 AM,,0.79,,,,
99,02/03/19 08:00:00 AM,51.699,,,,,
100,02/03/19 09:00:00 AM,52.576,,,,,
101,02/03/19 09:18:32 AM,,0.80,,,,
102,02/03/19 09:32:07 AM,,0.81,,,,
103,02/03/19 10:00:00 AM,52.401,,,,,
104,02/03/19 11:00:00 AM,52.576,,,,,
105,02/03/19 11:33:43 AM,,0.82,,,,
106,02/03/19 11:39:41 AM,,0.83,,,,
107,02/03/19 11:41:39 AM,,0.84,,,,
108,02/03/19 12:00:00 PM,51.172,,,,,
109,02/03/19 12:16:59 PM,,0.85,,,,
110,02/03/19 01:00:00 PM,52.401,,,,,
111,02/03/19 02:00:00 PM,53.973,,,,,
112,02/03/19 03:00:00 PM,62.425,,,,,
113,02/03/19 04:00:00 PM,61.569,,,,,
114,02/03/19 05:00:00 PM,56.577,,,,,
115,02/03/19 06:00:00 PM,49.937,,,,,
116,02/03/19 07:00:00 PM,49.759,,,,,
117,02/03/19 08:00:00 PM,49.582,,,,,
118,02/03/19 09:00:00 PM,50.466,,,,,
119,02/03/19 10:00:00 PM,50.995,,,,,
120,02/03/19 10:36:15 PM,,0.86,,,,
121,02/03/19 10:42:10 PM,,0.87,,,,
122,02/03/19 10:43:53 PM,,0.88,,,,
123,02/03/19 11:00:00 PM,49.582,,,,,
124,02/03/19 11:17:11 PM,,0.89,,,,
125,02/03/19 11:29:02 PM,,0.90,,,,
126,02/03/19 11:34:17 PM,,0.91,,,,
127,02/03/19 11:41:37 PM,,0.92,,,,
128,02/03/19 11:46:41 PM,,0.93,,,,
129,02/03/19 11:52:28 PM,,0.94,,,,
130,02/04/19 12:00:00 AM,49.582,,,,,
131,02/04/19 12:05:37 AM,,0.95,,,,
132,02/04/19 12:26:42 AM,,0.96,,,,
133,02/04/19 12:45:46 AM,,0.97,,,,
134,02/04/19 12:47:49 AM,,0.98,,,,
135,02/04/19 12:48:16 AM,,0.99,,,,
136,02/04/19 12:48:51 AM,,1.00,,,,
137,02/04/19 12:49:43 AM,,1.01,,,,
138,02/04/19 12:52:33 AM,,1.02,,,,
139,02/04/19 01:00:00 AM,50.290,,,,,
140,02/04/19 01:00:27 AM,,1.03,,,,
141,02/04/19 01:01:49 AM,,1.04,,,,
142,02/04/19 01:04:06 AM,,1.05,,,,
143,02/04/19 01:06:44 AM,,1.06,,,,
144,02/04/19 01:07:48 AM,,1.07,,,,
145,02/04/19 01:09:09 AM,,1.08,,,,
146,02/04/19 01:10:04 AM,,1.09,,,,
147,02/04/19 01:11:00 AM,,1.10,,,,
148,02/04/19 01:12:10 AM,,1.11,,,,
149,02/04/19 01:13:14 AM,,1.12,,,,
150,02/04/19 01:18:14 AM,,1.13,,,,
151,02/04/19 01:22:35 AM,,1.14,,,,
152,02/04/19 01:26:44 AM,,1.15,,,,
153,02/04/19 01:29:07 AM,,1.16,,,,
154,02/04/19 01:33:41 AM,,1.17,,,,
155,02/04/19 01:36:15 AM,,1.18,,,,
156,02/04/19 01:37:22 AM,,1.19,,,,
157,02/04/19 01:40:05 AM,,1.20,,,,
158,02/04/19 01:42:29 AM,,1.21,,,,
159,02/04/19 01:43:31 AM,,1.22,,,,
160,02/04/19 01:45:18 AM,,1.23,,,,
161,02/04/19 01:47:38 AM,,1.24,,,,
162,02/04/19 01:50:45 AM,,1.25,,,,
163,02/04/19 01:52:27 AM,,1.26,,,,
164,02/04/19 01:52:55 AM,,1.27,,,,
165,02/04/19 01:53:20 AM,,1.28,,,,
166,02/04/19 01:54:19 AM,,1.29,,,,
167,02/04/19 01:54:54 AM,,1.30,,,,
168,02/04/19 01:55:09 AM,,1.31,,,,
169,02/04/19 01:55:20 AM,,1.32,,,,
170,02/04/19 01:55:27 AM,,1.33,,,,
171,02/04/19 01:55:37 AM,,1.34,,,,
172,02/04/19 01:56:00 AM,,1.35,,,,
173,02/04/19 01:56:20 AM,,1.36,,,,
174,02/04/19 01:56:51 AM,,1.37,,,,
175,02/04/19 01:57:17 AM,,1.38,,,,
176,02/04/19 01:57:43 AM,,1.39,,,,
177,02/04/19 01:57:55 AM,,1.40,,,,
178,02/04/19 01:58:49 AM,,1.41,,,,
179,02/04/19 02:00:00 AM,49.050,,,,,
180,02/04/19 02:06:38 AM,,1.42,,,,
181,02/04/19 02:10:58 AM,,1.43,,,,
182,02/04/19 02:14:54 AM,,1.44,,,,
183,02/04/19 02:18:42 AM,,1.45,,,,
184,02/04/19 02:21:36 AM,,1.46,,,,
185,02/04/19 02:26:38 AM,,1.47,,,,
186,02/04/19 02:32:11 AM,,1.48,,,,
187,02/04/19 02:58:15 AM,,1.49,,,,
188,02/04/19 03:00:00 AM,49.050,,,,,
189,02/04/19 04:00:00 AM,48.871,,,,,
190,02/04/19 04:34:35 AM,,1.50,,,,
191,02/04/19 05:00:00 AM,48.160,,,,,
192,02/04/19 05:48:33 AM,,1.51,,,,
193,02/04/19 06:00:00 AM,46.908,,,,,
194,02/04/19 07:00:00 AM,46.008,,,,,
195,02/04/19 07:05:18 AM,,1.52,,,,
196,02/04/19 07:50:14 AM,,1.53,,,,
197,02/04/19 07:51:01 AM,,1.54,,,,
198,02/04/19 07:51:20 AM,,1.55,,,,
199,02/04/19 07:51:42 AM,,1.56,,,,
200,02/04/19 07:52:17 AM,,1.57,,,,
201,02/04/19 08:00:00 AM,46.728,,,,,
202,02/04/19 08:15:42 AM,,1.58,,,,
203,02/04/19 09:00:00 AM,49.937,,,,,
204,02/04/19 09:04:59 AM,,1.59,,,,
205,02/04/19 09:07:43 AM,,1.60,,,,
206,02/04/19 09:19:12 AM,,1.61,,,,
207,02/04/19 09:20:07 AM,,1.62,,,,
208,02/04/19 09:21:30 AM,,1.63,,,,
209,02/04/19 09:22:56 AM,,1.64,,,,
210,02/04/19 10:00:00 AM,47.266,,,,,
211,02/04/19 11:00:00 AM,51.346,,,,,
212,02/04/19 11:28:43 AM,,1.65,,,,
213,02/04/19 11:32:10 AM,,1.66,,,,
214,02/04/19 11:39:40 AM,,1.67,,,,
215,02/04/19 12:00:00 PM,47.266,,,,,
216,02/04/19 12:39:19 PM,,1.68,,,,
217,02/04/19 01:00:00 PM,46.369,,,,,
218,02/04/19 01:17:45 PM,,1.69,,,,
219,02/04/19 02:00:00 PM,50.643,,,,,
220,02/04/19 02:50:19 PM,,1.70,,,,
221,02/04/19 03:00:00 PM,51.172,,,,,
222,02/04/19 04:00:00 PM,50.113,,,,,
223,02/04/19 05:00:00 PM,49.759,,,,,
224,02/04/19 06:00:00 PM,45.104,,,,,
225,02/04/19 07:00:00 PM,44.742,,,,,
226,02/04/19 08:00:00 PM,44.013,,,,,
227,02/04/19 09:00:00 PM,44.013,,,,,
228,02/04/19 10:00:00 PM,43.466,,,,,
229,02/04/19 11:00:00 PM,42.732,,,,,
230,02/05/19 12:00:00 AM,41.810,,,,,
231,02/05/19 01:00:00 AM,42.179,,,,,
232,02/05/19 01:08:51 AM,,1.71,,,,
233,02/05/19 01:23:50 AM,,1.72,,,,
234,02/05/19 01:25:30 AM,,1.73,,,,
235,02/05/19 01:27:00 AM,,1.74,,,,
236,02/05/19 01:30:53 AM,,1.75,,,,
237,02/05/19 02:00:00 AM,39.007,,,,,
238,02/05/19 03:00:00 AM,39.947,,,,,
239,02/05/19 04:00:00 AM,39.573,,,,,
240,02/05/19 04:55:42 AM,,1.76,,,,
241,02/05/19 05:00:00 AM,37.107,,,,,
242,02/05/19 05:00:05 AM,,1.77,,,,
243,02/05/19 05:04:17 AM,,1.78,,,,
244,02/05/19 05:17:30 AM,,1.79,,,,
245,02/05/19 05:32:54 AM,,1.80,,,,
246,02/05/19 06:00:00 AM,35.370,,,,,
247,02/05/19 06:47:51 AM,,1.81,,,,
248,02/05/19 07:00:00 AM,36.338,,,,,
249,02/05/19 08:00:00 AM,36.338,,,,,
250,02/05/19 08:02:21 AM,,1.82,,,,
251,02/05/19 09:00:00 AM,45.466,,,,,
252,02/05/19 10:00:00 AM,51.172,,,,,
253,02/05/19 11:00:00 AM,56.923,,,,,
254,02/05/19 12:00:00 PM,52.225,,,,,
255,02/05/19 01:00:00 PM,54.147,,,,,
256,02/05/19 02:00:00 PM,56.230,,,,,
257,02/05/19 03:00:00 PM,58.647,,,,,
258,02/05/19 04:00:00 PM,60.712,,,,,
259,02/05/19 05:00:00 PM,52.925,,,,,
260,02/05/19 06:00:00 PM,42.363,,,,,
261,02/05/19 07:00:00 PM,38.629,,,,,
262,02/05/19 08:00:00 PM,36.723,,,,,
263,02/05/19 09:00:00 PM,35.951,,,,,
264,02/05/19 10:00:00 PM,36.914,,,,,
265,02/05/19 11:00:00 PM,37.107,,,,,
266,02/06/19 12:00:00 AM,36.723,,,,,
267,02/06/19 01:00:00 AM,36.723,,,,,
268,02/06/19 02:00:00 AM,37.107,,,,,
269,02/06/19 02:27:11 AM,,1.83,,,,
270,02/06/19 02:37:33 AM,,1.84,,,,
271,02/06/19 03:00:00 AM,39.573,,,,,
272,02/06/19 03:27:42 AM,,1.85,,,,
273,02/06/19 03:43:09 AM,,1.86,,,,
274,02/06/19 03:48:49 AM,,1.87,,,,
275,02/06/19 03:59:41 AM,,1.88,,,,
276,02/06/19 04:00:00 AM,40.134,,,,,
277,02/06/19 05:00:00 AM,37.679,,,,,
278,02/06/19 06:00:00 AM,36.914,,,,,
279,02/06/19 07:00:00 AM,36.723,,,,,
280,02/06/19 08:00:00 AM,36.914,,,,,
281,02/06/19 09:00:00 AM,48.871,,,,,
282,02/06/19 10:00:00 AM,63.626,,,,,
283,02/06/19 11:00:00 AM,56.577,,,,,
284,02/06/19 12:00:00 PM,56.923,,,,,
285,02/06/19 01:00:00 PM,58.303,,,,,
286,02/06/19 02:00:00 PM,57.614,,,,,
287,02/06/19 03:00:00 PM,59.508,,,,,
288,02/06/19 04:00:00 PM,62.425,,,,,
289,02/06/19 05:00:00 PM,56.577,,,,,
290,02/06/19 06:00:00 PM,48.339,,,,,
291,02/06/19 07:00:00 PM,46.908,,,,,
292,02/06/19 08:00:00 PM,44.560,,,,,
293,02/06/19 09:00:00 PM,41.254,,,,,
294,02/06/19 10:00:00 PM,39.760,,,,,
295,02/06/19 11:00:00 PM,39.007,,,,,
296,02/07/19 12:00:00 AM,38.061,,,,,
