"Plot Title: 20521509"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Detached (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509, SEN S/N: 20521509)","Host Connected (LGR S/N: 20521509, SEN S/N: 20521509)","Stopped (LGR S/N: 20521509, SEN S/N: 20521509)","End Of File (LGR S/N: 20521509, SEN S/N: 20521509)"
1,02/02/19 10:25:28 AM,52.401,0.00,,,,,
2,02/02/19 10:25:37 AM,,,Logged,,,,
3,02/02/19 10:26:28 AM,52.576,,,,,,
4,02/02/19 10:27:28 AM,52.576,,,,,,
5,02/02/19 10:28:28 AM,52.401,,,,,,
6,02/02/19 10:29:28 AM,52.225,,,,,,
7,02/02/19 10:30:28 AM,52.225,,,,,,
8,02/02/19 10:31:28 AM,52.050,,,,,,
9,02/02/19 10:32:28 AM,51.874,,,,,,
10,02/02/19 10:33:28 AM,51.699,,,,,,
11,02/02/19 10:34:28 AM,51.523,,,,,,
12,02/02/19 10:35:28 AM,51.346,,,,,,
13,02/02/19 10:36:28 AM,51.172,,,,,,
14,02/02/19 10:37:28 AM,51.172,,,,,,
15,02/02/19 10:38:28 AM,51.172,,,,,,
16,02/02/19 10:39:28 AM,51.172,,,,,,
17,02/02/19 10:40:28 AM,51.172,,,,,,
18,02/02/19 10:41:28 AM,50.995,,,,,,
19,02/02/19 10:42:28 AM,50.995,,,,,,
20,02/02/19 10:43:28 AM,50.819,,,,,,
21,02/02/19 10:44:28 AM,50.819,,,,,,
22,02/02/19 10:45:28 AM,50.819,,,,,,
23,02/02/19 10:46:28 AM,50.995,,,,,,
24,02/02/19 10:47:28 AM,50.995,,,,,,
25,02/02/19 10:48:28 AM,50.995,,,,,,
26,02/02/19 10:49:28 AM,50.995,,,,,,
27,02/02/19 10:50:28 AM,50.995,,,,,,
28,02/02/19 10:51:28 AM,50.819,,,,,,
29,02/02/19 10:52:28 AM,50.819,,,,,,
30,02/02/19 10:53:28 AM,50.995,,,,,,
31,02/02/19 10:54:28 AM,51.172,,,,,,
32,02/02/19 10:55:28 AM,51.346,,,,,,
33,02/02/19 10:56:28 AM,51.346,,,,,,
