"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Detached (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223, SEN S/N: 20309223)","Host Connected (LGR S/N: 20309223, SEN S/N: 20309223)","Stopped (LGR S/N: 20309223, SEN S/N: 20309223)","End Of File (LGR S/N: 20309223, SEN S/N: 20309223)"
1,02/03/19 10:18:43 AM,53.274,0.00,,,,,
2,02/03/19 10:18:49 AM,,,Logged,,,,
3,02/03/19 11:18:43 AM,52.050,,,,,,
4,02/03/19 11:33:09 AM,,0.01,,,,,
5,02/03/19 11:34:43 AM,,0.02,,,,,
6,02/03/19 11:36:52 AM,,0.03,,,,,
7,02/03/19 11:39:59 AM,,0.04,,,,,
8,02/03/19 11:42:28 AM,,0.05,,,,,
9,02/03/19 11:47:30 AM,,0.06,,,,,
10,02/03/19 12:17:44 PM,,0.07,,,,,
11,02/03/19 12:18:43 PM,51.172,,,,,,
12,02/03/19 12:23:39 PM,,0.08,,,,,
13,02/03/19 01:18:43 PM,53.100,,,,,,
14,02/03/19 02:18:43 PM,53.274,,,,,,
15,02/03/19 03:18:43 PM,56.577,,,,,,
16,02/03/19 04:18:43 PM,53.623,,,,,,
17,02/03/19 05:18:43 PM,50.995,,,,,,
18,02/03/19 06:18:43 PM,48.160,,,,,,
19,02/03/19 07:18:43 PM,48.160,,,,,,
20,02/03/19 07:38:55 PM,,0.09,,,,,
21,02/03/19 08:18:43 PM,48.160,,,,,,
22,02/03/19 09:18:43 PM,48.517,,,,,,
23,02/03/19 10:17:33 PM,,0.10,,,,,
24,02/03/19 10:18:43 PM,48.695,,,,,,
25,02/03/19 10:39:33 PM,,0.11,,,,,
26,02/03/19 10:42:59 PM,,0.12,,,,,
27,02/03/19 10:43:49 PM,,0.13,,,,,
28,02/03/19 10:44:12 PM,,0.14,,,,,
29,02/03/19 10:44:34 PM,,0.15,,,,,
30,02/03/19 10:44:53 PM,,0.16,,,,,
31,02/03/19 10:45:54 PM,,0.17,,,,,
32,02/03/19 10:52:22 PM,,0.18,,,,,
33,02/03/19 11:18:43 PM,48.517,,,,,,
34,02/03/19 11:20:53 PM,,0.19,,,,,
35,02/03/19 11:29:59 PM,,0.20,,,,,
36,02/03/19 11:34:42 PM,,0.21,,,,,
37,02/03/19 11:39:58 PM,,0.22,,,,,
38,02/03/19 11:44:00 PM,,0.23,,,,,
39,02/03/19 11:46:45 PM,,0.24,,,,,
40,02/03/19 11:50:35 PM,,0.25,,,,,
41,02/03/19 11:55:49 PM,,0.26,,,,,
42,02/04/19 12:08:45 AM,,0.27,,,,,
43,02/04/19 12:15:03 AM,,0.28,,,,,
44,02/04/19 12:18:43 AM,49.050,,,,,,
45,02/04/19 12:27:56 AM,,0.29,,,,,
46,02/04/19 12:44:05 AM,,0.30,,,,,
47,02/04/19 12:47:20 AM,,0.31,,,,,
48,02/04/19 12:48:09 AM,,0.32,,,,,
49,02/04/19 12:48:37 AM,,0.33,,,,,
50,02/04/19 12:49:02 AM,,0.34,,,,,
51,02/04/19 12:49:33 AM,,0.35,,,,,
52,02/04/19 12:49:58 AM,,0.36,,,,,
53,02/04/19 12:51:14 AM,,0.37,,,,,
54,02/04/19 12:55:20 AM,,0.38,,,,,
55,02/04/19 01:02:24 AM,,0.39,,,,,
56,02/04/19 01:04:22 AM,,0.40,,,,,
57,02/04/19 01:06:35 AM,,0.41,,,,,
58,02/04/19 01:07:20 AM,,0.42,,,,,
59,02/04/19 01:08:04 AM,,0.43,,,,,
60,02/04/19 01:08:57 AM,,0.44,,,,,
61,02/04/19 01:09:43 AM,,0.45,,,,,
62,02/04/19 01:10:22 AM,,0.46,,,,,
63,02/04/19 01:10:56 AM,,0.47,,,,,
64,02/04/19 01:11:37 AM,,0.48,,,,,
65,02/04/19 01:12:53 AM,,0.49,,,,,
66,02/04/19 01:17:02 AM,,0.50,,,,,
67,02/04/19 01:18:43 AM,49.582,,,,,,
68,02/04/19 01:22:34 AM,,0.51,,,,,
69,02/04/19 01:26:23 AM,,0.52,,,,,
70,02/04/19 01:28:35 AM,,0.53,,,,,
71,02/04/19 01:30:25 AM,,0.54,,,,,
72,02/04/19 01:35:07 AM,,0.55,,,,,
73,02/04/19 01:37:15 AM,,0.56,,,,,
74,02/04/19 01:39:09 AM,,0.57,,,,,
75,02/04/19 01:40:22 AM,,0.58,,,,,
76,02/04/19 01:42:36 AM,,0.59,,,,,
77,02/04/19 01:44:10 AM,,0.60,,,,,
78,02/04/19 01:45:59 AM,,0.61,,,,,
