"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","Stopped (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,02/09/19 05:00:00 PM,52.225,0.00,,,,
2,02/09/19 05:15:00 PM,52.050,,,,,
3,02/09/19 05:30:00 PM,51.699,,,,,
4,02/09/19 05:45:00 PM,50.643,,,,,
5,02/09/19 06:00:00 PM,50.466,,,,,
6,02/09/19 06:15:00 PM,51.172,,,,,
7,02/09/19 06:30:00 PM,51.874,,,,,
8,02/09/19 06:45:00 PM,52.225,,,,,
9,02/09/19 07:00:00 PM,52.576,,,,,
10,02/09/19 07:11:41 PM,,0.01,,,,
11,02/09/19 07:15:00 PM,52.225,,,,,
12,02/09/19 07:22:43 PM,,0.02,,,,
13,02/09/19 07:30:00 PM,50.995,,,,,
14,02/09/19 07:45:00 PM,50.466,,,,,
15,02/09/19 07:47:46 PM,,0.03,,,,
16,02/09/19 07:51:45 PM,,0.04,,,,
17,02/09/19 08:00:00 PM,49.937,,,,,
18,02/09/19 08:15:00 PM,49.937,,,,,
19,02/09/19 08:30:00 PM,50.466,,,,,
20,02/09/19 08:45:00 PM,51.172,,,,,
21,02/09/19 09:00:00 PM,51.523,,,,,
22,02/09/19 09:15:00 PM,51.699,,,,,
23,02/09/19 09:30:00 PM,51.699,,,,,
24,02/09/19 09:45:00 PM,51.699,,,,,
25,02/09/19 10:00:00 PM,51.699,,,,,
26,02/09/19 10:15:00 PM,51.699,,,,,
27,02/09/19 10:30:00 PM,50.995,,,,,
28,02/09/19 10:45:00 PM,50.113,,,,,
29,02/09/19 11:00:00 PM,50.113,,,,,
30,02/09/19 11:15:00 PM,50.643,,,,,
31,02/09/19 11:30:00 PM,50.995,,,,,
32,02/09/19 11:43:21 PM,,0.05,,,,
33,02/09/19 11:44:11 PM,,0.06,,,,
34,02/09/19 11:45:00 PM,51.346,,,,,
35,02/09/19 11:45:31 PM,,0.07,,,,
36,02/09/19 11:50:12 PM,,0.08,,,,
37,02/09/19 11:57:07 PM,,0.09,,,,
38,02/09/19 11:58:50 PM,,0.10,,,,
39,02/09/19 11:59:39 PM,,0.11,,,,
40,02/10/19 12:00:00 AM,50.113,,,,,
41,02/10/19 12:03:48 AM,,0.12,,,,
42,02/10/19 12:05:37 AM,,0.13,,,,
43,02/10/19 12:10:01 AM,,0.14,,,,
44,02/10/19 12:15:00 AM,48.695,,,,,
45,02/10/19 12:30:00 AM,47.982,,,,,
46,02/10/19 12:31:33 AM,,0.15,,,,
47,02/10/19 12:45:00 AM,47.982,,,,,
48,02/10/19 12:50:28 AM,,0.16,,,,
49,02/10/19 01:00:00 AM,47.624,,,,,
50,02/10/19 01:15:00 AM,46.908,,,,,
51,02/10/19 01:26:01 AM,,0.17,,,,
52,02/10/19 01:30:00 AM,46.548,,,,,
53,02/10/19 01:35:51 AM,,0.18,,,,
54,02/10/19 01:37:20 AM,,0.19,,,,
55,02/10/19 01:39:11 AM,,0.20,,,,
56,02/10/19 01:42:47 AM,,0.21,,,,
57,02/10/19 01:45:00 AM,46.188,,,,,
58,02/10/19 01:48:39 AM,,0.22,,,,
59,02/10/19 01:55:43 AM,,0.23,,,,
60,02/10/19 02:00:00 AM,45.828,,,,,
61,02/10/19 02:09:09 AM,,0.24,,,,
62,02/10/19 02:15:00 AM,45.466,,,,,
