"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,11/18/14 02:24:00 PM,0.00,,,
2,11/19/14 06:10:44 AM,0.01,,,
3,11/19/14 06:30:54 AM,0.02,,,
4,11/19/14 06:45:09 AM,0.03,,,
5,11/19/14 06:50:35 AM,0.04,,,
6,11/19/14 07:18:33 AM,0.05,,,
7,11/19/14 08:07:34 AM,0.06,,,
8,11/19/14 10:13:57 AM,0.07,,,
9,11/19/14 10:17:51 AM,0.08,,,
10,11/19/14 10:27:20 AM,0.09,,,
11,11/19/14 10:39:20 AM,0.10,,,
12,11/19/14 10:47:25 AM,0.11,,,
13,11/19/14 10:57:26 AM,0.12,,,
14,11/19/14 11:06:41 AM,0.13,,,
15,11/19/14 11:10:54 AM,0.14,,,
16,11/19/14 11:13:41 AM,0.15,,,
17,11/19/14 11:15:47 AM,0.16,,,
18,11/19/14 11:17:06 AM,0.17,,,
19,11/19/14 11:18:06 AM,0.18,,,
20,11/19/14 11:19:03 AM,0.19,,,
21,11/19/14 11:21:35 AM,0.20,,,
22,11/19/14 11:24:08 AM,0.21,,,
23,11/19/14 11:26:35 AM,0.22,,,
24,11/19/14 11:29:23 AM,0.23,,,
25,11/19/14 11:41:09 AM,0.24,,,
26,11/19/14 12:37:04 PM,0.25,,,
27,11/19/14 12:57:49 PM,0.26,,,
28,11/19/14 01:23:48 PM,0.27,,,
29,11/19/14 01:49:31 PM,0.28,,,
30,11/19/14 02:09:01 PM,0.29,,,
31,11/19/14 03:24:15 PM,0.30,,,
32,11/19/14 03:54:00 PM,0.31,,,
33,11/19/14 04:47:00 PM,0.32,,,
34,11/19/14 04:51:29 PM,0.33,,,
35,11/19/14 04:51:30 PM,0.34,,,
36,11/19/14 04:55:08 PM,0.35,,,
37,11/19/14 05:00:25 PM,0.36,,,
38,11/19/14 05:02:57 PM,0.37,,,
39,11/19/14 05:05:40 PM,0.38,,,
40,11/19/14 05:07:19 PM,0.39,,,
41,11/19/14 05:07:20 PM,0.40,,,
42,11/19/14 05:09:28 PM,0.41,,,
43,11/19/14 05:15:56 PM,0.42,,,
44,11/19/14 05:19:59 PM,0.43,,,
45,11/19/14 05:24:32 PM,0.44,,,
46,11/19/14 05:29:31 PM,0.45,,,
47,11/19/14 06:08:39 PM,0.46,,,
48,11/19/14 06:22:49 PM,0.47,,,
49,11/19/14 06:39:23 PM,0.48,,,
50,11/19/14 07:28:12 PM,0.49,,,
51,11/20/14 08:24:12 AM,0.50,,,
52,11/20/14 02:31:53 PM,0.51,,,
53,11/20/14 02:31:54 PM,0.52,,,
54,11/20/14 02:40:47 PM,0.53,,,
55,11/20/14 02:45:25 PM,0.54,,,
56,11/20/14 02:45:26 PM,0.55,,,
57,11/20/14 02:52:30 PM,0.56,,,
58,11/20/14 02:57:34 PM,0.57,,,
59,11/20/14 03:02:24 PM,0.58,,,
60,11/20/14 05:26:49 PM,0.59,,,
61,11/20/14 05:36:31 PM,0.60,,,
62,11/20/14 05:37:59 PM,0.61,,,
63,11/20/14 05:39:46 PM,0.62,,,
64,11/20/14 05:41:12 PM,0.63,,,
65,11/20/14 05:45:11 PM,0.64,,,
66,11/20/14 05:47:52 PM,0.65,,,
67,11/20/14 07:00:33 PM,0.66,,,
68,11/20/14 09:20:21 PM,0.67,,,
69,11/20/14 09:24:03 PM,0.68,,,
70,11/20/14 09:30:16 PM,0.69,,,
71,11/20/14 09:34:56 PM,0.70,,,
72,11/20/14 09:38:56 PM,0.71,,,
73,11/20/14 09:47:16 PM,0.72,,,
74,11/21/14 06:14:54 AM,0.73,,,
75,11/22/14 05:08:19 AM,0.74,,,
76,11/22/14 05:25:27 AM,0.75,,,
77,11/22/14 06:27:18 AM,0.76,,,
78,11/22/14 07:02:58 AM,0.77,,,
79,11/22/14 07:33:16 AM,0.78,,,
80,11/22/14 08:11:56 AM,0.79,,,
81,11/22/14 08:11:57 AM,0.80,,,
82,11/22/14 08:23:09 AM,0.81,,,
83,11/22/14 08:27:35 AM,0.82,,,
84,11/22/14 08:37:25 AM,0.83,,,
85,11/22/14 08:50:35 AM,0.84,,,
86,11/22/14 08:57:35 AM,0.85,,,
87,11/22/14 09:06:26 AM,0.86,,,
88,11/22/14 09:15:48 AM,0.87,,,
89,11/22/14 09:24:13 AM,0.88,,,
90,11/22/14 09:27:39 AM,0.89,,,
91,11/22/14 09:35:24 AM,0.90,,,
92,11/22/14 09:35:25 AM,0.91,,,
93,11/22/14 09:41:26 AM,0.92,,,
94,11/22/14 09:47:42 AM,0.93,,,
95,11/22/14 09:53:05 AM,0.94,,,
96,11/22/14 09:58:32 AM,0.95,,,
97,11/22/14 10:04:31 AM,0.96,,,
98,11/22/14 10:07:57 AM,0.97,,,
99,11/22/14 10:12:09 AM,0.98,,,
100,11/22/14 10:15:49 AM,0.99,,,
101,11/22/14 10:19:25 AM,1.00,,,
102,11/22/14 10:24:24 AM,1.01,,,
103,11/22/14 10:29:36 AM,1.02,,,
104,11/22/14 10:35:45 AM,1.03,,,
105,11/22/14 10:44:50 AM,1.04,,,
106,11/22/14 10:51:38 AM,1.05,,,
107,11/22/14 10:57:10 AM,1.06,,,
108,11/22/14 10:57:11 AM,1.07,,,
109,11/22/14 11:01:57 AM,1.08,,,
