"Plot Title: AL"
"#","Date Time, GMT-08:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Detached (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Host Connected (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,01/21/16 11:26:34 AM,0.00,,,,
2,01/21/16 11:26:50 AM,,Logged,,,
3,01/22/16 03:34:22 AM,0.01,,,,
4,01/22/16 03:43:28 AM,0.02,,,,
5,01/22/16 03:52:47 AM,0.03,,,,
6,01/22/16 03:52:48 AM,0.04,,,,
7,01/22/16 04:00:43 AM,0.05,,,,
8,01/22/16 04:04:24 AM,0.06,,,,
9,01/22/16 04:12:03 AM,0.07,,,,
10,01/22/16 04:16:05 AM,0.08,,,,
11,01/22/16 04:19:15 AM,0.09,,,,
12,01/22/16 04:21:38 AM,0.10,,,,
13,01/22/16 04:24:01 AM,0.11,,,,
14,01/22/16 04:26:53 AM,0.12,,,,
15,01/22/16 04:30:40 AM,0.13,,,,
16,01/22/16 04:34:53 AM,0.14,,,,
17,01/22/16 04:38:59 AM,0.15,,,,
18,01/22/16 04:42:39 AM,0.16,,,,
19,01/22/16 04:45:51 AM,0.17,,,,
20,01/22/16 04:45:52 AM,0.18,,,,
21,01/22/16 04:49:35 AM,0.19,,,,
22,01/22/16 04:52:35 AM,0.20,,,,
23,01/22/16 04:55:40 AM,0.21,,,,
24,01/22/16 04:58:58 AM,0.22,,,,
25,01/22/16 05:01:55 AM,0.23,,,,
26,01/22/16 05:01:56 AM,0.24,,,,
27,01/22/16 05:04:14 AM,0.25,,,,
28,01/22/16 05:06:38 AM,0.26,,,,
29,01/22/16 05:09:08 AM,0.27,,,,
30,01/22/16 05:11:29 AM,0.28,,,,
31,01/22/16 05:13:49 AM,0.29,,,,
32,01/22/16 05:13:50 AM,0.30,,,,
33,01/22/16 05:17:02 AM,0.31,,,,
34,01/22/16 05:19:39 AM,0.32,,,,
35,01/22/16 05:19:40 AM,0.33,,,,
36,01/22/16 05:21:26 AM,0.34,,,,
37,01/22/16 05:21:27 AM,0.35,,,,
38,01/22/16 05:23:20 AM,0.36,,,,
39,01/22/16 05:25:15 AM,0.37,,,,
40,01/22/16 05:27:30 AM,0.38,,,,
41,01/22/16 05:30:34 AM,0.39,,,,
42,01/22/16 05:33:10 AM,0.40,,,,
43,01/22/16 05:35:24 AM,0.41,,,,
44,01/22/16 05:37:28 AM,0.42,,,,
45,01/22/16 05:39:49 AM,0.43,,,,
46,01/22/16 05:42:11 AM,0.44,,,,
47,01/22/16 05:44:13 AM,0.45,,,,
48,01/22/16 05:46:30 AM,0.46,,,,
49,01/22/16 05:49:06 AM,0.47,,,,
50,01/22/16 05:51:41 AM,0.48,,,,
51,01/22/16 05:51:42 AM,0.49,,,,
52,01/22/16 05:53:52 AM,0.50,,,,
53,01/22/16 05:53:53 AM,0.51,,,,
54,01/22/16 05:56:02 AM,0.52,,,,
55,01/22/16 05:58:02 AM,0.53,,,,
56,01/22/16 06:01:02 AM,0.54,,,,
57,01/22/16 06:03:14 AM,0.55,,,,
58,01/22/16 06:05:27 AM,0.56,,,,
59,01/22/16 06:07:27 AM,0.57,,,,
60,01/22/16 06:09:41 AM,0.58,,,,
61,01/22/16 06:11:44 AM,0.59,,,,
62,01/22/16 06:12:31 AM,0.60,,,,
63,01/22/16 06:13:47 AM,0.61,,,,
64,01/22/16 06:15:12 AM,0.62,,,,
65,01/22/16 06:16:51 AM,0.63,,,,
66,01/22/16 06:19:17 AM,0.64,,,,
67,01/22/16 06:20:46 AM,0.65,,,,
68,01/22/16 06:22:59 AM,0.66,,,,
69,01/22/16 06:24:52 AM,0.67,,,,
70,01/22/16 06:24:53 AM,0.68,,,,
71,01/22/16 06:27:00 AM,0.69,,,,
72,01/22/16 06:29:26 AM,0.70,,,,
73,01/22/16 06:31:47 AM,0.71,,,,
74,01/22/16 06:33:17 AM,0.72,,,,
75,01/22/16 06:34:53 AM,0.73,,,,
76,01/22/16 06:35:49 AM,0.74,,,,
77,01/22/16 06:37:31 AM,0.75,,,,
78,01/22/16 06:40:17 AM,0.76,,,,
79,01/22/16 06:42:25 AM,0.77,,,,
80,01/22/16 06:42:26 AM,0.78,,,,
81,01/22/16 06:44:32 AM,0.79,,,,
82,01/22/16 06:46:16 AM,0.80,,,,
83,01/22/16 06:47:43 AM,0.81,,,,
84,01/22/16 06:47:44 AM,0.82,,,,
85,01/22/16 06:49:06 AM,0.83,,,,
86,01/22/16 06:50:45 AM,0.84,,,,
87,01/22/16 06:50:46 AM,0.85,,,,
88,01/22/16 06:52:48 AM,0.86,,,,
89,01/22/16 06:54:59 AM,0.87,,,,
90,01/22/16 06:56:29 AM,0.88,,,,
91,01/22/16 06:58:19 AM,0.89,,,,
92,01/22/16 06:59:02 AM,0.90,,,,
93,01/22/16 07:00:07 AM,0.91,,,,
94,01/22/16 07:01:57 AM,0.92,,,,
95,01/22/16 07:04:41 AM,0.93,,,,
96,01/22/16 07:07:26 AM,0.94,,,,
97,01/22/16 07:09:48 AM,0.95,,,,
98,01/22/16 07:13:52 AM,0.96,,,,
99,01/22/16 07:13:53 AM,0.97,,,,
100,01/22/16 07:17:17 AM,0.98,,,,
101,01/22/16 07:17:18 AM,0.99,,,,
102,01/22/16 07:20:40 AM,1.00,,,,
103,01/22/16 07:23:33 AM,1.01,,,,
104,01/22/16 07:26:39 AM,1.02,,,,
105,01/22/16 07:28:30 AM,1.03,,,,
106,01/22/16 07:31:57 AM,1.04,,,,
107,01/22/16 07:31:58 AM,1.05,,,,
108,01/22/16 07:34:15 AM,1.06,,,,
109,01/22/16 07:37:14 AM,1.07,,,,
110,01/22/16 07:39:48 AM,1.08,,,,
111,01/22/16 07:42:47 AM,1.09,,,,
112,01/22/16 07:45:42 AM,1.10,,,,
113,01/22/16 07:48:01 AM,1.11,,,,
114,01/22/16 07:50:34 AM,1.12,,,,
115,01/22/16 07:53:31 AM,1.13,,,,
116,01/22/16 07:53:32 AM,1.14,,,,
117,01/22/16 07:57:06 AM,1.15,,,,
118,01/22/16 07:57:07 AM,1.16,,,,
119,01/22/16 08:02:50 AM,1.17,,,,
120,01/22/16 08:08:49 AM,1.18,,,,
121,01/22/16 08:11:49 AM,1.19,,,,
122,01/22/16 08:14:33 AM,1.20,,,,
123,01/22/16 08:17:29 AM,1.21,,,,
124,01/22/16 08:20:24 AM,1.22,,,,
125,01/22/16 08:24:03 AM,1.23,,,,
126,01/22/16 08:27:23 AM,1.24,,,,
127,01/22/16 08:30:24 AM,1.25,,,,
128,01/22/16 08:33:54 AM,1.26,,,,
129,01/22/16 08:36:37 AM,1.27,,,,
130,01/22/16 08:38:38 AM,1.28,,,,
131,01/22/16 08:41:15 AM,1.29,,,,
132,01/22/16 08:44:56 AM,1.30,,,,
133,01/22/16 08:49:21 AM,1.31,,,,
134,01/22/16 08:52:22 AM,1.32,,,,
135,01/22/16 08:55:26 AM,1.33,,,,
136,01/22/16 08:55:27 AM,1.34,,,,
137,01/22/16 08:58:37 AM,1.35,,,,
138,01/22/16 08:58:38 AM,1.36,,,,
139,01/22/16 09:01:59 AM,1.37,,,,
140,01/22/16 09:05:07 AM,1.38,,,,
141,01/22/16 09:07:55 AM,1.39,,,,
142,01/22/16 09:09:52 AM,1.40,,,,
143,01/22/16 09:09:53 AM,1.41,,,,
144,01/22/16 09:11:52 AM,1.42,,,,
145,01/22/16 09:13:43 AM,1.43,,,,
146,01/22/16 09:15:57 AM,1.44,,,,
147,01/22/16 09:18:06 AM,1.45,,,,
148,01/22/16 09:20:12 AM,1.46,,,,
149,01/22/16 09:20:13 AM,1.47,,,,
150,01/22/16 09:23:00 AM,1.48,,,,
151,01/22/16 09:27:26 AM,1.49,,,,
152,01/22/16 09:27:27 AM,1.50,,,,
153,01/22/16 09:31:33 AM,1.51,,,,
154,01/22/16 09:36:50 AM,1.52,,,,
155,01/22/16 09:51:23 AM,1.53,,,,
156,01/22/16 11:38:37 AM,1.54,,,,
157,01/22/16 12:41:24 PM,1.55,,,,
158,01/22/16 01:14:13 PM,1.56,,,,
159,01/22/16 02:14:36 PM,1.57,,,,
160,01/22/16 02:14:37 PM,1.58,,,,
161,01/22/16 02:30:19 PM,1.59,,,,
162,01/22/16 02:43:47 PM,1.60,,,,
163,01/22/16 02:43:48 PM,1.61,,,,
164,01/22/16 03:15:27 PM,1.62,,,,
165,01/22/16 03:42:46 PM,1.63,,,,
166,01/22/16 09:42:12 PM,1.64,,,,
167,01/22/16 09:43:27 PM,1.65,,,,
168,01/22/16 10:09:17 PM,1.66,,,,
169,01/22/16 10:14:06 PM,1.67,,,,
170,01/22/16 11:01:48 PM,1.68,,,,
171,01/22/16 11:07:12 PM,1.69,,,,
172,01/22/16 11:14:41 PM,1.70,,,,
173,01/23/16 12:20:49 AM,1.71,,,,
174,01/23/16 12:26:45 AM,1.72,,,,
175,01/23/16 12:26:46 AM,1.73,,,,
176,01/23/16 12:29:26 AM,1.74,,,,
177,01/23/16 03:14:10 PM,1.75,,,,
178,01/23/16 04:07:35 PM,1.76,,,,
179,01/23/16 04:21:51 PM,1.77,,,,
180,01/23/16 04:21:52 PM,1.78,,,,
181,01/23/16 04:55:12 PM,1.79,,,,
182,01/23/16 05:44:30 PM,1.80,,,,
183,01/23/16 05:44:31 PM,1.81,,,,
184,01/23/16 06:25:08 PM,1.82,,,,
185,01/23/16 06:35:19 PM,1.83,,,,
186,01/24/16 03:32:42 AM,1.84,,,,
187,01/28/16 03:32:59 PM,,,Logged,,
188,01/28/16 03:33:01 PM,,,,Logged,
189,01/28/16 03:33:12 PM,1.84,,,,Logged
