"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,12/28/10 11:25:58 AM,0.00,,,,
2,12/28/10 11:26:05 AM,,Logged,,,
3,12/28/10 04:45:10 PM,0.01,,,,
4,12/28/10 05:06:31 PM,0.02,,,,
5,12/28/10 05:31:38 PM,0.03,,,,
6,12/28/10 06:20:22 PM,0.04,,,,
7,12/28/10 06:28:11 PM,0.05,,,,
8,12/28/10 06:33:09 PM,0.06,,,,
9,12/28/10 06:40:41 PM,0.07,,,,
10,12/28/10 07:07:13 PM,0.08,,,,
11,12/28/10 07:11:36 PM,0.09,,,,
12,12/28/10 07:19:41 PM,0.10,,,,
13,12/28/10 07:23:21 PM,0.11,,,,
14,12/28/10 07:26:36 PM,0.12,,,,
15,12/28/10 07:30:07 PM,0.13,,,,
16,12/28/10 07:32:23 PM,0.14,,,,
17,12/28/10 07:34:31 PM,0.15,,,,
18,12/28/10 07:36:24 PM,0.16,,,,
19,12/28/10 07:38:31 PM,0.17,,,,
20,12/28/10 07:53:38 PM,0.18,,,,
21,12/28/10 07:56:54 PM,0.19,,,,
22,12/28/10 07:59:55 PM,0.20,,,,
23,12/28/10 08:01:46 PM,0.21,,,,
24,12/28/10 08:03:22 PM,0.22,,,,
25,12/28/10 08:05:10 PM,0.23,,,,
26,12/28/10 08:07:16 PM,0.24,,,,
27,12/28/10 08:09:06 PM,0.25,,,,
28,12/28/10 08:12:43 PM,0.26,,,,
29,12/28/10 08:15:34 PM,0.27,,,,
30,12/28/10 08:17:06 PM,0.28,,,,
31,12/28/10 08:18:35 PM,0.29,,,,
32,12/28/10 08:19:48 PM,0.30,,,,
33,12/28/10 08:20:49 PM,0.31,,,,
34,12/28/10 08:21:55 PM,0.32,,,,
35,12/28/10 08:23:20 PM,0.33,,,,
36,12/28/10 08:24:41 PM,0.34,,,,
37,12/28/10 08:26:22 PM,0.35,,,,
38,12/28/10 08:28:06 PM,0.36,,,,
39,12/28/10 08:29:27 PM,0.37,,,,
40,12/28/10 08:30:56 PM,0.38,,,,
41,12/28/10 08:32:36 PM,0.39,,,,
42,12/28/10 08:34:02 PM,0.40,,,,
43,12/28/10 08:35:38 PM,0.41,,,,
44,12/28/10 08:36:48 PM,0.42,,,,
45,12/28/10 08:38:11 PM,0.43,,,,
46,12/28/10 08:39:37 PM,0.44,,,,
47,12/28/10 08:41:05 PM,0.45,,,,
48,12/28/10 08:42:49 PM,0.46,,,,
49,12/28/10 08:44:09 PM,0.47,,,,
50,12/28/10 08:45:23 PM,0.48,,,,
