"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,03/22/11 10:53:58 AM,0.00,,,,
2,03/22/11 10:54:03 AM,,Logged,,,
3,03/22/11 04:36:38 PM,0.01,,,,
4,03/22/11 05:12:03 PM,0.02,,,,
5,03/22/11 05:19:11 PM,0.03,,,,
6,03/22/11 05:24:12 PM,0.04,,,,
7,03/22/11 05:34:46 PM,0.05,,,,
8,03/22/11 05:42:30 PM,0.06,,,,
9,03/22/11 05:50:10 PM,0.07,,,,
10,03/22/11 06:02:33 PM,0.08,,,,
11,03/22/11 06:37:29 PM,0.09,,,,
12,03/22/11 06:53:45 PM,0.10,,,,
13,03/22/11 06:59:48 PM,0.11,,,,
14,03/22/11 07:08:38 PM,0.12,,,,
15,03/22/11 07:25:32 PM,0.13,,,,
16,03/22/11 07:45:15 PM,0.14,,,,
17,03/22/11 08:34:13 PM,0.15,,,,
18,03/22/11 08:54:21 PM,0.16,,,,
19,03/22/11 08:59:06 PM,0.17,,,,
20,03/22/11 09:01:55 PM,0.18,,,,
21,03/22/11 09:03:45 PM,0.19,,,,
22,03/22/11 09:06:15 PM,0.20,,,,
23,03/22/11 09:10:33 PM,0.21,,,,
24,03/22/11 09:37:02 PM,0.22,,,,
25,03/22/11 09:51:34 PM,0.23,,,,
26,03/22/11 09:57:48 PM,0.24,,,,
27,03/22/11 10:02:45 PM,0.25,,,,
28,03/22/11 10:05:24 PM,0.26,,,,
29,03/22/11 10:08:23 PM,0.27,,,,
30,03/22/11 10:13:23 PM,0.28,,,,
31,03/22/11 10:17:06 PM,0.29,,,,
32,03/22/11 10:25:53 PM,0.30,,,,
33,03/22/11 10:30:02 PM,0.31,,,,
34,03/22/11 10:32:37 PM,0.32,,,,
35,03/22/11 10:36:08 PM,0.33,,,,
36,03/22/11 10:39:09 PM,0.34,,,,
37,03/22/11 10:41:22 PM,0.35,,,,
38,03/22/11 10:50:54 PM,0.36,,,,
39,03/22/11 11:09:41 PM,0.37,,,,
40,03/22/11 11:14:57 PM,0.38,,,,
41,03/22/11 11:20:55 PM,0.39,,,,
42,03/22/11 11:33:45 PM,0.40,,,,
43,03/22/11 11:38:55 PM,0.41,,,,
44,03/22/11 11:42:43 PM,0.42,,,,
45,03/22/11 11:47:46 PM,0.43,,,,
46,03/22/11 11:57:07 PM,0.44,,,,
47,03/23/11 12:36:14 AM,0.45,,,,
48,03/23/11 12:43:07 AM,0.46,,,,
49,03/23/11 01:04:12 AM,0.47,,,,
50,03/23/11 01:10:59 AM,0.48,,,,
51,03/23/11 01:27:21 AM,0.49,,,,
52,03/23/11 01:33:01 AM,0.50,,,,
53,03/23/11 01:38:17 AM,0.51,,,,
54,03/23/11 01:41:46 AM,0.52,,,,
55,03/23/11 01:46:56 AM,0.53,,,,
56,03/23/11 01:48:00 AM,0.54,,,,
57,03/23/11 01:49:02 AM,0.55,,,,
58,03/23/11 01:54:08 AM,0.56,,,,
59,03/23/11 02:02:10 AM,0.57,,,,
60,03/23/11 02:06:01 AM,0.58,,,,
61,03/23/11 02:09:42 AM,0.59,,,,
62,03/23/11 02:13:01 AM,0.60,,,,
63,03/23/11 02:14:07 AM,0.61,,,,
64,03/23/11 02:14:58 AM,0.62,,,,
65,03/23/11 02:17:06 AM,0.63,,,,
66,03/23/11 02:20:33 AM,0.64,,,,
67,03/23/11 02:24:38 AM,0.65,,,,
68,03/23/11 02:28:50 AM,0.66,,,,
69,03/23/11 02:29:36 AM,0.67,,,,
70,03/23/11 02:30:34 AM,0.68,,,,
71,03/23/11 02:31:17 AM,0.69,,,,
72,03/23/11 02:32:14 AM,0.70,,,,
73,03/23/11 02:33:22 AM,0.71,,,,
74,03/23/11 02:35:04 AM,0.72,,,,
75,03/23/11 02:37:42 AM,0.73,,,,
76,03/23/11 03:06:28 AM,0.74,,,,
77,03/23/11 03:07:36 AM,0.75,,,,
78,03/23/11 03:08:11 AM,0.76,,,,
