"Plot Title: HS"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,04/12/11 09:57:33 AM,0.00,,,
2,04/12/11 09:57:36 AM,,Logged,,
3,04/13/11 05:37:33 AM,0.01,,,
4,04/13/11 05:41:39 AM,0.02,,,
5,04/13/11 05:46:41 AM,0.03,,,
6,04/13/11 06:00:38 AM,0.04,,,
7,04/13/11 09:03:23 AM,0.05,,,
8,04/13/11 09:06:49 AM,0.06,,,
9,04/13/11 09:55:36 AM,0.07,,,
10,04/13/11 09:57:30 AM,0.08,,,
11,04/13/11 09:58:33 AM,0.09,,,
12,04/13/11 09:59:28 AM,0.10,,,
13,04/13/11 10:00:36 AM,0.11,,,
14,04/13/11 10:01:41 AM,0.12,,,
15,04/13/11 10:02:53 AM,0.13,,,
16,04/13/11 10:03:58 AM,0.14,,,
17,04/13/11 10:04:53 AM,0.15,,,
18,04/13/11 10:06:15 AM,0.16,,,
19,04/13/11 10:08:40 AM,0.17,,,
20,04/13/11 10:10:32 AM,0.18,,,
21,04/13/11 10:15:52 AM,0.19,,,
22,04/18/11 08:50:31 PM,0.20,,,
23,04/18/11 09:18:06 PM,0.21,,,
24,04/18/11 09:38:48 PM,0.22,,,
25,04/18/11 10:02:33 PM,0.23,,,
26,04/18/11 10:23:54 PM,0.24,,,
27,04/18/11 10:51:24 PM,0.25,,,
28,04/19/11 02:28:29 AM,0.26,,,
29,04/19/11 03:25:20 AM,0.27,,,
30,04/19/11 07:11:14 AM,0.28,,,
31,04/19/11 09:31:21 AM,0.28,,Logged,Logged
