"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,05/11/11 05:00:00 PM,61.912,2.97,0.00,
2,05/11/11 05:00:01 PM,61.912,2.97,,
3,05/11/11 05:00:02 PM,61.912,2.97,,
4,05/11/11 05:00:03 PM,61.912,2.97,,
5,05/11/11 05:00:04 PM,61.912,2.97,,
6,05/11/11 05:00:05 PM,61.912,2.97,,
7,05/11/11 05:00:06 PM,61.912,2.97,,
8,05/11/11 05:00:07 PM,62.083,2.97,,
9,05/11/11 05:00:08 PM,61.912,2.97,,
10,05/11/11 05:00:09 PM,61.912,2.97,,
11,05/11/11 05:00:10 PM,61.912,2.97,,
12,05/11/11 05:00:11 PM,62.083,2.97,,
13,05/11/11 05:00:12 PM,62.083,2.97,,
14,05/11/11 05:00:13 PM,61.912,2.97,,
15,05/11/11 05:00:14 PM,62.083,2.97,,
16,05/11/11 05:00:15 PM,62.083,2.97,,
17,05/11/11 05:00:16 PM,62.083,2.97,,
18,05/11/11 05:00:17 PM,62.083,2.97,,
19,05/11/11 05:00:18 PM,61.912,2.97,,
20,05/11/11 05:00:19 PM,62.083,2.97,,
21,05/11/11 05:00:20 PM,62.083,2.97,,
22,05/11/11 05:00:21 PM,62.083,2.97,,
23,05/11/11 05:00:22 PM,62.083,2.97,,
24,05/11/11 05:00:23 PM,62.083,2.97,,
25,05/11/11 05:00:24 PM,62.083,2.97,,
26,05/11/11 05:00:25 PM,61.912,2.97,,
27,05/11/11 05:00:26 PM,62.083,2.97,,
28,05/11/11 05:00:27 PM,62.083,2.97,,
29,05/11/11 05:00:28 PM,62.083,2.97,,
30,05/11/11 05:00:29 PM,62.083,2.97,,
31,05/11/11 05:00:30 PM,61.912,2.97,,
32,05/11/11 05:00:31 PM,62.083,2.97,,
33,05/11/11 05:00:32 PM,61.912,2.97,,
34,05/11/11 05:00:33 PM,61.912,2.97,,
35,05/11/11 05:00:34 PM,61.912,2.97,,
36,05/11/11 05:00:35 PM,61.912,2.97,,
37,05/11/11 05:00:36 PM,61.912,2.97,,
38,05/11/11 05:00:37 PM,62.083,2.97,,
39,05/11/11 05:00:38 PM,61.912,2.97,,
40,05/11/11 05:00:39 PM,61.912,2.97,,
41,05/11/11 05:00:40 PM,61.912,2.97,,
42,05/11/11 05:00:41 PM,61.912,2.97,,
43,05/11/11 05:00:42 PM,61.912,2.97,,
44,05/11/11 05:00:43 PM,61.912,2.97,,
45,05/11/11 05:00:44 PM,61.912,2.97,,
46,05/11/11 05:00:45 PM,61.912,2.97,,
47,05/11/11 05:00:46 PM,61.912,2.97,,
