"Plot Title: HS"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","rainfall, inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,10/25/11 03:15:00 PM,2.97,0.00,,,,
2,10/25/11 03:30:00 PM,2.95,,,,,
3,10/25/11 03:45:00 PM,2.95,,,,,
4,10/25/11 04:00:00 PM,2.97,,,,,
5,10/25/11 04:15:00 PM,2.95,,,,,
6,10/25/11 04:30:00 PM,2.95,,,,,
7,10/25/11 04:45:00 PM,2.95,,,,,
8,10/25/11 05:00:00 PM,2.95,,,,,
9,10/25/11 05:15:00 PM,2.97,,,,,
10,10/25/11 05:30:00 PM,2.95,,,,,
11,10/25/11 05:45:00 PM,2.95,,,,,
12,10/25/11 06:00:00 PM,2.95,,,,,
13,10/25/11 06:15:00 PM,2.95,,,,,
14,10/25/11 06:30:00 PM,2.95,,,,,
15,10/25/11 06:45:00 PM,2.95,,,,,
16,10/25/11 07:00:00 PM,2.95,,,,,
17,10/25/11 07:15:00 PM,2.95,,,,,
18,10/25/11 07:30:00 PM,2.97,,,,,
19,10/25/11 07:45:00 PM,2.95,,,,,
20,10/25/11 08:00:00 PM,2.95,,,,,
21,10/25/11 08:15:00 PM,2.95,,,,,
22,10/25/11 08:30:00 PM,2.95,,,,,
23,10/25/11 08:45:00 PM,2.95,,,,,
24,10/25/11 09:00:00 PM,2.95,,,,,
25,10/25/11 09:15:00 PM,2.95,,,,,
26,10/25/11 09:30:00 PM,2.95,,,,,
27,10/25/11 09:45:00 PM,2.95,,,,,
28,10/25/11 10:00:00 PM,2.95,,,,,
29,10/25/11 10:15:00 PM,2.95,,,,,
30,10/25/11 10:30:00 PM,2.95,,,,,
31,10/25/11 10:45:00 PM,2.95,,,,,
32,10/25/11 11:00:00 PM,2.95,,,,,
33,10/25/11 11:15:00 PM,2.95,,,,,
34,10/25/11 11:30:00 PM,2.95,,,,,
35,10/25/11 11:45:00 PM,2.95,,,,,
36,10/26/11 12:00:00 AM,2.95,,,,,
37,10/26/11 12:15:00 AM,2.95,,,,,
38,10/26/11 12:30:00 AM,2.95,,,,,
39,10/26/11 12:45:00 AM,2.95,,,,,
40,10/26/11 01:00:00 AM,2.95,,,,,
41,10/26/11 01:15:00 AM,2.95,,,,,
42,10/26/11 01:30:00 AM,2.95,,,,,
43,10/26/11 01:45:00 AM,2.95,,,,,
44,10/26/11 02:00:00 AM,2.95,,,,,
45,10/26/11 02:15:00 AM,2.95,,,,,
46,10/26/11 02:30:00 AM,2.95,,,,,
47,10/26/11 02:45:00 AM,2.95,,,,,
48,10/26/11 03:00:00 AM,2.95,,,,,
49,10/26/11 03:15:00 AM,2.95,,,,,
50,10/26/11 03:30:00 AM,2.95,,,,,
51,10/26/11 03:45:00 AM,2.95,,,,,
52,10/26/11 04:00:00 AM,2.95,,,,,
53,10/26/11 04:15:00 AM,2.95,,,,,
54,10/26/11 04:30:00 AM,2.95,,,,,
55,10/26/11 04:45:00 AM,2.95,,,,,
56,10/26/11 05:00:00 AM,2.95,,,,,
57,10/26/11 05:15:00 AM,2.95,,,,,
58,10/26/11 05:30:00 AM,2.95,,,,,
59,10/26/11 05:45:00 AM,2.95,,,,,
60,10/26/11 06:00:00 AM,2.95,,,,,
61,10/26/11 06:15:00 AM,2.95,,,,,
62,10/26/11 06:30:00 AM,2.95,,,,,
63,10/26/11 06:45:00 AM,2.95,,,,,
64,10/26/11 07:00:00 AM,2.95,,,,,
65,10/26/11 07:15:00 AM,2.95,,,,,
66,10/26/11 07:30:00 AM,2.95,,,,,
67,10/26/11 07:45:00 AM,2.95,,,,,
68,10/26/11 08:00:00 AM,2.95,,,,,
69,10/26/11 08:15:00 AM,2.95,,,,,
70,10/26/11 08:30:00 AM,2.95,,,,,
71,10/26/11 08:45:00 AM,2.95,,,,,
72,10/26/11 09:00:00 AM,2.95,,,,,
73,10/26/11 09:15:00 AM,2.95,,,,,
74,10/26/11 09:30:00 AM,2.95,,,,,
75,10/26/11 09:45:00 AM,2.95,,,,,
76,10/26/11 10:00:00 AM,2.95,,,,,
77,10/26/11 10:15:00 AM,2.95,,,,,
78,10/26/11 10:30:00 AM,2.95,,,,,
79,10/26/11 10:45:00 AM,2.95,,,,,
80,10/26/11 11:00:00 AM,2.95,,,,,
81,10/26/11 11:15:00 AM,2.95,,,,,
82,10/26/11 11:30:00 AM,2.95,,,,,
83,10/26/11 11:45:00 AM,2.95,,,,,
84,10/26/11 12:00:00 PM,2.95,,,,,
85,10/26/11 12:15:00 PM,2.95,,,,,
86,10/26/11 12:30:00 PM,2.95,,,,,
87,10/26/11 12:45:00 PM,2.95,,,,,
88,10/26/11 01:00:00 PM,2.95,,,,,
89,10/26/11 01:15:00 PM,2.95,,,,,
90,10/26/11 01:30:00 PM,2.95,,,,,
91,10/26/11 01:45:00 PM,2.95,,,,,
92,10/26/11 02:00:00 PM,2.95,,,,,
93,10/26/11 02:15:00 PM,2.95,,,,,
94,10/26/11 02:30:00 PM,2.95,,,,,
95,10/26/11 02:45:00 PM,2.95,,,,,
96,10/26/11 03:00:00 PM,2.95,,,,,
97,10/26/11 03:15:00 PM,2.95,,,,,
98,10/26/11 03:30:00 PM,2.95,,,,,
99,10/26/11 03:45:00 PM,2.95,,,,,
100,10/26/11 04:00:00 PM,2.95,,,,,
101,10/26/11 04:15:00 PM,2.95,,,,,
102,10/26/11 04:30:00 PM,2.95,,,,,
103,10/26/11 04:45:00 PM,2.95,,,,,
104,10/26/11 05:00:00 PM,2.95,,,,,
105,10/26/11 05:15:00 PM,2.95,,,,,
106,10/26/11 05:30:00 PM,2.97,,,,,
107,10/26/11 05:45:00 PM,2.95,,,,,
108,10/26/11 06:00:00 PM,2.95,,,,,
109,10/26/11 06:15:00 PM,2.95,,,,,
110,10/26/11 06:30:00 PM,2.95,,,,,
111,10/26/11 06:45:00 PM,2.95,,,,,
112,10/26/11 07:00:00 PM,2.95,,,,,
113,10/26/11 07:15:00 PM,2.95,,,,,
114,10/26/11 07:30:00 PM,2.95,,,,,
115,10/26/11 07:45:00 PM,2.95,,,,,
116,10/26/11 08:00:00 PM,2.95,,,,,
117,10/26/11 08:15:00 PM,2.95,,,,,
118,10/26/11 08:30:00 PM,2.95,,,,,
119,10/26/11 08:45:00 PM,2.95,,,,,
120,10/26/11 09:00:00 PM,2.95,,,,,
121,10/26/11 09:15:00 PM,2.95,,,,,
122,10/26/11 09:30:00 PM,2.95,,,,,
123,10/26/11 09:45:00 PM,2.95,,,,,
124,10/26/11 10:00:00 PM,2.95,,,,,
125,10/26/11 10:15:00 PM,2.95,,,,,
126,10/26/11 10:30:00 PM,2.95,,,,,
127,10/26/11 10:45:00 PM,2.95,,,,,
128,10/26/11 11:00:00 PM,2.95,,,,,
129,10/26/11 11:15:00 PM,2.95,,,,,
130,10/26/11 11:30:00 PM,2.95,,,,,
131,10/26/11 11:45:00 PM,2.95,,,,,
132,10/27/11 12:00:00 AM,2.95,,,,,
133,10/27/11 12:15:00 AM,2.95,,,,,
134,10/27/11 12:30:00 AM,2.95,,,,,
135,10/27/11 12:45:00 AM,2.95,,,,,
136,10/27/11 01:00:00 AM,2.95,,,,,
137,10/27/11 01:15:00 AM,2.95,,,,,
138,10/27/11 01:30:00 AM,2.95,,,,,
139,10/27/11 01:45:00 AM,2.95,,,,,
140,10/27/11 02:00:00 AM,2.95,,,,,
141,10/27/11 02:15:00 AM,2.95,,,,,
142,10/27/11 02:30:00 AM,2.95,,,,,
143,10/27/11 02:45:00 AM,2.95,,,,,
144,10/27/11 03:00:00 AM,2.95,,,,,
145,10/27/11 03:15:00 AM,2.95,,,,,
146,10/27/11 03:30:00 AM,2.95,,,,,
147,10/27/11 03:45:00 AM,2.95,,,,,
148,10/27/11 04:00:00 AM,2.95,,,,,
149,10/27/11 04:15:00 AM,2.95,,,,,
150,10/27/11 04:30:00 AM,2.95,,,,,
151,10/27/11 04:45:00 AM,2.95,,,,,
152,10/27/11 05:00:00 AM,2.95,,,,,
153,10/27/11 05:15:00 AM,2.95,,,,,
154,10/27/11 05:30:00 AM,2.95,,,,,
155,10/27/11 05:45:00 AM,2.95,,,,,
156,10/27/11 06:00:00 AM,2.95,,,,,
157,10/27/11 06:15:00 AM,2.95,,,,,
158,10/27/11 06:30:00 AM,2.95,,,,,
159,10/27/11 06:45:00 AM,2.95,,,,,
160,10/27/11 07:00:00 AM,2.95,,,,,
161,10/27/11 07:15:00 AM,2.95,,,,,
162,10/27/11 07:30:00 AM,2.95,,,,,
163,10/27/11 07:45:00 AM,2.95,,,,,
164,10/27/11 08:00:00 AM,2.95,,,,,
165,10/27/11 08:15:00 AM,2.95,,,,,
166,10/27/11 08:30:00 AM,2.95,,,,,
167,10/27/11 08:45:00 AM,2.95,,,,,
168,10/27/11 09:00:00 AM,2.95,,,,,
169,10/27/11 09:15:00 AM,2.95,,,,,
170,10/27/11 09:30:00 AM,2.95,,,,,
171,10/27/11 09:45:00 AM,2.95,,,,,
172,10/27/11 10:00:00 AM,2.95,,,,,
173,10/27/11 10:15:00 AM,2.95,,,,,
174,10/27/11 10:30:00 AM,2.95,,,,,
175,10/27/11 10:45:00 AM,2.95,,,,,
176,10/27/11 11:00:00 AM,2.95,,,,,
177,10/27/11 11:15:00 AM,2.95,,,,,
178,10/27/11 11:30:00 AM,2.95,,,,,
179,10/27/11 11:45:00 AM,2.95,,,,,
180,10/27/11 12:00:00 PM,2.95,,,,,
181,10/27/11 12:15:00 PM,2.95,,,,,
182,10/27/11 12:30:00 PM,2.95,,,,,
183,10/27/11 12:45:00 PM,2.95,,,,,
184,10/27/11 01:00:00 PM,2.95,,,,,
185,10/27/11 01:15:00 PM,2.95,,,,,
186,10/27/11 01:30:00 PM,2.95,,,,,
187,10/27/11 01:45:00 PM,2.95,,,,,
188,10/27/11 02:00:00 PM,2.95,,,,,
189,10/27/11 02:15:00 PM,2.95,,,,,
190,10/27/11 02:30:00 PM,2.95,,,,,
191,10/27/11 02:45:00 PM,2.95,,,,,
192,10/27/11 03:00:00 PM,2.95,,,,,
193,10/27/11 03:15:00 PM,2.95,,,,,
194,10/27/11 03:30:00 PM,2.95,,,,,
195,10/27/11 03:45:00 PM,2.95,,,,,
196,10/27/11 04:00:00 PM,2.95,,,,,
197,10/27/11 04:15:00 PM,2.95,,,,,
198,10/27/11 04:30:00 PM,2.95,,,,,
199,10/27/11 04:45:00 PM,2.95,,,,,
200,10/27/11 05:00:00 PM,2.95,,,,,
201,10/27/11 05:15:00 PM,2.95,,,,,
202,10/27/11 05:30:00 PM,2.95,,,,,
203,10/27/11 05:45:00 PM,2.95,,,,,
204,10/27/11 06:00:00 PM,2.95,,,,,
205,10/27/11 06:15:00 PM,2.95,,,,,
206,10/27/11 06:30:00 PM,2.95,,,,,
207,10/27/11 06:45:00 PM,2.95,,,,,
208,10/27/11 07:00:00 PM,2.97,,,,,
209,10/27/11 07:15:00 PM,2.95,,,,,
210,10/27/11 07:30:00 PM,2.95,,,,,
211,10/27/11 07:45:00 PM,2.95,,,,,
212,10/27/11 08:00:00 PM,2.95,,,,,
213,10/27/11 08:15:00 PM,2.95,,,,,
214,10/27/11 08:30:00 PM,2.95,,,,,
215,10/27/11 08:45:00 PM,2.95,,,,,
216,10/27/11 09:00:00 PM,2.95,,,,,
217,10/27/11 09:15:00 PM,2.95,,,,,
218,10/27/11 09:30:00 PM,2.95,,,,,
219,10/27/11 09:45:00 PM,2.95,,,,,
220,10/27/11 10:00:00 PM,2.95,,,,,
221,10/27/11 10:15:00 PM,2.95,,,,,
222,10/27/11 10:30:00 PM,2.95,,,,,
223,10/27/11 10:45:00 PM,2.95,,,,,
224,10/27/11 11:00:00 PM,2.95,,,,,
225,10/27/11 11:15:00 PM,2.95,,,,,
226,10/27/11 11:30:00 PM,2.95,,,,,
227,10/27/11 11:45:00 PM,2.95,,,,,
228,10/28/11 12:00:00 AM,2.95,,,,,
229,10/28/11 12:15:00 AM,2.95,,,,,
230,10/28/11 12:30:00 AM,2.95,,,,,
231,10/28/11 12:45:00 AM,2.95,,,,,
232,10/28/11 01:00:00 AM,2.95,,,,,
233,10/28/11 01:15:00 AM,2.95,,,,,
234,10/28/11 01:30:00 AM,2.95,,,,,
235,10/28/11 01:45:00 AM,2.95,,,,,
236,10/28/11 02:00:00 AM,2.95,,,,,
237,10/28/11 02:15:00 AM,2.95,,,,,
238,10/28/11 02:30:00 AM,2.95,,,,,
239,10/28/11 02:45:00 AM,2.95,,,,,
240,10/28/11 03:00:00 AM,2.95,,,,,
241,10/28/11 03:15:00 AM,2.95,,,,,
242,10/28/11 03:30:00 AM,2.95,,,,,
243,10/28/11 03:45:00 AM,2.95,,,,,
244,10/28/11 04:00:00 AM,2.95,,,,,
245,10/28/11 04:15:00 AM,2.95,,,,,
246,10/28/11 04:30:00 AM,2.95,,,,,
247,10/28/11 04:45:00 AM,2.95,,,,,
248,10/28/11 05:00:00 AM,2.95,,,,,
249,10/28/11 05:15:00 AM,2.95,,,,,
250,10/28/11 05:30:00 AM,2.95,,,,,
251,10/28/11 05:45:00 AM,2.95,,,,,
252,10/28/11 06:00:00 AM,2.95,,,,,
253,10/28/11 06:15:00 AM,2.95,,,,,
254,10/28/11 06:30:00 AM,2.95,,,,,
255,10/28/11 06:45:00 AM,2.95,,,,,
256,10/28/11 07:00:00 AM,2.95,,,,,
257,10/28/11 07:15:00 AM,2.95,,,,,
258,10/28/11 07:30:00 AM,2.95,,,,,
259,10/28/11 07:45:00 AM,2.95,,,,,
260,10/28/11 08:00:00 AM,2.95,,,,,
261,10/28/11 08:15:00 AM,2.95,,,,,
262,10/28/11 08:30:00 AM,2.95,,,,,
263,10/28/11 08:45:00 AM,2.95,,,,,
264,10/28/11 09:00:00 AM,2.95,,,,,
265,10/28/11 09:15:00 AM,2.95,,,,,
266,10/28/11 09:30:00 AM,2.95,,,,,
267,10/28/11 09:45:00 AM,2.93,,,,,
268,10/28/11 10:00:00 AM,2.95,,,,,
269,10/28/11 10:15:00 AM,2.95,,,,,
270,10/28/11 10:30:00 AM,2.95,,,,,
271,10/28/11 10:45:00 AM,2.95,,,,,
272,10/28/11 11:00:00 AM,2.93,,,,,
273,10/28/11 11:15:00 AM,2.93,,,,,
274,10/28/11 11:30:00 AM,2.93,,,,,
275,10/28/11 11:45:00 AM,2.95,,,,,
276,10/28/11 12:00:00 PM,2.95,,,,,
277,10/28/11 12:15:00 PM,2.95,,,,,
278,10/28/11 12:30:00 PM,2.95,,,,,
279,10/28/11 12:45:00 PM,2.95,,,,,
280,10/28/11 01:00:00 PM,2.95,,,,,
281,10/28/11 01:15:00 PM,2.95,,,,,
282,10/28/11 01:30:00 PM,2.95,,,,,
283,10/28/11 01:45:00 PM,2.95,,,,,
284,10/28/11 02:00:00 PM,2.95,,,,,
285,10/28/11 02:15:00 PM,2.95,,,,,
286,10/28/11 02:30:00 PM,2.95,,,,,
287,10/28/11 02:45:00 PM,2.95,,,,,
288,10/28/11 03:00:00 PM,2.95,,,,,
289,10/28/11 03:15:00 PM,2.95,,,,,
290,10/28/11 03:30:00 PM,2.95,,,,,
291,10/28/11 03:45:00 PM,2.95,,,,,
292,10/28/11 04:00:00 PM,2.95,,,,,
293,10/28/11 04:15:00 PM,2.95,,,,,
294,10/28/11 04:30:00 PM,2.95,,,,,
295,10/28/11 04:45:00 PM,2.95,,,,,
296,10/28/11 05:00:00 PM,2.95,,,,,
297,10/28/11 05:15:00 PM,2.95,,,,,
298,10/28/11 05:30:00 PM,2.95,,,,,
299,10/28/11 05:45:00 PM,2.95,,,,,
300,10/28/11 06:00:00 PM,2.95,,,,,
301,10/28/11 06:15:00 PM,2.95,,,,,
302,10/28/11 06:30:00 PM,2.95,,,,,
303,10/28/11 06:45:00 PM,2.95,,,,,
304,10/28/11 07:00:00 PM,2.95,,,,,
305,10/28/11 07:15:00 PM,2.95,,,,,
306,10/28/11 07:30:00 PM,2.95,,,,,
307,10/28/11 07:45:00 PM,2.95,,,,,
308,10/28/11 08:00:00 PM,2.95,,,,,
309,10/28/11 08:15:00 PM,2.95,,,,,
310,10/28/11 08:30:00 PM,2.95,,,,,
311,10/28/11 08:45:00 PM,2.95,,,,,
312,10/28/11 09:00:00 PM,2.95,,,,,
313,10/28/11 09:15:00 PM,2.95,,,,,
314,10/28/11 09:30:00 PM,2.95,,,,,
315,10/28/11 09:45:00 PM,2.95,,,,,
316,10/28/11 10:00:00 PM,2.95,,,,,
317,10/28/11 10:15:00 PM,2.95,,,,,
318,10/28/11 10:30:00 PM,2.95,,,,,
319,10/28/11 10:45:00 PM,2.95,,,,,
320,10/28/11 11:00:00 PM,2.95,,,,,
321,10/28/11 11:15:00 PM,2.95,,,,,
322,10/28/11 11:30:00 PM,2.95,,,,,
323,10/28/11 11:45:00 PM,2.95,,,,,
324,10/29/11 12:00:00 AM,2.95,,,,,
325,10/29/11 12:15:00 AM,2.95,,,,,
326,10/29/11 12:30:00 AM,2.95,,,,,
327,10/29/11 12:45:00 AM,2.95,,,,,
328,10/29/11 01:00:00 AM,2.95,,,,,
329,10/29/11 01:15:00 AM,2.95,,,,,
330,10/29/11 01:30:00 AM,2.95,,,,,
331,10/29/11 01:45:00 AM,2.95,,,,,
332,10/29/11 02:00:00 AM,2.95,,,,,
333,10/29/11 02:15:00 AM,2.95,,,,,
334,10/29/11 02:30:00 AM,2.95,,,,,
335,10/29/11 02:45:00 AM,2.95,,,,,
336,10/29/11 03:00:00 AM,2.95,,,,,
337,10/29/11 03:15:00 AM,2.95,,,,,
338,10/29/11 03:30:00 AM,2.95,,,,,
339,10/29/11 03:45:00 AM,2.95,,,,,
340,10/29/11 04:00:00 AM,2.95,,,,,
341,10/29/11 04:15:00 AM,2.95,,,,,
342,10/29/11 04:30:00 AM,2.95,,,,,
343,10/29/11 04:45:00 AM,2.95,,,,,
344,10/29/11 05:00:00 AM,2.95,,,,,
345,10/29/11 05:15:00 AM,2.95,,,,,
346,10/29/11 05:30:00 AM,2.95,,,,,
347,10/29/11 05:45:00 AM,2.95,,,,,
348,10/29/11 06:00:00 AM,2.95,,,,,
349,10/29/11 06:15:00 AM,2.95,,,,,
350,10/29/11 06:30:00 AM,2.95,,,,,
351,10/29/11 06:45:00 AM,2.95,,,,,
352,10/29/11 07:00:00 AM,2.95,,,,,
353,10/29/11 07:15:00 AM,2.95,,,,,
354,10/29/11 07:30:00 AM,2.95,,,,,
355,10/29/11 07:45:00 AM,2.93,,,,,
356,10/29/11 08:00:00 AM,2.95,,,,,
357,10/29/11 08:15:00 AM,2.95,,,,,
358,10/29/11 08:30:00 AM,2.95,,,,,
359,10/29/11 08:45:00 AM,2.95,,,,,
360,10/29/11 09:00:00 AM,2.95,,,,,
361,10/29/11 09:15:00 AM,2.95,,,,,
362,10/29/11 09:30:00 AM,2.95,,,,,
363,10/29/11 09:45:00 AM,2.95,,,,,
364,10/29/11 10:00:00 AM,2.95,,,,,
365,10/29/11 10:15:00 AM,2.95,,,,,
366,10/29/11 10:30:00 AM,2.93,,,,,
367,10/29/11 10:45:00 AM,2.93,,,,,
368,10/29/11 11:00:00 AM,2.93,,,,,
369,10/29/11 11:15:00 AM,2.93,,,,,
370,10/29/11 11:30:00 AM,2.93,,,,,
371,10/29/11 11:45:00 AM,2.95,,,,,
372,10/29/11 12:00:00 PM,2.95,,,,,
373,10/29/11 12:15:00 PM,2.95,,,,,
374,10/29/11 12:30:00 PM,2.95,,,,,
375,10/29/11 12:45:00 PM,2.95,,,,,
376,10/29/11 01:00:00 PM,2.95,,,,,
377,10/29/11 01:15:00 PM,2.95,,,,,
378,10/29/11 01:30:00 PM,2.95,,,,,
379,10/29/11 01:45:00 PM,2.95,,,,,
380,10/29/11 02:00:00 PM,2.95,,,,,
381,10/29/11 02:15:00 PM,2.95,,,,,
382,10/29/11 02:30:00 PM,2.95,,,,,
383,10/29/11 02:45:00 PM,2.95,,,,,
384,10/29/11 03:00:00 PM,2.95,,,,,
385,10/29/11 03:15:00 PM,2.95,,,,,
386,10/29/11 03:30:00 PM,2.95,,,,,
387,10/29/11 03:45:00 PM,2.95,,,,,
388,10/29/11 04:00:00 PM,2.95,,,,,
389,10/29/11 04:15:00 PM,2.95,,,,,
390,10/29/11 04:30:00 PM,2.95,,,,,
391,10/29/11 04:45:00 PM,2.95,,,,,
392,10/29/11 05:00:00 PM,2.95,,,,,
393,10/29/11 05:15:00 PM,2.95,,,,,
394,10/29/11 05:30:00 PM,2.95,,,,,
395,10/29/11 05:45:00 PM,2.95,,,,,
396,10/29/11 06:00:00 PM,2.95,,,,,
397,10/29/11 06:15:00 PM,2.95,,,,,
398,10/29/11 06:30:00 PM,2.95,,,,,
399,10/29/11 06:45:00 PM,2.95,,,,,
400,10/29/11 07:00:00 PM,2.95,,,,,
401,10/29/11 07:15:00 PM,2.95,,,,,
402,10/29/11 07:30:00 PM,2.95,,,,,
403,10/29/11 07:45:00 PM,2.95,,,,,
404,10/29/11 08:00:00 PM,2.95,,,,,
405,10/29/11 08:15:00 PM,2.95,,,,,
406,10/29/11 08:30:00 PM,2.95,,,,,
407,10/29/11 08:45:00 PM,2.95,,,,,
408,10/29/11 09:00:00 PM,2.95,,,,,
409,10/29/11 09:15:00 PM,2.95,,,,,
410,10/29/11 09:30:00 PM,2.95,,,,,
411,10/29/11 09:45:00 PM,2.95,,,,,
412,10/29/11 10:00:00 PM,2.95,,,,,
413,10/29/11 10:15:00 PM,2.95,,,,,
414,10/29/11 10:30:00 PM,2.95,,,,,
415,10/29/11 10:45:00 PM,2.95,,,,,
416,10/29/11 11:00:00 PM,2.95,,,,,
417,10/29/11 11:15:00 PM,2.95,,,,,
418,10/29/11 11:30:00 PM,2.95,,,,,
419,10/29/11 11:45:00 PM,2.95,,,,,
420,10/30/11 12:00:00 AM,2.95,,,,,
421,10/30/11 12:15:00 AM,2.95,,,,,
422,10/30/11 12:30:00 AM,2.95,,,,,
423,10/30/11 12:45:00 AM,2.95,,,,,
424,10/30/11 01:00:00 AM,2.95,,,,,
425,10/30/11 01:15:00 AM,2.95,,,,,
426,10/30/11 01:30:00 AM,2.95,,,,,
427,10/30/11 01:45:00 AM,2.95,,,,,
428,10/30/11 02:00:00 AM,2.95,,,,,
429,10/30/11 02:15:00 AM,2.95,,,,,
430,10/30/11 02:30:00 AM,2.95,,,,,
431,10/30/11 02:45:00 AM,2.95,,,,,
432,10/30/11 03:00:00 AM,2.95,,,,,
433,10/30/11 03:15:00 AM,2.95,,,,,
434,10/30/11 03:30:00 AM,2.95,,,,,
435,10/30/11 03:45:00 AM,2.95,,,,,
436,10/30/11 04:00:00 AM,2.95,,,,,
437,10/30/11 04:15:00 AM,2.95,,,,,
438,10/30/11 04:30:00 AM,2.95,,,,,
439,10/30/11 04:45:00 AM,2.95,,,,,
440,10/30/11 05:00:00 AM,2.95,,,,,
441,10/30/11 05:15:00 AM,2.93,,,,,
442,10/30/11 05:30:00 AM,2.95,,,,,
443,10/30/11 05:45:00 AM,2.95,,,,,
444,10/30/11 06:00:00 AM,2.95,,,,,
445,10/30/11 06:15:00 AM,2.95,,,,,
446,10/30/11 06:30:00 AM,2.95,,,,,
447,10/30/11 06:45:00 AM,2.95,,,,,
448,10/30/11 07:00:00 AM,2.95,,,,,
449,10/30/11 07:15:00 AM,2.95,,,,,
450,10/30/11 07:30:00 AM,2.95,,,,,
451,10/30/11 07:45:00 AM,2.95,,,,,
452,10/30/11 08:00:00 AM,2.95,,,,,
