"Plot Title: HS"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","rainfall, inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,06/27/11 11:05:10 AM,3.01,0.00,,,,
2,06/27/11 11:05:11 AM,3.01,,Logged,,,
3,06/27/11 11:05:12 AM,3.01,,,,,
4,06/27/11 11:05:13 AM,3.01,,,,,
5,06/27/11 11:05:14 AM,3.01,,,,,
6,06/27/11 11:05:15 AM,3.01,,,,,
7,06/27/11 11:05:16 AM,3.01,,,,,
8,06/27/11 11:05:17 AM,3.01,,,,,
9,06/27/11 11:05:18 AM,3.01,,,,,
10,06/27/11 11:05:19 AM,3.01,,,,,
11,06/27/11 11:05:20 AM,3.01,,,,,
12,06/27/11 11:05:21 AM,3.01,,,,,
13,06/27/11 11:05:22 AM,3.01,,,,,
14,06/27/11 11:05:23 AM,3.01,,,,,
15,06/27/11 11:05:24 AM,3.01,,,,,
16,06/27/11 11:05:25 AM,3.01,,,,,
17,06/27/11 11:05:26 AM,3.01,,,,,
18,06/27/11 11:05:27 AM,3.01,,,,,
19,06/27/11 11:05:28 AM,3.01,,,,,
20,06/27/11 11:05:29 AM,3.01,,,,,
21,06/27/11 11:05:30 AM,3.01,,,,,
22,06/27/11 11:05:31 AM,3.01,,,,,
23,06/27/11 11:05:32 AM,3.01,,,,,
24,06/27/11 11:05:33 AM,3.01,,,,,
25,06/27/11 11:05:34 AM,3.01,,,,,
26,06/27/11 11:05:35 AM,3.01,,,,,
27,06/27/11 11:05:36 AM,3.01,,,,,
28,06/27/11 11:05:37 AM,3.01,,,,,
29,06/27/11 11:05:38 AM,3.01,,,,,
30,06/27/11 11:05:39 AM,3.01,,,,,
31,06/27/11 11:05:40 AM,3.01,,,,,
32,06/27/11 11:05:41 AM,3.01,,,,,
33,06/27/11 11:05:42 AM,3.01,,,,,
34,06/27/11 11:05:43 AM,3.01,,,,,
35,06/27/11 11:05:44 AM,3.01,,,,,
36,06/27/11 11:05:45 AM,3.01,,,,,
37,06/27/11 11:05:46 AM,3.01,,,,,
38,06/27/11 11:05:47 AM,3.01,,,,,
39,06/27/11 11:05:48 AM,3.01,,,,,
40,06/27/11 11:05:49 AM,3.01,,,,,
41,06/27/11 11:05:50 AM,3.01,,,,,
42,06/27/11 11:05:51 AM,3.01,,,,,
43,06/27/11 11:05:52 AM,3.01,,,,,
44,06/27/11 11:05:53 AM,3.01,,,,,
45,06/27/11 11:05:54 AM,3.01,,,,,
46,06/27/11 11:05:55 AM,3.01,,,,,
47,06/27/11 11:05:56 AM,3.01,,,,,
48,06/27/11 11:05:57 AM,3.01,,,,,
49,06/27/11 11:05:58 AM,3.01,,,,,
50,06/27/11 11:05:59 AM,3.01,,,,,
51,06/27/11 11:06:00 AM,3.01,,,,,
