"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,11/10/14 12:20:16 PM,0.00,,
2,11/11/14 12:24:27 AM,0.01,,
3,11/11/14 01:47:35 AM,0.02,,
4,11/11/14 03:13:14 AM,0.03,,
5,11/13/14 01:02:34 AM,0.04,,
6,11/13/14 01:14:01 AM,0.05,,
7,11/13/14 01:19:54 AM,0.06,,
8,11/13/14 01:25:17 AM,0.07,,
9,11/13/14 01:29:53 AM,0.08,,
10,11/13/14 01:33:48 AM,0.09,,
11,11/13/14 01:36:58 AM,0.10,,
12,11/13/14 01:41:18 AM,0.11,,
13,11/13/14 01:52:04 AM,0.12,,
14,11/13/14 01:57:42 AM,0.13,,
15,11/13/14 02:03:47 AM,0.14,,
16,11/13/14 02:13:04 AM,0.15,,
17,11/13/14 02:25:18 AM,0.16,,
18,11/13/14 02:54:14 AM,0.17,,
19,11/13/14 04:03:38 AM,0.18,,
20,11/13/14 04:22:36 AM,0.19,,
21,11/13/14 04:24:20 AM,0.20,,
22,11/13/14 04:30:03 AM,0.21,,
23,11/13/14 05:53:41 AM,0.22,,
24,11/13/14 06:20:17 AM,0.23,,
25,11/13/14 06:33:03 AM,0.24,,
26,11/13/14 06:33:04 AM,0.25,,
27,11/13/14 06:37:54 AM,0.26,,
28,11/13/14 07:12:54 AM,0.27,,
29,11/13/14 09:58:51 AM,0.28,,
30,11/18/14 03:46:54 PM,0.28,Logged,Logged
