"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Stopped (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,12/17/14 09:35:16 AM,0.00,,,
2,12/17/14 12:49:25 PM,0.01,,,
3,12/17/14 12:49:26 PM,0.02,,,
4,12/17/14 12:55:21 PM,0.03,,,
5,12/17/14 05:39:04 PM,0.04,,,
6,12/17/14 06:03:26 PM,0.05,,,
7,12/17/14 06:29:05 PM,0.06,,,
8,12/17/14 06:43:23 PM,0.07,,,
9,12/17/14 06:50:20 PM,0.08,,,
10,12/17/14 06:58:28 PM,0.09,,,
11,12/17/14 07:04:24 PM,0.10,,,
12,12/17/14 07:11:49 PM,0.11,,,
13,12/17/14 07:12:50 PM,0.12,,,
14,12/17/14 07:20:49 PM,0.13,,,
15,12/17/14 07:40:14 PM,0.14,,,
16,12/17/14 07:55:21 PM,0.15,,,
17,12/17/14 08:04:11 PM,0.16,,,
18,12/17/14 08:18:22 PM,0.17,,,
19,12/17/14 08:28:07 PM,0.18,,,
20,12/17/14 08:41:15 PM,0.19,,,
21,12/17/14 08:53:50 PM,0.20,,,
22,12/17/14 09:35:17 PM,0.21,,,
23,12/17/14 09:39:53 PM,0.22,,,
24,12/17/14 09:47:15 PM,0.23,,,
25,12/17/14 09:57:21 PM,0.24,,,
26,12/17/14 10:15:48 PM,0.25,,,
27,12/17/14 10:27:24 PM,0.26,,,
28,12/17/14 10:36:26 PM,0.27,,,
29,12/17/14 10:47:43 PM,0.28,,,
30,12/17/14 11:18:17 PM,0.29,,,
31,12/18/14 08:09:45 AM,0.30,,,
32,12/19/14 01:46:09 AM,0.31,,,
33,12/19/14 02:57:45 AM,0.32,,,
34,12/19/14 04:46:26 AM,0.33,,,
35,12/19/14 04:57:01 AM,0.34,,,
36,12/19/14 05:13:33 AM,0.35,,,
37,12/19/14 06:06:38 AM,0.36,,,
38,12/19/14 06:43:35 AM,0.37,,,
39,12/19/14 07:07:55 AM,0.38,,,
40,12/19/14 08:09:24 AM,0.39,,,
41,12/19/14 08:26:56 AM,0.40,,,
42,12/19/14 08:43:21 AM,0.41,,,
43,12/19/14 09:29:55 AM,0.42,,,
44,12/19/14 10:06:23 AM,0.43,,,
45,12/19/14 10:26:29 AM,0.44,,,
46,12/19/14 10:38:41 AM,0.45,,,
47,12/19/14 10:47:43 AM,0.46,,,
48,12/19/14 10:56:38 AM,0.47,,,
49,12/19/14 11:01:14 AM,0.48,,,
50,12/19/14 11:15:43 AM,0.49,,,
51,12/19/14 11:22:57 AM,0.50,,,
52,12/19/14 12:11:43 PM,0.51,,,
53,12/19/14 12:13:03 PM,0.52,,,
