"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,03/13/18 03:06:01 PM,80.911,0.00,,,,
2,03/13/18 03:07:46 PM,,,Logged,,,
3,03/13/18 03:08:19 PM,,0.01,,,,
4,03/13/18 04:06:01 PM,59.337,,,,,
5,03/13/18 05:06:01 PM,61.054,,,,,
6,03/13/18 06:06:01 PM,56.404,,,,,
7,03/13/18 07:06:01 PM,55.537,,,,,
8,03/13/18 08:06:01 PM,53.623,,,,,
9,03/13/18 09:06:01 PM,53.100,,,,,
10,03/13/18 10:06:01 PM,51.699,,,,,
11,03/13/18 11:06:01 PM,49.937,,,,,
12,03/14/18 12:06:01 AM,48.695,,,,,
13,03/14/18 01:06:01 AM,45.648,,,,,
14,03/14/18 02:06:01 AM,45.466,,,,,
15,03/14/18 03:06:01 AM,46.908,,,,,
16,03/14/18 04:06:01 AM,45.828,,,,,
17,03/14/18 05:06:01 AM,45.828,,,,,
18,03/14/18 06:06:01 AM,46.369,,,,,
19,03/14/18 07:06:01 AM,46.188,,,,,
20,03/14/18 08:06:01 AM,47.802,,,,,
21,03/14/18 09:06:01 AM,48.871,,,,,
22,03/14/18 10:06:01 AM,50.466,,,,,
23,03/14/18 11:06:01 AM,54.669,,,,,
24,03/14/18 12:06:01 PM,50.995,,,,,
25,03/14/18 01:06:01 PM,52.925,,,,,
26,03/14/18 02:06:01 PM,57.614,,,,,
27,03/14/18 03:06:01 PM,59.680,,,,,
28,03/14/18 04:06:01 PM,60.024,,,,,
29,03/14/18 05:06:01 PM,57.958,,,,,
30,03/14/18 06:06:01 PM,52.925,,,,,
31,03/14/18 07:06:01 PM,47.624,,,,,
32,03/14/18 08:06:01 PM,43.831,,,,,
33,03/14/18 09:06:01 PM,41.810,,,,,
34,03/14/18 10:06:01 PM,40.881,,,,,
35,03/14/18 11:06:01 PM,40.134,,,,,
36,03/15/18 12:06:01 AM,38.440,,,,,
37,03/15/18 01:06:01 AM,37.488,,,,,
38,03/15/18 02:06:01 AM,35.951,,,,,
39,03/15/18 03:06:01 AM,35.758,,,,,
40,03/15/18 04:06:01 AM,34.590,,,,,
41,03/15/18 05:06:01 AM,33.213,,,,,
42,03/15/18 06:06:01 AM,34.198,,,,,
43,03/15/18 07:06:01 AM,35.370,,,,,
44,03/15/18 08:06:01 AM,34.590,,,,,
45,03/15/18 09:06:01 AM,42.179,,,,,
46,03/15/18 10:06:01 AM,53.100,,,,,
47,03/15/18 11:06:01 AM,54.322,,,,,
48,03/15/18 12:06:01 PM,52.750,,,,,
49,03/15/18 01:06:01 PM,54.147,,,,,
50,03/15/18 02:06:01 PM,52.050,,,,,
51,03/15/18 03:06:01 PM,54.842,,,,,
52,03/15/18 04:06:01 PM,52.925,,,,,
53,03/15/18 05:06:01 PM,53.623,,,,,
54,03/15/18 06:06:01 PM,52.050,,,,,
55,03/15/18 07:06:01 PM,51.172,,,,,
56,03/15/18 08:06:01 PM,50.113,,,,,
57,03/15/18 09:06:01 PM,50.290,,,,,
58,03/15/18 10:06:01 PM,50.995,,,,,
59,03/15/18 11:06:01 PM,50.113,,,,,
60,03/16/18 12:06:01 AM,49.759,,,,,
61,03/16/18 01:06:01 AM,49.582,,,,,
62,03/16/18 02:06:01 AM,49.404,,,,,
63,03/16/18 03:06:01 AM,49.050,,,,,
64,03/16/18 04:06:01 AM,48.160,,,,,
65,03/16/18 05:06:01 AM,47.982,,,,,
66,03/16/18 06:06:01 AM,48.160,,,,,
67,03/16/18 07:06:01 AM,47.802,,,,,
68,03/16/18 08:06:01 AM,47.446,,,,,
69,03/16/18 09:06:01 AM,51.346,,,,,
70,03/16/18 10:06:01 AM,53.274,,,,,
71,03/16/18 11:06:01 AM,59.508,,,,,
72,03/16/18 12:06:01 PM,61.569,,,,,
73,03/16/18 01:06:01 PM,62.254,,,,,
74,03/16/18 02:06:01 PM,60.024,,,,,
75,03/16/18 03:06:01 PM,58.131,,,,,
76,03/16/18 04:06:01 PM,58.820,,,,,
77,03/16/18 05:06:01 PM,54.669,,,,,
78,03/16/18 06:06:01 PM,48.871,,,,,
79,03/16/18 07:06:01 PM,47.624,,,,,
80,03/16/18 08:06:01 PM,43.099,,,,,
81,03/16/18 09:06:01 PM,41.439,,,,,
82,03/16/18 10:06:01 PM,41.439,,,,,
83,03/16/18 11:06:01 PM,40.696,,,,,
84,03/17/18 12:06:01 AM,41.439,,,,,
85,03/17/18 01:06:01 AM,42.363,,,,,
86,03/17/18 02:06:01 AM,41.067,,,,,
87,03/17/18 03:06:01 AM,38.440,,,,,
88,03/17/18 04:06:01 AM,39.947,,,,,
89,03/17/18 05:06:01 AM,41.254,,,,,
90,03/17/18 06:06:01 AM,41.810,,,,,
91,03/17/18 07:06:01 AM,41.625,,,,,
92,03/17/18 08:06:01 AM,42.363,,,,,
93,03/17/18 09:06:01 AM,46.188,,,,,
94,03/17/18 10:06:01 AM,54.669,,,,,
95,03/17/18 11:06:01 AM,64.825,,,,,
96,03/17/18 12:06:01 PM,54.147,,,,,
97,03/17/18 01:06:01 PM,60.712,,,,,
98,03/17/18 02:06:01 PM,60.539,,,,,
99,03/17/18 03:06:01 PM,63.282,,,,,
100,03/17/18 04:06:01 PM,59.680,,,,,
101,03/17/18 05:06:01 PM,57.958,,,,,
102,03/17/18 06:06:01 PM,54.669,,,,,
103,03/17/18 07:06:01 PM,49.582,,,,,
104,03/17/18 08:06:01 PM,43.466,,,,,
105,03/17/18 09:06:01 PM,40.321,,,,,
106,03/17/18 10:06:01 PM,38.440,,,,,
107,03/17/18 11:06:01 PM,37.297,,,,,
108,03/18/18 12:06:01 AM,35.564,,,,,
109,03/18/18 01:06:01 AM,34.590,,,,,
110,03/18/18 02:06:01 AM,34.394,,,,,
111,03/18/18 03:06:01 AM,33.213,,,,,
112,03/18/18 04:06:01 AM,32.018,,,,,
113,03/18/18 05:06:01 AM,32.218,,,,,
114,03/18/18 06:06:01 AM,31.617,,,,,
115,03/18/18 07:06:01 AM,30.607,,,,,
116,03/18/18 08:06:01 AM,32.815,,,,,
117,03/18/18 09:06:01 AM,37.679,,,,,
118,03/18/18 10:06:01 AM,58.647,,,,,
119,03/18/18 11:06:01 AM,58.820,,,,,
120,03/18/18 12:06:01 PM,62.083,,,,,
121,03/18/18 01:06:01 PM,64.139,,,,,
122,03/18/18 02:06:01 PM,58.820,,,,,
123,03/18/18 03:06:01 PM,57.096,,,,,
124,03/18/18 04:06:01 PM,55.711,,,,,
125,03/18/18 05:06:01 PM,55.364,,,,,
126,03/18/18 06:06:01 PM,53.798,,,,,
127,03/18/18 07:06:01 PM,50.643,,,,,
128,03/18/18 08:06:01 PM,47.088,,,,,
129,03/18/18 09:06:01 PM,44.560,,,,,
130,03/18/18 10:06:01 PM,41.439,,,,,
131,03/18/18 11:06:01 PM,38.440,,,,,
132,03/19/18 12:06:01 AM,36.531,,,,,
133,03/19/18 01:06:01 AM,35.564,,,,,
134,03/19/18 02:06:01 AM,34.590,,,,,
135,03/19/18 03:06:01 AM,34.198,,,,,
136,03/19/18 04:06:01 AM,33.013,,,,,
137,03/19/18 05:06:01 AM,32.617,,,,,
138,03/19/18 06:06:01 AM,31.617,,,,,
139,03/19/18 07:06:01 AM,31.816,,,,,
140,03/19/18 08:06:01 AM,31.617,,,,,
141,03/19/18 09:06:01 AM,36.145,,,,,
142,03/19/18 10:06:01 AM,57.785,,,,,
143,03/19/18 11:06:01 AM,68.592,,,,,
144,03/19/18 12:06:01 PM,73.926,,,,,
145,03/19/18 01:06:01 PM,76.006,,,,,
146,03/19/18 02:06:01 PM,73.407,,,,,
147,03/19/18 03:06:01 PM,72.199,,,,,
148,03/19/18 04:06:01 PM,68.934,,,,,
149,03/19/18 05:06:01 PM,66.366,,,,,
150,03/19/18 06:06:01 PM,60.024,,,,,
151,03/19/18 07:06:01 PM,55.017,,,,,
152,03/19/18 08:06:01 PM,51.699,,,,,
153,03/19/18 09:06:01 PM,50.643,,,,,
154,03/19/18 10:06:01 PM,49.228,,,,,
155,03/19/18 11:06:01 PM,45.648,,,,,
156,03/20/18 12:06:01 AM,45.286,,,,,
157,03/20/18 01:06:01 AM,47.088,,,,,
158,03/20/18 02:06:01 AM,47.266,,,,,
159,03/20/18 03:06:01 AM,47.446,,,,,
160,03/20/18 04:06:01 AM,47.266,,,,,
161,03/20/18 05:06:01 AM,46.728,,,,,
162,03/20/18 06:06:01 AM,47.266,,,,,
163,03/20/18 07:06:01 AM,47.446,,,,,
164,03/20/18 08:06:01 AM,47.624,,,,,
165,03/20/18 09:06:01 AM,49.404,,,,,
166,03/20/18 10:06:01 AM,51.523,,,,,
167,03/20/18 11:06:01 AM,52.750,,,,,
168,03/20/18 12:06:01 PM,54.147,,,,,
169,03/20/18 01:06:01 PM,55.711,,,,,
170,03/20/18 02:06:01 PM,52.050,,,,,
171,03/20/18 02:56:03 PM,,,,Logged,,
172,03/20/18 02:56:04 PM,,0.01,,,Logged,Logged
