"Plot Title: LD"
"#","Date Time, GMT-08:00","Ext. Line Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/26/10 12:16:14 PM,0.00,,,,
2,01/26/10 12:16:18 PM,,Logged,,,
3,01/26/10 12:25:54 PM,0.01,,,,
4,01/26/10 02:02:53 PM,0.02,,,,
5,01/26/10 02:09:56 PM,0.03,,,,
6,01/27/10 05:37:36 AM,0.04,,,,
7,01/29/10 04:14:14 PM,0.05,,,,
8,01/29/10 04:17:23 PM,0.06,,,,
9,01/29/10 04:20:16 PM,0.07,,,,
10,01/29/10 04:24:11 PM,0.08,,,,
11,01/29/10 04:27:31 PM,0.09,,,,
12,01/29/10 04:30:32 PM,0.10,,,,
13,01/29/10 04:32:37 PM,0.11,,,,
14,01/29/10 04:35:06 PM,0.12,,,,
15,01/29/10 04:36:46 PM,0.13,,,,
16,01/29/10 04:38:15 PM,0.14,,,,
17,01/29/10 04:39:45 PM,0.15,,,,
18,01/29/10 04:41:14 PM,0.16,,,,
19,01/29/10 04:41:15 PM,0.17,,,,
20,01/29/10 04:42:17 PM,0.18,,,,
21,01/29/10 04:43:32 PM,0.19,,,,
22,01/29/10 04:44:46 PM,0.20,,,,
23,01/29/10 04:46:32 PM,0.21,,,,
24,01/29/10 04:47:51 PM,0.22,,,,
25,01/29/10 04:49:32 PM,0.23,,,,
26,01/29/10 04:50:48 PM,0.24,,,,
27,01/29/10 04:52:10 PM,0.25,,,,
28,01/29/10 04:52:48 PM,0.26,,,,
29,01/29/10 04:53:34 PM,0.27,,,,
30,01/29/10 04:55:14 PM,0.28,,,,
31,01/29/10 04:57:58 PM,0.29,,,,
32,01/29/10 04:59:49 PM,0.30,,,,
33,01/29/10 05:00:58 PM,0.31,,,,
34,01/29/10 05:01:45 PM,0.32,,,,
35,01/29/10 05:01:46 PM,0.33,,,,
36,01/29/10 05:02:32 PM,0.34,,,,
37,01/29/10 05:03:30 PM,0.35,,,,
38,01/29/10 05:04:39 PM,0.36,,,,
39,01/29/10 05:05:25 PM,0.37,,,,
40,01/29/10 05:07:11 PM,0.38,,,,
41,01/29/10 05:10:31 PM,0.39,,,,
42,01/29/10 05:12:41 PM,0.40,,,,
43,01/29/10 05:13:43 PM,0.41,,,,
44,01/29/10 05:14:19 PM,0.42,,,,
45,01/29/10 05:15:05 PM,0.43,,,,
46,01/29/10 05:15:06 PM,0.44,,,,
47,01/29/10 05:16:44 PM,0.45,,,,
48,01/29/10 05:21:01 PM,0.46,,,,
49,01/29/10 05:27:14 PM,0.47,,,,
50,01/29/10 05:30:14 PM,0.48,,,,
51,01/29/10 05:34:21 PM,0.49,,,,
52,01/29/10 05:38:17 PM,0.50,,,,
53,01/29/10 05:38:18 PM,0.51,,,,
54,01/29/10 05:41:13 PM,0.52,,,,
55,01/29/10 05:44:49 PM,0.53,,,,
56,01/29/10 05:47:52 PM,0.54,,,,
57,01/29/10 05:47:53 PM,0.55,,,,
58,01/29/10 05:49:27 PM,0.56,,,,
59,01/29/10 05:51:45 PM,0.57,,,,
60,01/29/10 05:55:12 PM,0.58,,,,
61,01/29/10 05:55:13 PM,0.59,,,,
62,01/29/10 06:00:31 PM,0.60,,,,
63,01/29/10 06:05:16 PM,0.61,,,,
64,01/29/10 06:08:36 PM,0.62,,,,
65,01/29/10 06:13:08 PM,0.63,,,,
66,01/29/10 06:13:09 PM,0.64,,,,
67,01/29/10 06:22:42 PM,0.65,,,,
68,01/29/10 06:35:16 PM,0.66,,,,
69,01/29/10 07:23:32 PM,0.67,,,,
70,01/29/10 07:57:29 PM,0.68,,,,
71,01/29/10 07:58:01 PM,0.69,,,,
72,01/29/10 07:58:02 PM,0.70,,,,
73,01/29/10 07:58:17 PM,0.71,,,,
74,01/29/10 07:58:49 PM,0.72,,,,
75,01/29/10 07:59:37 PM,0.73,,,,
76,01/29/10 07:59:38 PM,0.74,,,,
77,01/29/10 08:09:37 PM,0.75,,,,
78,01/29/10 08:09:38 PM,0.76,,,,
79,01/29/10 08:31:45 PM,0.77,,,,
80,01/29/10 08:32:55 PM,0.78,,,,
81,01/29/10 08:34:49 PM,0.79,,,,
82,01/30/10 03:33:49 AM,0.80,,,,
83,01/30/10 03:33:50 AM,0.81,,,,
84,02/02/10 01:26:56 PM,,,Logged,,
85,02/02/10 01:26:58 PM,0.81,,,Logged,Logged
