"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/18/10 11:39:06 AM,3.03,0.00,,,
2,05/18/10 12:39:06 PM,3.03,,,,
3,05/18/10 01:39:06 PM,3.03,,,,
4,05/18/10 02:39:06 PM,3.03,,,,
5,05/18/10 03:39:06 PM,3.03,,,,
6,05/18/10 04:39:06 PM,3.03,,,,
7,05/18/10 05:39:06 PM,3.03,,,,
8,05/18/10 06:39:06 PM,3.03,,,,
9,05/18/10 07:39:06 PM,3.03,,,,
10,05/18/10 08:39:06 PM,3.03,,,,
11,05/18/10 09:39:06 PM,3.03,,,,
12,05/18/10 10:39:06 PM,3.03,,,,
13,05/18/10 11:39:06 PM,3.03,,,,
14,05/19/10 12:39:06 AM,3.03,,,,
15,05/19/10 01:39:06 AM,3.03,,,,
16,05/19/10 02:39:06 AM,3.03,,,,
17,05/19/10 03:39:06 AM,3.03,,,,
18,05/19/10 04:39:06 AM,3.03,,,,
19,05/19/10 05:39:06 AM,3.03,,,,
20,05/19/10 06:39:06 AM,3.03,,,,
21,05/19/10 07:39:06 AM,3.01,,,,
22,05/19/10 08:39:06 AM,3.03,,,,
23,05/19/10 09:39:06 AM,3.03,,,,
24,05/19/10 10:39:06 AM,3.03,,,,
25,05/19/10 11:39:06 AM,3.03,,,,
26,05/19/10 12:39:06 PM,3.03,,,,
27,05/19/10 01:39:06 PM,3.03,,,,
28,05/19/10 02:39:06 PM,3.03,,,,
29,05/19/10 03:39:06 PM,3.03,,,,
30,05/19/10 04:39:06 PM,3.01,,,,
31,05/19/10 05:39:06 PM,3.01,,,,
32,05/19/10 06:39:06 PM,3.03,,,,
33,05/19/10 07:39:06 PM,3.03,,,,
34,05/19/10 08:39:06 PM,3.03,,,,
35,05/19/10 09:39:06 PM,3.03,,,,
36,05/19/10 10:39:06 PM,3.03,,,,
37,05/19/10 11:39:06 PM,3.03,,,,
38,05/20/10 12:39:06 AM,3.01,,,,
39,05/20/10 01:39:06 AM,3.03,,,,
40,05/20/10 02:39:06 AM,3.03,,,,
41,05/20/10 03:39:06 AM,3.03,,,,
42,05/20/10 04:39:06 AM,3.03,,,,
43,05/20/10 05:39:06 AM,3.03,,,,
44,05/20/10 06:39:06 AM,3.03,,,,
45,05/20/10 07:39:06 AM,3.03,,,,
46,05/20/10 08:39:06 AM,3.03,,,,
47,05/20/10 09:39:06 AM,3.03,,,,
48,05/20/10 10:39:06 AM,3.01,,,,
49,05/20/10 11:39:06 AM,3.01,,,,
50,05/20/10 12:39:06 PM,3.03,,,,
51,05/20/10 01:39:06 PM,3.03,,,,
52,05/20/10 02:39:06 PM,3.03,,,,
53,05/20/10 03:39:06 PM,3.01,,,,
54,05/20/10 04:39:06 PM,3.03,,,,
55,05/20/10 05:39:06 PM,3.01,,,,
56,05/20/10 06:39:06 PM,3.01,,,,
57,05/20/10 07:39:06 PM,3.03,,,,
58,05/20/10 08:39:06 PM,3.03,,,,
59,05/20/10 09:39:06 PM,3.01,,,,
60,05/20/10 10:39:06 PM,3.03,,,,
61,05/20/10 11:39:06 PM,3.03,,,,
62,05/21/10 12:39:06 AM,3.03,,,,
63,05/21/10 01:39:06 AM,3.03,,,,
64,05/21/10 02:39:06 AM,3.03,,,,
65,05/21/10 03:39:06 AM,3.03,,,,
66,05/21/10 04:39:06 AM,3.03,,,,
67,05/21/10 05:39:06 AM,3.03,,,,
68,05/21/10 06:39:06 AM,3.03,,,,
69,05/21/10 07:39:06 AM,3.03,,,,
70,05/21/10 08:39:06 AM,3.01,,,,
71,05/21/10 09:39:06 AM,3.03,,,,
72,05/21/10 10:39:06 AM,3.01,,,,
73,05/21/10 11:39:06 AM,3.01,,,,
74,05/21/10 12:39:06 PM,3.01,,,,
75,05/21/10 01:39:06 PM,3.01,,,,
76,05/21/10 02:39:06 PM,3.01,,,,
77,05/21/10 03:39:06 PM,3.01,,,,
78,05/21/10 04:39:06 PM,3.03,,,,
79,05/21/10 05:39:06 PM,3.01,,,,
80,05/21/10 06:39:06 PM,3.03,,,,
81,05/21/10 07:39:06 PM,3.01,,,,
82,05/21/10 08:39:06 PM,3.01,,,,
83,05/21/10 09:39:06 PM,3.03,,,,
84,05/21/10 10:39:06 PM,3.03,,,,
85,05/21/10 11:39:06 PM,3.03,,,,
86,05/22/10 12:39:06 AM,3.03,,,,
87,05/22/10 01:39:06 AM,3.03,,,,
88,05/22/10 02:39:06 AM,3.01,,,,
89,05/22/10 03:39:06 AM,3.01,,,,
90,05/22/10 04:39:06 AM,3.01,,,,
91,05/22/10 05:39:06 AM,3.01,,,,
92,05/22/10 06:39:06 AM,3.01,,,,
93,05/22/10 07:39:06 AM,3.01,,,,
94,05/22/10 08:39:06 AM,3.03,,,,
95,05/22/10 09:39:06 AM,3.01,,,,
96,05/22/10 10:39:06 AM,3.01,,,,
97,05/22/10 11:39:06 AM,3.01,,,,
98,05/22/10 12:39:06 PM,3.03,,,,
