"Plot Title: LQC"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592080, SEN S/N: 10592080)","Coupler Attached (LGR S/N: 10592080, SEN S/N: 10592080)","End Of File (LGR S/N: 10592080, SEN S/N: 10592080)"
1,09/23/14 02:10:43 PM,0.00,,
2,09/25/14 12:17:09 AM,0.01,,
3,09/25/14 01:05:26 AM,0.02,,
4,09/25/14 01:05:27 AM,0.03,,
5,09/25/14 01:29:33 AM,0.04,,
6,09/25/14 01:44:49 AM,0.05,,
7,09/25/14 02:35:40 AM,0.06,,
8,09/25/14 03:48:20 AM,0.07,,
9,09/25/14 04:18:06 AM,0.08,,
10,09/25/14 04:18:07 AM,0.09,,
11,09/25/14 05:12:10 AM,0.10,,
12,09/25/14 05:12:11 AM,0.11,,
13,09/25/14 05:25:35 AM,0.12,,
14,09/25/14 05:33:56 AM,0.13,,
15,09/25/14 05:33:57 AM,0.14,,
16,09/25/14 05:45:40 AM,0.15,,
17,09/25/14 06:01:06 AM,0.16,,
18,09/25/14 06:01:07 AM,0.17,,
19,09/25/14 06:07:17 AM,0.18,,
20,09/25/14 06:13:12 AM,0.19,,
21,09/25/14 06:18:21 AM,0.20,,
22,09/25/14 06:18:22 AM,0.21,,
23,09/25/14 06:23:02 AM,0.22,,
24,09/25/14 06:27:45 AM,0.23,,
25,09/25/14 06:38:14 AM,0.24,,
26,09/25/14 06:41:59 AM,0.25,,
27,09/25/14 06:46:25 AM,0.26,,
28,09/25/14 06:53:43 AM,0.27,,
29,09/25/14 07:04:02 AM,0.28,,
30,09/25/14 07:39:56 AM,0.29,,
31,09/30/14 12:38:38 PM,0.29,Logged,Logged
