"Plot Title: LQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,02/08/20 10:15:00 AM,69.107,0.00,,,
2,02/08/20 10:30:00 AM,68.934,,,,
3,02/08/20 10:45:00 AM,70.480,,,,
4,02/08/20 11:00:00 AM,70.995,,,,
5,02/08/20 11:15:00 AM,70.824,,,,
6,02/08/20 11:30:00 AM,71.168,,,,
7,02/08/20 11:45:00 AM,70.995,,,,
8,02/08/20 12:00:00 PM,70.824,,,,
9,02/08/20 12:15:00 PM,69.964,,,,
10,02/08/20 12:30:00 PM,68.934,,,,
11,02/08/20 12:45:00 PM,67.735,,,,
12,02/08/20 01:00:00 PM,67.221,,,,
13,02/08/20 01:15:00 PM,66.879,,,,
14,02/08/20 01:30:00 PM,66.879,,,,
15,02/08/20 01:45:00 PM,67.392,,,,
16,02/08/20 02:00:00 PM,67.221,,,,
17,02/08/20 02:15:00 PM,67.221,,,,
18,02/08/20 02:30:00 PM,66.879,,,,
19,02/08/20 02:45:00 PM,66.366,,,,
20,02/08/20 03:00:00 PM,65.851,,,,
21,02/08/20 03:15:00 PM,65.167,,,,
22,02/08/20 03:30:00 PM,64.310,,,,
23,02/08/20 03:45:00 PM,63.797,,,,
24,02/08/20 04:00:00 PM,63.111,,,,
25,02/08/20 04:15:00 PM,62.425,,,,
26,02/08/20 04:30:00 PM,61.398,,,,
27,02/08/20 04:45:00 PM,60.368,,,,
28,02/08/20 05:00:00 PM,58.820,,,,
29,02/08/20 05:15:00 PM,57.614,,,,
30,02/08/20 05:30:00 PM,55.884,,,,
31,02/08/20 05:45:00 PM,53.100,,,,
32,02/08/20 06:00:00 PM,50.466,,,,
33,02/08/20 06:15:00 PM,48.517,,,,
34,02/08/20 06:30:00 PM,47.088,,,,
35,02/08/20 06:45:00 PM,46.369,,,,
36,02/08/20 07:00:00 PM,45.828,,,,
37,02/08/20 07:15:00 PM,45.286,,,,
38,02/08/20 07:30:00 PM,44.379,,,,
39,02/08/20 07:45:00 PM,43.466,,,,
40,02/08/20 08:00:00 PM,42.732,,,,
41,02/08/20 08:15:00 PM,42.179,,,,
42,02/08/20 08:30:00 PM,42.179,,,,
43,02/08/20 08:45:00 PM,42.179,,,,
44,02/08/20 09:00:00 PM,42.179,,,,
45,02/08/20 09:15:00 PM,41.994,,,,
46,02/08/20 09:30:00 PM,42.179,,,,
47,02/08/20 09:45:00 PM,41.810,,,,
48,02/08/20 10:00:00 PM,41.254,,,,
49,02/08/20 10:15:00 PM,40.696,,,,
50,02/08/20 10:30:00 PM,40.321,,,,
51,02/08/20 10:45:00 PM,39.760,,,,
52,02/08/20 11:00:00 PM,39.573,,,,
53,02/08/20 11:15:00 PM,39.196,,,,
54,02/08/20 11:30:00 PM,39.196,,,,
55,02/08/20 11:45:00 PM,39.007,,,,
56,02/09/20 12:00:00 AM,38.629,,,,
57,02/09/20 12:15:00 AM,38.250,,,,
58,02/09/20 12:30:00 AM,38.061,,,,
59,02/09/20 12:45:00 AM,37.870,,,,
60,02/09/20 01:00:00 AM,37.488,,,,
61,02/09/20 01:15:00 AM,37.107,,,,
62,02/09/20 01:30:00 AM,37.107,,,,
63,02/09/20 01:45:00 AM,36.723,,,,
64,02/09/20 02:00:00 AM,36.338,,,,
65,02/09/20 02:15:00 AM,36.145,,,,
66,02/09/20 02:30:00 AM,36.914,,,,
67,02/09/20 02:45:00 AM,36.914,,,,
68,02/09/20 03:00:00 AM,36.531,,,,
69,02/09/20 03:15:00 AM,36.531,,,,
70,02/09/20 03:30:00 AM,35.758,,,,
71,02/09/20 03:45:00 AM,34.981,,,,
72,02/09/20 04:00:00 AM,35.370,,,,
73,02/09/20 04:15:00 AM,35.370,,,,
74,02/09/20 04:30:00 AM,36.338,,,,
75,02/09/20 04:45:00 AM,39.384,,,,
76,02/09/20 05:00:00 AM,41.439,,,,
77,02/09/20 05:15:00 AM,42.363,,,,
78,02/09/20 05:30:00 AM,43.099,,,,
79,02/09/20 05:45:00 AM,43.099,,,,
80,02/09/20 06:00:00 AM,41.439,,,,
81,02/09/20 06:15:00 AM,39.573,,,,
82,02/09/20 06:30:00 AM,39.196,,,,
83,02/09/20 06:45:00 AM,39.196,,,,
84,02/09/20 07:00:00 AM,38.629,,,,
85,02/09/20 07:15:00 AM,38.250,,,,
86,02/09/20 07:30:00 AM,40.321,,,,
87,02/09/20 07:45:00 AM,44.013,,,,
88,02/09/20 08:00:00 AM,46.548,,,,
89,02/09/20 08:15:00 AM,47.982,,,,
90,02/09/20 08:30:00 AM,48.695,,,,
91,02/09/20 08:45:00 AM,50.113,,,,
92,02/09/20 09:00:00 AM,53.449,,,,
93,02/09/20 09:15:00 AM,60.195,,,,
94,02/09/20 09:30:00 AM,61.741,,,,
95,02/09/20 09:45:00 AM,64.996,,,,
96,02/09/20 10:00:00 AM,67.564,,,,
97,02/09/20 10:15:00 AM,69.793,,,,
98,02/09/20 10:30:00 AM,71.856,,,,
99,02/09/20 10:45:00 AM,71.856,,,,
100,02/09/20 11:00:00 AM,72.372,,,,
101,02/09/20 11:15:00 AM,72.545,,,,
102,02/09/20 11:30:00 AM,74.271,,,,
103,02/09/20 11:45:00 AM,74.271,,,,
104,02/09/20 12:00:00 PM,74.791,,,,
105,02/09/20 12:15:00 PM,75.484,,,,
106,02/09/20 12:30:00 PM,74.098,,,,
107,02/09/20 12:45:00 PM,73.062,,,,
108,02/09/20 01:00:00 PM,72.718,,,,
109,02/09/20 01:15:00 PM,72.372,,,,
110,02/09/20 01:30:00 PM,72.545,,,,
111,02/09/20 01:45:00 PM,73.407,,,,
112,02/09/20 02:00:00 PM,73.753,,,,
113,02/09/20 02:15:00 PM,74.098,,,,
114,02/09/20 02:30:00 PM,74.098,,,,
115,02/09/20 02:45:00 PM,73.926,,,,
116,02/09/20 03:00:00 PM,73.580,,,,
117,02/09/20 03:15:00 PM,72.891,,,,
118,02/09/20 03:30:00 PM,71.512,,,,
119,02/09/20 03:45:00 PM,70.824,,,,
120,02/09/20 04:00:00 PM,70.137,,,,
121,02/09/20 04:15:00 PM,69.278,,,,
122,02/09/20 04:30:00 PM,67.906,,,,
123,02/09/20 04:45:00 PM,66.537,,,,
124,02/09/20 05:00:00 PM,64.825,,,,
125,02/09/20 05:15:00 PM,63.282,,,,
126,02/09/20 05:30:00 PM,61.569,,,,
127,02/09/20 05:45:00 PM,59.337,,,,
128,02/09/20 06:00:00 PM,57.268,,,,
129,02/09/20 06:15:00 PM,56.057,,,,
130,02/09/20 06:30:00 PM,55.711,,,,
131,02/09/20 06:45:00 PM,55.711,,,,
132,02/09/20 07:00:00 PM,55.711,,,,
133,02/09/20 07:15:00 PM,55.364,,,,
134,02/09/20 07:30:00 PM,52.576,,,,
135,02/09/20 07:45:00 PM,50.819,,,,
136,02/09/20 08:00:00 PM,49.050,,,,
137,02/09/20 08:15:00 PM,47.624,,,,
138,02/09/20 08:30:00 PM,47.088,,,,
139,02/09/20 08:45:00 PM,46.369,,,,
140,02/09/20 09:00:00 PM,46.008,,,,
141,02/09/20 09:15:00 PM,47.446,,,,
142,02/09/20 09:30:00 PM,47.624,,,,
143,02/09/20 09:45:00 PM,47.088,,,,
144,02/09/20 10:00:00 PM,45.828,,,,
145,02/09/20 10:15:00 PM,44.379,,,,
146,02/09/20 10:30:00 PM,44.195,,,,
147,02/09/20 10:45:00 PM,45.286,,,,
148,02/09/20 11:00:00 PM,48.160,,,,
149,02/09/20 11:15:00 PM,49.228,,,,
150,02/09/20 11:30:00 PM,49.404,,,,
151,02/09/20 11:45:00 PM,50.113,,,,
152,02/10/20 12:00:00 AM,50.466,,,,
153,02/10/20 12:15:00 AM,50.995,,,,
154,02/10/20 12:30:00 AM,51.172,,,,
155,02/10/20 12:45:00 AM,49.050,,,,
156,02/10/20 01:00:00 AM,45.828,,,,
157,02/10/20 01:15:00 AM,43.099,,,,
