"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,04/22/14 11:04:55 AM,0.00,,,,
2,04/22/14 11:05:01 AM,,Logged,,,
3,04/25/14 03:27:45 AM,0.01,,,,
4,04/25/14 03:57:54 AM,0.02,,,,
5,04/25/14 04:09:44 AM,0.03,,,,
6,04/25/14 04:20:31 AM,0.04,,,,
7,04/25/14 04:24:40 AM,0.05,,,,
8,04/25/14 04:31:48 AM,0.06,,,,
9,04/25/14 04:38:55 AM,0.07,,,,
10,04/25/14 04:38:56 AM,0.08,,,,
11,04/25/14 05:11:58 AM,0.09,,,,
12,04/25/14 05:40:05 AM,0.10,,,,
13,04/25/14 05:40:06 AM,0.11,,,,
14,04/25/14 06:24:30 AM,0.12,,,,
15,04/25/14 06:47:57 AM,0.13,,,,
16,04/25/14 07:20:44 AM,0.14,,,,
17,04/25/14 08:35:23 AM,0.15,,,,
18,04/25/14 08:35:24 AM,0.16,,,,
19,04/25/14 08:43:25 AM,0.17,,,,
20,04/25/14 08:43:52 AM,0.18,,,,
21,04/25/14 08:44:23 AM,0.19,,,,
22,04/25/14 08:44:48 AM,0.20,,,,
23,04/25/14 08:45:11 AM,0.21,,,,
24,04/25/14 08:45:12 AM,0.22,,,,
25,04/25/14 08:45:21 AM,0.23,,,,
26,04/25/14 08:45:22 AM,0.24,,,,
27,04/25/14 08:45:33 AM,0.25,,,,
28,04/25/14 08:45:41 AM,0.26,,,,
29,04/25/14 08:45:42 AM,0.27,,,,
30,04/25/14 08:45:53 AM,0.28,,,,
31,04/25/14 08:46:02 AM,0.29,,,,
32,04/25/14 08:46:15 AM,0.30,,,,
33,04/25/14 08:46:25 AM,0.31,,,,
34,04/25/14 08:46:26 AM,0.32,,,,
35,04/25/14 08:46:47 AM,0.33,,,,
36,04/25/14 08:47:26 AM,0.34,,,,
37,04/25/14 08:49:22 AM,0.35,,,,
38,04/25/14 08:50:58 AM,0.36,,,,
39,04/25/14 08:54:16 AM,0.37,,,,
40,04/25/14 08:56:02 AM,0.38,,,,
41,04/25/14 08:57:22 AM,0.39,,,,
42,04/25/14 08:57:23 AM,0.40,,,,
43,04/25/14 08:58:50 AM,0.41,,,,
44,04/25/14 09:10:11 AM,0.42,,,,
45,04/25/14 09:10:12 AM,0.43,,,,
46,04/25/14 09:18:36 AM,0.44,,,,
47,04/25/14 10:56:03 AM,0.45,,,,
48,04/25/14 12:32:00 PM,0.46,,,,
49,04/25/14 12:36:14 PM,0.47,,,,
50,04/25/14 12:38:48 PM,0.48,,,,
51,04/25/14 12:43:48 PM,0.49,,,,
52,04/25/14 12:49:06 PM,0.50,,,,
53,04/25/14 12:54:21 PM,0.51,,,,
54,04/25/14 01:08:40 PM,0.52,,,,
55,04/25/14 01:21:40 PM,0.53,,,,
56,04/25/14 01:28:18 PM,0.54,,,,
57,04/25/14 01:32:12 PM,0.55,,,,
58,04/25/14 01:35:22 PM,0.56,,,,
59,04/25/14 01:37:59 PM,0.57,,,,
60,04/25/14 01:41:17 PM,0.58,,,,
61,04/25/14 01:50:18 PM,0.59,,,,
62,04/25/14 01:51:46 PM,0.60,,,,
63,04/25/14 01:56:25 PM,0.61,,,,
64,04/25/14 01:58:16 PM,0.62,,,,
65,04/25/14 01:59:49 PM,0.63,,,,
66,04/25/14 02:00:32 PM,0.64,,,,
67,04/25/14 02:01:44 PM,0.65,,,,
68,04/25/14 02:03:12 PM,0.66,,,,
69,04/25/14 02:05:09 PM,0.67,,,,
70,04/25/14 02:05:10 PM,0.68,,,,
71,04/25/14 02:07:03 PM,0.69,,,,
72,04/25/14 02:09:43 PM,0.70,,,,
73,04/25/14 02:11:28 PM,0.71,,,,
74,04/25/14 02:40:58 PM,0.72,,,,
75,04/25/14 02:42:42 PM,0.73,,,,
76,04/25/14 02:45:21 PM,0.74,,,,
77,04/25/14 02:47:09 PM,0.75,,,,
78,04/25/14 03:49:44 PM,0.76,,,,
79,04/25/14 04:04:21 PM,0.77,,,,
80,04/25/14 04:04:22 PM,0.78,,,,
81,04/25/14 04:10:15 PM,0.79,,,,
82,04/27/14 05:26:02 AM,0.80,,,,
83,04/27/14 06:43:55 AM,0.81,,,,
84,05/05/14 02:54:30 PM,,,Logged,,
85,05/05/14 02:54:33 PM,0.81,,,Logged,Logged
