"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/09/10 12:59:52 PM,0.00000000,,,
2,11/09/10 01:00:09 PM,,Logged,,
3,11/09/10 09:15:17 PM,0.00877193,,,
4,11/09/10 10:11:40 PM,0.01754386,,,
5,11/09/10 10:28:53 PM,0.02631579,,,
6,11/09/10 11:06:39 PM,0.03508772,,,
7,11/09/10 11:37:51 PM,0.04385965,,,
8,11/09/10 11:37:52 PM,0.05263158,,,
9,11/10/10 12:06:08 AM,0.06140351,,,
10,11/10/10 12:19:36 AM,0.07017544,,,
11,11/10/10 12:19:37 AM,0.07894737,,,
12,11/10/10 02:57:06 AM,0.08771930,,,
13,11/10/10 03:10:48 AM,0.09649123,,,
14,11/10/10 05:16:29 AM,0.10526316,,,
15,11/10/10 05:41:44 AM,0.11403509,,,
16,11/10/10 05:44:04 AM,0.12280702,,,
17,11/10/10 06:03:25 AM,0.13157895,,,
18,11/16/10 12:53:21 PM,0.13157895,,Logged,Logged
