"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/31/11 10:25:48 AM,0.00000000,,,,
2,05/31/11 10:25:52 AM,,Logged,,,
3,05/31/11 10:38:24 AM,0.00877193,,,,
4,05/31/11 10:47:53 AM,0.01754386,,,,
5,05/31/11 10:58:17 AM,0.02631579,,,,
6,05/31/11 11:11:06 AM,0.03508772,,,,
7,05/31/11 11:11:07 AM,0.04385965,,,,
8,05/31/11 11:24:29 AM,0.05263158,,,,
9,05/31/11 11:30:21 AM,0.06140351,,,,
10,05/31/11 11:42:38 AM,0.07017544,,,,
11,05/31/11 11:55:07 AM,0.07894737,,,,
12,05/31/11 12:00:54 PM,0.08771930,,,,
13,05/31/11 12:06:56 PM,0.09649123,,,,
14,05/31/11 12:13:47 PM,0.10526316,,,,
15,05/31/11 12:18:00 PM,0.11403509,,,,
16,05/31/11 12:22:44 PM,0.12280702,,,,
17,05/31/11 12:26:25 PM,0.13157895,,,,
18,05/31/11 12:30:35 PM,0.14035088,,,,
19,05/31/11 12:30:36 PM,0.14912281,,,,
20,05/31/11 12:33:52 PM,0.15789474,,,,
21,05/31/11 12:38:33 PM,0.16666667,,,,
22,05/31/11 01:20:35 PM,0.17543860,,,,
23,05/31/11 01:31:35 PM,0.18421053,,,,
24,05/31/11 01:50:43 PM,0.19298246,,,,
25,05/31/11 02:04:13 PM,0.20175439,,,,
26,05/31/11 02:11:03 PM,0.21052632,,,,
27,05/31/11 02:17:24 PM,0.21929825,,,,
28,05/31/11 02:17:25 PM,0.22807018,,,,
29,05/31/11 02:24:42 PM,0.23684211,,,,
30,06/03/11 09:51:01 PM,0.24561404,,,,
31,06/03/11 10:42:28 PM,0.25438597,,,,
32,06/03/11 10:59:07 PM,0.26315790,,,,
33,06/03/11 11:03:29 PM,0.27192983,,,,
34,06/03/11 11:08:05 PM,0.28070176,,,,
35,06/03/11 11:12:17 PM,0.28947369,,,,
36,06/03/11 11:17:33 PM,0.29824562,,,,
37,06/03/11 11:23:25 PM,0.30701755,,,,
38,06/03/11 11:30:33 PM,0.31578948,,,,
39,06/03/11 11:36:29 PM,0.32456141,,,,
40,06/03/11 11:42:52 PM,0.33333334,,,,
41,06/03/11 11:48:46 PM,0.34210527,,,,
42,06/03/11 11:56:41 PM,0.35087720,,,,
43,06/04/11 12:04:44 AM,0.35964913,,,,
44,06/04/11 12:12:37 AM,0.36842106,,,,
45,06/04/11 12:18:28 AM,0.37719299,,,,
46,06/04/11 12:24:46 AM,0.38596492,,,,
47,06/04/11 12:30:21 AM,0.39473685,,,,
48,06/04/11 12:35:46 AM,0.40350878,,,,
49,06/04/11 12:40:16 AM,0.41228071,,,,
50,06/04/11 12:45:12 AM,0.42105264,,,,
51,06/04/11 12:45:13 AM,0.42982457,,,,
52,06/04/11 12:49:35 AM,0.43859650,,,,
53,06/04/11 12:54:43 AM,0.44736843,,,,
54,06/04/11 12:59:09 AM,0.45614036,,,,
55,06/04/11 01:04:10 AM,0.46491229,,,,
56,06/04/11 01:08:10 AM,0.47368422,,,,
57,06/04/11 01:08:11 AM,0.48245615,,,,
58,06/04/11 01:12:27 AM,0.49122808,,,,
59,06/04/11 01:15:56 AM,0.50000001,,,,
60,06/04/11 01:19:51 AM,0.50877194,,,,
61,06/04/11 01:23:12 AM,0.51754387,,,,
62,06/04/11 01:23:13 AM,0.52631580,,,,
63,06/04/11 01:26:57 AM,0.53508773,,,,
64,06/04/11 01:30:06 AM,0.54385966,,,,
65,06/04/11 01:33:49 AM,0.55263159,,,,
66,06/04/11 01:33:50 AM,0.56140352,,,,
67,06/04/11 01:36:53 AM,0.57017545,,,,
68,06/04/11 01:40:28 AM,0.57894738,,,,
69,06/04/11 01:43:33 AM,0.58771931,,,,
70,06/04/11 01:47:03 AM,0.59649124,,,,
71,06/04/11 01:47:04 AM,0.60526317,,,,
72,06/04/11 01:50:08 AM,0.61403510,,,,
73,06/04/11 01:53:39 AM,0.62280703,,,,
74,06/04/11 01:56:41 AM,0.63157896,,,,
75,06/04/11 02:00:15 AM,0.64035089,,,,
76,06/04/11 02:03:18 AM,0.64912282,,,,
77,06/04/11 02:06:55 AM,0.65789475,,,,
78,06/04/11 02:09:53 AM,0.66666668,,,,
79,06/04/11 02:13:28 AM,0.67543861,,,,
80,06/04/11 02:13:29 AM,0.68421054,,,,
81,06/04/11 02:16:31 AM,0.69298247,,,,
82,06/04/11 02:20:12 AM,0.70175440,,,,
83,06/04/11 02:23:13 AM,0.71052633,,,,
84,06/04/11 02:26:57 AM,0.71929826,,,,
85,06/04/11 02:30:03 AM,0.72807019,,,,
86,06/04/11 02:33:50 AM,0.73684212,,,,
87,06/04/11 02:37:03 AM,0.74561405,,,,
88,06/04/11 02:40:52 AM,0.75438598,,,,
89,06/04/11 02:44:03 AM,0.76315791,,,,
90,06/04/11 02:47:53 AM,0.77192984,,,,
91,06/04/11 02:51:03 AM,0.78070177,,,,
92,06/04/11 02:54:51 AM,0.78947370,,,,
93,06/04/11 02:58:00 AM,0.79824563,,,,
94,06/04/11 02:58:01 AM,0.80701756,,,,
95,06/04/11 03:01:49 AM,0.81578949,,,,
96,06/04/11 03:05:03 AM,0.82456142,,,,
97,06/04/11 03:05:04 AM,0.83333335,,,,
98,06/04/11 03:08:56 AM,0.84210528,,,,
99,06/04/11 03:12:03 AM,0.85087721,,,,
100,06/04/11 03:15:40 AM,0.85964914,,,,
101,06/04/11 03:18:44 AM,0.86842107,,,,
102,06/04/11 03:22:20 AM,0.87719300,,,,
103,06/04/11 03:25:25 AM,0.88596493,,,,
104,06/04/11 03:29:01 AM,0.89473686,,,,
105,06/04/11 03:32:03 AM,0.90350879,,,,
106,06/04/11 03:32:04 AM,0.91228072,,,,
107,06/04/11 03:35:37 AM,0.92105265,,,,
108,06/04/11 03:38:36 AM,0.92982458,,,,
109,06/04/11 03:42:08 AM,0.93859651,,,,
110,06/04/11 03:45:06 AM,0.94736844,,,,
111,06/04/11 03:48:38 AM,0.95614037,,,,
112,06/04/11 03:48:39 AM,0.96491230,,,,
113,06/04/11 03:51:34 AM,0.97368423,,,,
114,06/04/11 03:55:03 AM,0.98245616,,,,
115,06/04/11 03:58:04 AM,0.99122809,,,,
116,06/04/11 04:01:32 AM,1.00000002,,,,
117,06/04/11 04:04:29 AM,1.00877195,,,,
