"Plot Title: Landing"
"#","Date Time, GMT-07:00","Ext. Line Event (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/07/11 04:00:00 PM,0.00,,
2,12/12/11 02:33:47 AM,0.00,,
3,12/15/11 05:49:09 AM,0.00,,
4,12/15/11 06:13:35 AM,0.00,,
5,12/15/11 07:21:55 AM,0.00,,
6,12/15/11 07:21:56 AM,0.00,,
7,12/15/11 07:39:16 AM,0.00,,
8,12/15/11 08:03:25 AM,0.00,,
9,12/15/11 08:23:12 AM,0.00,,
10,12/15/11 08:23:13 AM,0.00,,
11,12/15/11 08:53:07 AM,0.00,,
12,12/15/11 10:16:41 AM,0.00,,
13,12/15/11 10:30:31 AM,0.00,,
14,12/15/11 10:55:13 AM,0.00,,
15,12/20/11 04:23:14 PM,0.00,Logged,Logged
