"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/29/11 12:24:36 PM,71.339,0.00000000,,,
2,12/29/11 12:39:36 PM,64.996,,,,
3,12/29/11 12:54:36 PM,64.996,,,,
4,12/29/11 01:09:36 PM,65.167,,,,
5,12/29/11 01:24:36 PM,67.735,,,,
6,12/29/11 01:39:36 PM,67.564,,,,
7,12/29/11 01:54:36 PM,66.193,,,,
8,12/29/11 02:09:36 PM,63.455,,,,
9,12/29/11 02:24:36 PM,63.626,,,,
10,12/29/11 02:39:36 PM,64.139,,,,
11,12/29/11 02:54:36 PM,64.310,,,,
12,12/29/11 03:09:36 PM,63.797,,,,
13,12/29/11 03:24:36 PM,62.254,,,,
14,12/29/11 03:39:36 PM,61.054,,,,
15,12/29/11 03:54:36 PM,60.368,,,,
16,12/29/11 04:09:36 PM,60.368,,,,
17,12/29/11 04:24:36 PM,59.508,,,,
18,12/29/11 04:39:36 PM,58.476,,,,
19,12/29/11 04:54:36 PM,57.268,,,,
20,12/29/11 05:09:36 PM,56.057,,,,
21,12/29/11 05:24:36 PM,55.364,,,,
22,12/29/11 05:39:36 PM,54.669,,,,
23,12/29/11 05:54:36 PM,54.322,,,,
24,12/29/11 06:09:36 PM,54.147,,,,
25,12/29/11 06:24:36 PM,53.449,,,,
26,12/29/11 06:39:36 PM,53.449,,,,
27,12/29/11 06:54:36 PM,53.100,,,,
28,12/29/11 07:09:36 PM,52.401,,,,
29,12/29/11 07:24:36 PM,52.050,,,,
30,12/29/11 07:39:36 PM,51.874,,,,
31,12/29/11 07:54:36 PM,51.699,,,,
32,12/29/11 08:09:36 PM,51.699,,,,
33,12/29/11 08:24:36 PM,50.995,,,,
34,12/29/11 08:39:36 PM,50.643,,,,
35,12/29/11 08:54:36 PM,50.290,,,,
36,12/29/11 09:09:36 PM,50.819,,,,
37,12/29/11 09:24:36 PM,50.819,,,,
38,12/29/11 09:39:36 PM,50.466,,,,
39,12/29/11 09:54:36 PM,49.937,,,,
40,12/29/11 10:09:36 PM,49.759,,,,
41,12/29/11 10:24:36 PM,49.404,,,,
42,12/29/11 10:39:36 PM,49.404,,,,
43,12/29/11 10:54:36 PM,49.050,,,,
44,12/29/11 11:09:36 PM,48.871,,,,
45,12/29/11 11:24:36 PM,48.871,,,,
46,12/29/11 11:39:36 PM,48.339,,,,
47,12/29/11 11:54:36 PM,48.160,,,,
48,12/30/11 12:09:36 AM,48.160,,,,
49,12/30/11 12:24:36 AM,48.339,,,,
50,12/30/11 12:39:36 AM,48.517,,,,
51,12/30/11 12:54:36 AM,48.160,,,,
52,12/30/11 01:09:36 AM,48.695,,,,
53,12/30/11 01:24:36 AM,48.339,,,,
54,12/30/11 01:39:36 AM,48.339,,,,
55,12/30/11 01:54:36 AM,48.517,,,,
56,12/30/11 02:09:36 AM,48.517,,,,
57,12/30/11 02:24:36 AM,48.517,,,,
58,12/30/11 02:39:36 AM,48.339,,,,
59,12/30/11 02:54:36 AM,48.339,,,,
60,12/30/11 03:09:36 AM,48.339,,,,
61,12/30/11 03:24:36 AM,48.339,,,,
62,12/30/11 03:39:36 AM,47.982,,,,
63,12/30/11 03:54:36 AM,48.160,,,,
64,12/30/11 04:09:36 AM,48.160,,,,
65,12/30/11 04:24:36 AM,47.802,,,,
66,12/30/11 04:39:36 AM,47.802,,,,
67,12/30/11 04:54:36 AM,47.624,,,,
68,12/30/11 05:09:36 AM,47.802,,,,
69,12/30/11 05:24:36 AM,48.160,,,,
70,12/30/11 05:39:36 AM,48.695,,,,
71,12/30/11 05:54:36 AM,48.871,,,,
72,12/30/11 06:09:36 AM,48.517,,,,
73,12/30/11 06:24:36 AM,48.517,,,,
74,12/30/11 06:39:36 AM,48.695,,,,
75,12/30/11 06:54:36 AM,48.339,,,,
76,12/30/11 07:09:36 AM,47.982,,,,
77,12/30/11 07:24:36 AM,47.802,,,,
78,12/30/11 07:39:36 AM,48.339,,,,
79,12/30/11 07:54:36 AM,48.517,,,,
80,12/30/11 08:09:36 AM,49.228,,,,
81,12/30/11 08:24:36 AM,49.582,,,,
82,12/30/11 08:39:36 AM,50.466,,,,
83,12/30/11 08:54:36 AM,51.346,,,,
84,12/30/11 09:09:36 AM,51.699,,,,
85,12/30/11 09:24:36 AM,52.050,,,,
86,12/30/11 09:39:36 AM,52.750,,,,
87,12/30/11 09:54:36 AM,53.973,,,,
88,12/30/11 10:09:36 AM,54.147,,,,
89,12/30/11 10:24:36 AM,54.495,,,,
90,12/30/11 10:39:36 AM,56.057,,,,
91,12/30/11 10:54:36 AM,57.441,,,,
92,12/30/11 11:09:36 AM,56.057,,,,
93,12/30/11 11:24:36 AM,56.404,,,,
94,12/30/11 11:39:36 AM,56.230,,,,
95,12/30/11 11:54:36 AM,54.669,,,,
96,12/30/11 12:09:36 PM,54.842,,,,
97,12/30/11 12:24:36 PM,55.537,,,,
98,12/30/11 12:39:36 PM,56.057,,,,
99,12/30/11 12:54:36 PM,56.923,,,,
100,12/30/11 01:09:36 PM,61.054,,,,
101,12/30/11 01:24:36 PM,62.598,,,,
102,12/30/11 01:39:36 PM,57.958,,,,
103,12/30/11 01:54:36 PM,56.230,,,,
104,12/30/11 02:09:36 PM,56.057,,,,
105,12/30/11 02:24:36 PM,56.577,,,,
106,12/30/11 02:39:36 PM,57.096,,,,
107,12/30/11 02:54:36 PM,57.785,,,,
108,12/30/11 03:09:36 PM,58.647,,,,
109,12/30/11 03:24:36 PM,58.476,,,,
110,12/30/11 03:39:36 PM,58.647,,,,
111,12/30/11 03:54:36 PM,58.303,,,,
112,12/30/11 04:09:36 PM,57.441,,,,
113,12/30/11 04:24:36 PM,56.577,,,,
114,12/30/11 04:39:36 PM,55.711,,,,
115,12/30/11 04:54:36 PM,54.669,,,,
116,12/30/11 05:09:36 PM,53.623,,,,
117,12/30/11 05:24:36 PM,52.750,,,,
118,12/30/11 05:39:36 PM,52.401,,,,
119,12/30/11 05:54:36 PM,52.401,,,,
120,12/30/11 06:09:36 PM,52.401,,,,
121,12/30/11 06:24:36 PM,52.401,,,,
122,12/30/11 06:39:36 PM,52.750,,,,
123,12/30/11 06:54:36 PM,52.576,,,,
124,12/30/11 07:09:36 PM,52.401,,,,
125,12/30/11 07:24:36 PM,52.050,,,,
126,12/30/11 07:39:36 PM,51.874,,,,
127,12/30/11 07:54:36 PM,51.172,,,,
128,12/30/11 08:09:36 PM,50.995,,,,
129,12/30/11 08:24:36 PM,50.995,,,,
130,12/30/11 08:39:36 PM,50.643,,,,
131,12/30/11 08:54:36 PM,49.937,,,,
132,12/30/11 09:09:36 PM,49.582,,,,
133,12/30/11 09:24:36 PM,49.228,,,,
134,12/30/11 09:39:36 PM,49.050,,,,
135,12/30/11 09:54:36 PM,49.228,,,,
136,12/30/11 10:09:36 PM,48.695,,,,
137,12/30/11 10:24:36 PM,48.339,,,,
138,12/30/11 10:39:36 PM,47.982,,,,
139,12/30/11 10:54:36 PM,47.624,,,,
140,12/30/11 11:09:36 PM,47.088,,,,
141,12/30/11 11:24:36 PM,46.728,,,,
142,12/30/11 11:39:36 PM,46.188,,,,
143,12/30/11 11:54:36 PM,46.369,,,,
144,12/31/11 12:09:36 AM,48.517,,,,
145,12/31/11 12:24:36 AM,48.160,,,,
146,12/31/11 12:39:36 AM,47.982,,,,
147,12/31/11 12:54:36 AM,46.548,,,,
148,12/31/11 01:09:36 AM,45.286,,,,
149,12/31/11 01:24:36 AM,44.922,,,,
150,12/31/11 01:39:36 AM,44.560,,,,
151,12/31/11 01:54:36 AM,43.831,,,,
152,12/31/11 02:09:36 AM,43.466,,,,
153,12/31/11 02:24:36 AM,43.648,,,,
154,12/31/11 02:39:36 AM,43.099,,,,
155,12/31/11 02:54:36 AM,42.732,,,,
156,12/31/11 03:09:36 AM,43.099,,,,
157,12/31/11 03:24:36 AM,42.915,,,,
158,12/31/11 03:39:36 AM,43.282,,,,
159,12/31/11 03:54:36 AM,42.732,,,,
160,12/31/11 04:09:36 AM,41.810,,,,
161,12/31/11 04:24:36 AM,41.254,,,,
162,12/31/11 04:39:36 AM,41.254,,,,
163,12/31/11 04:54:36 AM,42.363,,,,
164,12/31/11 05:09:36 AM,41.810,,,,
165,12/31/11 05:24:36 AM,42.363,,,,
