"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,01/22/13 02:44:37 PM,0.00,,,
2,01/22/13 02:44:47 PM,,Logged,,
3,01/23/13 01:14:54 PM,0.01,,,
4,01/23/13 01:43:43 PM,0.02,,,
5,01/23/13 08:23:50 PM,0.03,,,
6,01/23/13 09:13:40 PM,0.04,,,
7,01/23/13 09:13:41 PM,0.05,,,
8,01/23/13 10:25:48 PM,0.06,,,
9,01/24/13 12:00:00 AM,0.07,,,
10,01/24/13 12:00:01 AM,0.08,,,
11,01/24/13 02:55:25 AM,0.09,,,
12,01/24/13 12:02:31 PM,0.10,,,
13,01/24/13 02:49:53 PM,0.11,,,
14,01/24/13 03:09:22 PM,0.12,,,
15,01/24/13 03:20:42 PM,0.13,,,
16,01/24/13 03:26:12 PM,0.14,,,
17,01/24/13 03:31:46 PM,0.15,,,
18,01/24/13 03:36:30 PM,0.16,,,
19,01/24/13 03:44:17 PM,0.17,,,
20,01/24/13 03:51:42 PM,0.18,,,
21,01/24/13 04:02:11 PM,0.19,,,
22,01/24/13 04:17:07 PM,0.20,,,
23,01/24/13 04:35:28 PM,0.21,,,
24,01/24/13 04:48:43 PM,0.22,,,
25,01/24/13 05:13:01 PM,0.23,,,
26,01/24/13 05:24:10 PM,0.24,,,
27,01/24/13 06:09:28 PM,0.25,,,
28,01/24/13 08:06:43 PM,0.26,,,
29,01/24/13 08:06:44 PM,0.27,,,
30,01/25/13 01:52:32 AM,0.28,,,
31,01/25/13 02:04:38 AM,0.29,,,
32,01/25/13 03:32:07 AM,0.30,,,
33,01/25/13 06:04:59 AM,0.31,,,
34,01/27/13 04:27:14 AM,0.32,,,
35,01/29/13 03:39:50 PM,,,Logged,
36,01/29/13 03:40:13 PM,,Logged,,
37,01/29/13 03:40:14 PM,0.32,,Logged,Logged
