"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,10/28/14 10:09:52 AM,0.00,,,,
2,10/28/14 10:09:55 AM,,Logged,,,
3,10/31/14 09:33:08 AM,0.01,,,,
4,10/31/14 10:24:59 AM,0.02,,,,
5,10/31/14 11:00:44 AM,0.03,,,,
6,10/31/14 11:00:45 AM,0.04,,,,
7,10/31/14 11:03:11 AM,0.05,,,,
8,10/31/14 11:03:12 AM,0.06,,,,
9,10/31/14 11:07:20 AM,0.07,,,,
10,10/31/14 11:15:18 AM,0.08,,,,
11,10/31/14 11:16:07 AM,0.09,,,,
12,10/31/14 11:16:08 AM,0.10,,,,
13,10/31/14 11:17:57 AM,0.11,,,,
14,10/31/14 11:19:37 AM,0.12,,,,
15,10/31/14 11:21:14 AM,0.13,,,,
16,10/31/14 11:21:15 AM,0.14,,,,
17,10/31/14 11:22:32 AM,0.15,,,,
18,10/31/14 11:23:54 AM,0.16,,,,
19,10/31/14 11:24:43 AM,0.17,,,,
20,10/31/14 11:25:53 AM,0.18,,,,
21,10/31/14 11:26:57 AM,0.19,,,,
22,10/31/14 11:29:18 AM,0.20,,,,
23,10/31/14 11:30:35 AM,0.21,,,,
24,10/31/14 11:32:38 AM,0.22,,,,
25,10/31/14 11:34:15 AM,0.23,,,,
26,10/31/14 11:37:05 AM,0.24,,,,
27,10/31/14 11:40:10 AM,0.25,,,,
28,10/31/14 11:43:10 AM,0.26,,,,
29,10/31/14 11:43:11 AM,0.27,,,,
30,10/31/14 11:44:45 AM,0.28,,,,
31,10/31/14 11:48:47 AM,0.29,,,,
32,10/31/14 12:02:09 PM,0.30,,,,
33,10/31/14 12:23:28 PM,0.31,,,,
34,10/31/14 12:36:06 PM,0.32,,,,
35,10/31/14 12:49:33 PM,0.33,,,,
36,10/31/14 12:55:13 PM,0.34,,,,
37,10/31/14 01:07:32 PM,0.35,,,,
38,10/31/14 01:13:25 PM,0.36,,,,
39,10/31/14 01:15:09 PM,0.37,,,,
40,10/31/14 01:15:50 PM,0.38,,,,
41,10/31/14 01:16:46 PM,0.39,,,,
42,10/31/14 01:17:44 PM,0.40,,,,
43,10/31/14 01:17:45 PM,0.41,,,,
44,10/31/14 01:20:21 PM,0.42,,,,
45,10/31/14 01:20:22 PM,0.43,,,,
46,10/31/14 01:24:51 PM,0.44,,,,
47,10/31/14 01:35:21 PM,0.45,,,,
48,10/31/14 01:45:36 PM,0.46,,,,
49,10/31/14 11:02:53 PM,0.47,,,,
50,10/31/14 11:27:35 PM,0.48,,,,
51,10/31/14 11:33:56 PM,0.49,,,,
52,10/31/14 11:33:57 PM,0.50,,,,
53,11/01/14 12:06:45 AM,0.51,,,,
54,11/01/14 04:24:14 AM,0.52,,,,
55,11/01/14 04:27:50 AM,0.53,,,,
