"Plot Title: Landing"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Detached (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223, SEN S/N: 20309223)","Host Connected (LGR S/N: 20309223, SEN S/N: 20309223)","End Of File (LGR S/N: 20309223, SEN S/N: 20309223)"
1,04/17/18 02:21:28 PM,75.139,0.00,,,,
2,04/17/18 02:21:36 PM,,,Logged,,,
3,04/17/18 03:21:28 PM,94.253,,,,,
4,04/17/18 04:21:28 PM,101.282,,,,,
5,04/17/18 05:21:28 PM,65.851,,,,,
6,04/17/18 06:21:28 PM,57.958,,,,,
7,04/17/18 07:21:28 PM,54.147,,,,,
8,04/17/18 08:21:28 PM,48.695,,,,,
9,04/17/18 09:21:28 PM,45.828,,,,,
10,04/17/18 10:21:28 PM,44.560,,,,,
11,04/17/18 11:21:28 PM,44.560,,,,,
12,04/18/18 12:21:28 AM,43.466,,,,,
13,04/18/18 01:21:28 AM,43.831,,,,,
14,04/18/18 02:21:28 AM,43.648,,,,,
15,04/18/18 03:21:28 AM,44.013,,,,,
16,04/18/18 04:21:28 AM,43.831,,,,,
17,04/18/18 05:21:28 AM,44.013,,,,,
18,04/18/18 06:21:28 AM,44.742,,,,,
19,04/18/18 07:21:28 AM,45.286,,,,,
20,04/18/18 08:21:28 AM,47.982,,,,,
21,04/18/18 09:21:28 AM,51.523,,,,,
22,04/18/18 10:21:28 AM,55.364,,,,,
23,04/18/18 11:21:28 AM,60.712,,,,,
24,04/18/18 12:21:28 PM,68.248,,,,,
25,04/18/18 01:21:28 PM,70.824,,,,,
26,04/18/18 02:21:28 PM,70.651,,,,,
27,04/18/18 03:21:28 PM,62.769,,,,,
28,04/18/18 04:21:28 PM,95.783,,,,,
29,04/18/18 05:21:28 PM,62.598,,,,,
30,04/18/18 06:21:28 PM,54.842,,,,,
31,04/18/18 07:21:28 PM,49.228,,,,,
32,04/18/18 08:21:28 PM,46.548,,,,,
33,04/18/18 09:21:28 PM,45.648,,,,,
34,04/18/18 10:21:28 PM,45.286,,,,,
35,04/18/18 11:21:28 PM,45.466,,,,,
36,04/19/18 12:21:28 AM,44.560,,,,,
37,04/19/18 01:21:28 AM,43.466,,,,,
38,04/19/18 02:21:28 AM,44.560,,,,,
39,04/19/18 03:21:28 AM,44.379,,,,,
40,04/19/18 04:21:28 AM,41.994,,,,,
41,04/19/18 05:21:28 AM,40.881,,,,,
42,04/19/18 06:21:28 AM,41.810,,,,,
43,04/19/18 07:21:28 AM,41.994,,,,,
44,04/19/18 08:21:28 AM,45.104,,,,,
45,04/19/18 09:21:28 AM,52.925,,,,,
46,04/19/18 10:21:28 AM,54.322,,,,,
47,04/19/18 11:21:28 AM,60.195,,,,,
48,04/19/18 12:21:28 PM,73.580,,,,,
49,04/19/18 01:21:28 PM,79.853,,,,,
50,04/19/18 02:21:28 PM,79.326,,,,,
51,04/19/18 03:21:28 PM,98.110,,,,,
52,04/19/18 04:21:28 PM,104.128,,,,,
53,04/19/18 05:21:28 PM,64.139,,,,,
54,04/19/18 06:21:28 PM,57.958,,,,,
55,04/19/18 07:21:28 PM,53.449,,,,,
56,04/19/18 08:21:28 PM,49.050,,,,,
57,04/19/18 09:21:28 PM,46.188,,,,,
58,04/19/18 10:21:28 PM,44.379,,,,,
59,04/19/18 11:21:28 PM,43.831,,,,,
60,04/20/18 12:21:28 AM,43.099,,,,,
61,04/20/18 01:21:28 AM,43.282,,,,,
62,04/20/18 02:21:28 AM,43.466,,,,,
63,04/20/18 03:21:28 AM,43.099,,,,,
64,04/20/18 04:21:28 AM,42.915,,,,,
65,04/20/18 05:21:28 AM,42.548,,,,,
66,04/20/18 06:21:28 AM,42.363,,,,,
67,04/20/18 07:21:28 AM,42.548,,,,,
68,04/20/18 08:21:28 AM,45.104,,,,,
69,04/20/18 09:21:28 AM,53.100,,,,,
70,04/20/18 10:21:28 AM,53.973,,,,,
71,04/20/18 11:21:28 AM,59.680,,,,,
72,04/20/18 12:21:28 PM,72.718,,,,,
73,04/20/18 01:21:28 PM,81.442,,,,,
