"Plot Title: Landing_1"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592082, SEN S/N: 10592082)","Event, units (LGR S/N: 10592082, SEN S/N: 10592082, LBL: Landing_1)","Coupler Detached (LGR S/N: 10592082, SEN S/N: 10592082)","Coupler Attached (LGR S/N: 10592082, SEN S/N: 10592082)","Host Connected (LGR S/N: 10592082, SEN S/N: 10592082)","End Of File (LGR S/N: 10592082, SEN S/N: 10592082)"
1,04/05/16 11:23:11 AM,68.763,0.00,,,,
2,04/05/16 11:23:35 AM,,,Logged,,,
3,04/05/16 12:23:11 PM,80.911,,,,,
4,04/05/16 01:23:11 PM,90.309,,,,,
5,04/05/16 02:23:11 PM,91.987,,,,,
6,04/05/16 03:23:11 PM,94.253,,,,,
7,04/05/16 04:23:11 PM,96.555,,,,,
8,04/05/16 05:23:11 PM,96.168,,,,,
9,04/05/16 06:23:11 PM,77.050,,,,,
10,04/05/16 07:23:11 PM,69.622,,,,,
11,04/05/16 08:23:11 PM,64.139,,,,,
12,04/05/16 09:23:11 PM,64.481,,,,,
13,04/05/16 10:23:11 PM,61.741,,,,,
14,04/05/16 11:23:11 PM,60.368,,,,,
15,04/06/16 12:23:11 AM,60.883,,,,,
16,04/06/16 01:23:11 AM,60.539,,,,,
17,04/06/16 02:23:11 AM,59.851,,,,,
18,04/06/16 03:23:11 AM,58.820,,,,,
19,04/06/16 04:23:11 AM,58.647,,,,,
20,04/06/16 05:23:11 AM,58.820,,,,,
21,04/06/16 06:23:11 AM,59.164,,,,,
22,04/06/16 07:23:11 AM,59.680,,,,,
23,04/06/16 08:23:11 AM,61.398,,,,,
24,04/06/16 09:23:11 AM,74.791,,,,,
25,04/06/16 10:23:11 AM,72.545,,,,,
26,04/06/16 11:23:11 AM,80.029,,,,,
27,04/06/16 12:23:11 PM,95.783,,,,,
28,04/06/16 01:23:11 PM,102.493,,,,,
29,04/06/16 02:23:11 PM,104.333,,,,,
30,04/06/16 03:23:11 PM,97.525,,,,,
31,04/06/16 04:23:11 PM,102.290,,,,,
32,04/06/16 05:23:11 PM,102.290,,,,,
33,04/06/16 06:23:11 PM,82.152,,,,,
34,04/06/16 07:23:11 PM,73.407,,,,,
35,04/06/16 08:23:11 PM,66.879,,,,,
36,04/06/16 09:23:11 PM,64.652,,,,,
37,04/06/16 10:23:11 PM,62.769,,,,,
38,04/06/16 11:23:11 PM,60.883,,,,,
39,04/07/16 12:23:11 AM,59.508,,,,,
40,04/07/16 01:23:11 AM,59.680,,,,,
41,04/07/16 02:23:11 AM,58.303,,,,,
42,04/07/16 03:23:11 AM,56.923,,,,,
43,04/07/16 04:23:11 AM,56.577,,,,,
44,04/07/16 05:23:11 AM,55.017,,,,,
45,04/07/16 06:23:11 AM,54.495,,,,,
46,04/07/16 07:23:11 AM,54.669,,,,,
47,04/07/16 08:23:11 AM,57.614,,,,,
48,04/07/16 09:23:11 AM,61.398,,,,,
49,04/07/16 10:23:11 AM,63.111,,,,,
50,04/07/16 11:23:11 AM,67.392,,,,,
51,04/07/16 12:23:11 PM,72.199,,,,,
52,04/07/16 01:23:11 PM,79.151,,,,,
53,04/07/16 02:23:11 PM,82.686,,,,,
54,04/07/16 03:23:11 PM,74.964,,,,,
55,04/07/16 04:23:11 PM,66.366,,,,,
56,04/07/16 05:23:11 PM,60.883,,,,,
57,04/07/16 06:23:11 PM,60.883,,,,,
58,04/07/16 07:23:11 PM,58.820,,,,,
59,04/07/16 08:23:11 PM,56.404,,,,,
60,04/07/16 09:23:11 PM,55.364,,,,,
61,04/07/16 10:23:11 PM,54.842,,,,,
62,04/07/16 11:23:11 PM,54.322,,,,,
63,04/08/16 12:23:11 AM,54.147,,,,,
64,04/08/16 01:23:11 AM,53.973,,,,,
65,04/08/16 02:23:11 AM,53.623,,,,,
66,04/08/16 03:23:11 AM,53.623,,,,,
67,04/08/16 04:23:11 AM,54.322,,,,,
68,04/08/16 05:23:11 AM,54.322,,,,,
69,04/08/16 06:23:11 AM,54.322,,,,,
70,04/08/16 07:23:11 AM,54.495,,,,,
71,04/08/16 08:23:11 AM,55.884,,,,,
72,04/08/16 09:23:11 AM,59.337,,,,,
73,04/08/16 10:23:11 AM,62.254,,,,,
74,04/08/16 11:23:11 AM,66.879,,,,,
75,04/08/16 12:23:11 PM,69.278,,,,,
76,04/08/16 01:23:11 PM,69.964,,,,,
77,04/08/16 02:23:11 PM,68.592,,,,,
78,04/08/16 03:23:11 PM,64.481,,,,,
79,04/08/16 04:23:11 PM,59.851,,,,,
80,04/08/16 05:23:11 PM,58.476,,,,,
81,04/08/16 06:23:11 PM,57.614,,,,,
82,04/08/16 07:23:11 PM,56.923,,,,,
83,04/08/16 07:27:20 PM,,0.01,,,,
84,04/08/16 07:42:39 PM,,0.02,,,,
85,04/08/16 07:51:52 PM,,0.03,,,,
86,04/08/16 08:03:52 PM,,0.04,,,,
87,04/08/16 08:15:41 PM,,0.05,,,,
88,04/08/16 08:23:11 PM,56.404,,,,,
89,04/08/16 08:30:37 PM,,0.06,,,,
90,04/08/16 08:48:30 PM,,0.07,,,,
91,04/08/16 09:07:05 PM,,0.08,,,,
92,04/08/16 09:22:19 PM,,0.09,,,,
93,04/08/16 09:23:11 PM,56.057,,,,,
94,04/08/16 09:39:21 PM,,0.10,,,,
95,04/08/16 09:53:55 PM,,0.11,,,,
96,04/08/16 10:14:50 PM,,0.12,,,,
97,04/08/16 10:23:11 PM,56.057,,,,,
98,04/08/16 10:33:36 PM,,0.13,,,,
99,04/08/16 11:23:11 PM,55.884,,,,,
100,04/09/16 12:23:11 AM,55.537,,,,,
101,04/09/16 12:56:39 AM,,0.14,,,,
102,04/09/16 01:23:11 AM,55.537,,,,,
103,04/09/16 02:23:11 AM,55.537,,,,,
104,04/09/16 03:23:11 AM,55.364,,,,,
105,04/09/16 04:23:11 AM,55.189,,,,,
106,04/09/16 05:23:11 AM,55.017,,,,,
107,04/09/16 06:23:11 AM,54.842,,,,,
108,04/09/16 07:23:11 AM,54.842,,,,,
109,04/09/16 08:23:11 AM,55.711,,,,,
110,04/09/16 09:23:11 AM,56.057,,,,,
111,04/09/16 09:30:59 AM,,0.15,,,,
112,04/09/16 09:58:47 AM,,0.16,,,,
113,04/09/16 10:10:48 AM,,0.17,,,,
114,04/09/16 10:23:11 AM,56.577,,,,,
115,04/09/16 10:25:17 AM,,0.18,,,,
116,04/09/16 10:37:30 AM,,0.19,,,,
117,04/09/16 10:37:31 AM,,0.20,,,,
118,04/09/16 10:56:45 AM,,0.21,,,,
119,04/09/16 11:15:13 AM,,0.22,,,,
