"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,12/17/14 12:02:31 PM,0.00,,,
2,12/17/14 05:10:11 PM,0.01,,,
3,12/17/14 05:53:22 PM,0.02,,,
4,12/17/14 06:08:33 PM,0.03,,,
5,12/17/14 06:39:32 PM,0.04,,,
6,12/17/14 06:43:25 PM,0.05,,,
7,12/17/14 06:43:26 PM,0.06,,,
8,12/17/14 06:48:54 PM,0.07,,,
9,12/17/14 06:55:29 PM,0.08,,,
10,12/17/14 06:55:30 PM,0.09,,,
11,12/17/14 07:09:48 PM,0.10,,,
12,12/17/14 07:17:35 PM,0.11,,,
13,12/17/14 07:21:51 PM,0.12,,,
14,12/17/14 07:21:52 PM,0.13,,,
15,12/17/14 07:25:01 PM,0.14,,,
16,12/17/14 07:28:21 PM,0.15,,,
17,12/17/14 07:28:22 PM,0.16,,,
18,12/17/14 07:38:02 PM,0.17,,,
19,12/17/14 07:41:38 PM,0.18,,,
20,12/17/14 07:59:31 PM,0.19,,,
21,12/17/14 08:07:39 PM,0.20,,,
22,12/17/14 08:16:52 PM,0.21,,,
23,12/17/14 08:33:47 PM,0.22,,,
24,12/17/14 08:42:08 PM,0.23,,,
25,12/17/14 08:47:59 PM,0.24,,,
26,12/17/14 08:52:16 PM,0.25,,,
27,12/17/14 08:54:11 PM,0.26,,,
28,12/17/14 08:56:19 PM,0.27,,,
29,12/17/14 08:56:20 PM,0.28,,,
30,12/17/14 08:57:37 PM,0.29,,,
31,12/17/14 08:59:10 PM,0.30,,,
32,12/17/14 08:59:11 PM,0.31,,,
33,12/17/14 09:02:59 PM,0.32,,,
34,12/17/14 09:05:37 PM,0.33,,,
35,12/17/14 09:11:55 PM,0.34,,,
36,12/17/14 09:33:33 PM,0.35,,,
37,12/17/14 09:33:34 PM,0.36,,,
38,12/17/14 09:37:18 PM,0.37,,,
39,12/17/14 09:37:19 PM,0.38,,,
40,12/17/14 09:39:31 PM,0.39,,,
41,12/17/14 09:43:10 PM,0.40,,,
42,12/17/14 09:49:55 PM,0.41,,,
43,12/17/14 10:07:05 PM,0.42,,,
44,12/17/14 10:28:50 PM,0.43,,,
45,12/17/14 10:28:51 PM,0.44,,,
46,12/17/14 10:34:21 PM,0.45,,,
47,12/17/14 10:45:10 PM,0.46,,,
48,12/17/14 11:03:16 PM,0.47,,,
49,12/17/14 11:22:15 PM,0.48,,,
50,12/17/14 11:22:16 PM,0.49,,,
51,12/18/14 12:21:54 AM,0.50,,,
52,12/18/14 02:51:12 AM,0.51,,,
53,12/18/14 02:51:13 AM,0.52,,,
54,12/18/14 03:34:25 AM,0.53,,,
55,12/18/14 04:06:06 PM,0.54,,,
56,12/19/14 01:38:36 AM,0.55,,,
57,12/19/14 01:46:17 AM,0.56,,,
58,12/19/14 01:46:18 AM,0.57,,,
59,12/19/14 02:06:33 AM,0.58,,,
60,12/19/14 02:15:44 AM,0.59,,,
61,12/19/14 02:25:53 AM,0.60,,,
62,12/19/14 03:15:04 AM,0.61,,,
63,12/19/14 03:15:05 AM,0.62,,,
64,12/19/14 04:13:56 AM,0.63,,,
65,12/19/14 04:13:57 AM,0.64,,,
66,12/19/14 04:35:45 AM,0.65,,,
67,12/19/14 04:52:01 AM,0.66,,,
68,12/19/14 04:52:02 AM,0.67,,,
69,12/19/14 05:00:08 AM,0.68,,,
70,12/19/14 05:07:49 AM,0.69,,,
71,12/19/14 05:21:05 AM,0.70,,,
72,12/19/14 05:54:41 AM,0.71,,,
73,12/19/14 06:14:05 AM,0.72,,,
74,12/19/14 06:14:06 AM,0.73,,,
75,12/19/14 06:33:35 AM,0.74,,,
76,12/19/14 06:48:05 AM,0.75,,,
77,12/19/14 06:48:06 AM,0.76,,,
78,12/19/14 06:56:47 AM,0.77,,,
79,12/19/14 07:05:23 AM,0.78,,,
80,12/19/14 07:05:24 AM,0.79,,,
81,12/19/14 07:15:21 AM,0.80,,,
82,12/19/14 07:27:43 AM,0.81,,,
83,12/19/14 08:03:04 AM,0.82,,,
84,12/19/14 08:15:09 AM,0.83,,,
85,12/19/14 08:25:49 AM,0.84,,,
86,12/19/14 08:36:58 AM,0.85,,,
87,12/19/14 08:52:10 AM,0.86,,,
88,12/19/14 08:52:11 AM,0.87,,,
89,12/19/14 09:39:25 AM,0.88,,,
90,12/19/14 09:55:41 AM,0.89,,,
91,12/19/14 09:55:42 AM,0.90,,,
92,12/19/14 10:05:58 AM,0.91,,,
93,12/19/14 10:05:59 AM,0.92,,,
94,12/19/14 10:19:53 AM,0.93,,,
95,12/19/14 10:29:15 AM,0.94,,,
96,12/19/14 10:36:30 AM,0.95,,,
97,12/19/14 10:36:31 AM,0.96,,,
98,12/19/14 10:45:20 AM,0.97,,,
99,12/19/14 10:45:21 AM,0.98,,,
100,12/19/14 10:54:23 AM,0.99,,,
101,12/19/14 11:00:55 AM,1.00,,,
102,12/19/14 11:05:50 AM,1.01,,,
103,12/19/14 11:11:58 AM,1.02,,,
104,12/19/14 11:19:42 AM,1.03,,,
105,12/19/14 11:23:13 AM,1.04,,,
106,12/19/14 11:23:14 AM,1.05,,,
107,12/19/14 11:26:40 AM,1.06,,,
108,12/19/14 11:26:41 AM,1.07,,,
109,12/19/14 11:48:15 AM,1.08,,,
110,12/19/14 11:53:23 AM,1.09,,,
111,12/19/14 12:10:27 PM,1.10,,,
112,12/19/14 12:10:28 PM,1.11,,,
113,12/19/14 12:12:05 PM,1.12,,,
114,12/19/14 12:12:06 PM,1.13,,,
115,12/19/14 12:13:03 PM,1.14,,,
116,12/19/14 12:13:55 PM,1.15,,,
117,12/19/14 12:14:46 PM,1.16,,,
118,12/19/14 12:16:02 PM,1.17,,,
119,12/19/14 12:18:57 PM,1.18,,,
120,12/19/14 12:22:41 PM,1.19,,,
121,12/19/14 12:26:38 PM,1.20,,,
122,12/19/14 12:36:04 PM,1.21,,,
123,12/19/14 12:40:16 PM,1.22,,,
124,12/19/14 12:42:17 PM,1.23,,,
125,12/19/14 12:42:18 PM,1.24,,,
126,12/19/14 12:43:59 PM,1.25,,,
127,12/19/14 12:45:47 PM,1.26,,,
128,12/19/14 12:49:04 PM,1.27,,,
129,12/19/14 12:50:23 PM,1.28,,,
