"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510, SEN S/N: 20521510)","Host Connected (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Detached (LGR S/N: 20521510, SEN S/N: 20521510)","End Of File (LGR S/N: 20521510, SEN S/N: 20521510)"
1,02/08/20 12:00:00 PM,62.083,0.00,,,,
2,02/08/20 12:15:00 PM,59.851,,,,,
3,02/08/20 12:30:00 PM,61.398,,,,,
4,02/08/20 12:45:00 PM,61.398,,,,,
5,02/08/20 01:00:00 PM,60.539,,,,,
6,02/08/20 01:15:00 PM,60.712,,,,,
7,02/08/20 01:30:00 PM,59.508,,,,,
8,02/08/20 01:45:00 PM,57.614,,,,,
9,02/08/20 02:00:00 PM,56.750,,,,,
10,02/08/20 02:15:00 PM,57.268,,,,,
11,02/08/20 02:30:00 PM,59.337,,,,,
12,02/08/20 02:45:00 PM,59.337,,,,,
13,02/08/20 03:00:00 PM,60.024,,,,,
14,02/08/20 03:15:00 PM,62.083,,,,,
15,02/08/20 03:30:00 PM,61.054,,,,,
16,02/08/20 03:45:00 PM,62.598,,,,,
17,02/08/20 04:00:00 PM,63.282,,,,,
18,02/08/20 04:15:00 PM,60.024,,,,,
19,02/08/20 04:30:00 PM,56.230,,,,,
20,02/08/20 04:45:00 PM,54.669,,,,,
21,02/08/20 05:00:00 PM,53.100,,,,,
22,02/08/20 05:15:00 PM,51.874,,,,,
23,02/08/20 05:30:00 PM,50.995,,,,,
24,02/08/20 05:45:00 PM,49.937,,,,,
25,02/08/20 06:00:00 PM,49.050,,,,,
26,02/08/20 06:15:00 PM,48.339,,,,,
27,02/08/20 06:30:00 PM,47.624,,,,,
28,02/08/20 06:45:00 PM,46.908,,,,,
29,02/08/20 07:00:00 PM,46.369,,,,,
30,02/08/20 07:15:00 PM,45.828,,,,,
31,02/08/20 07:30:00 PM,45.286,,,,,
32,02/08/20 07:45:00 PM,44.922,,,,,
33,02/08/20 08:00:00 PM,44.742,,,,,
34,02/08/20 08:15:00 PM,44.560,,,,,
35,02/08/20 08:30:00 PM,44.560,,,,,
36,02/08/20 08:45:00 PM,44.560,,,,,
37,02/08/20 09:00:00 PM,44.560,,,,,
38,02/08/20 09:15:00 PM,44.560,,,,,
39,02/08/20 09:30:00 PM,44.560,,,,,
40,02/08/20 09:45:00 PM,44.742,,,,,
41,02/08/20 10:00:00 PM,44.922,,,,,
42,02/08/20 10:15:00 PM,44.922,,,,,
43,02/08/20 10:30:00 PM,44.922,,,,,
44,02/08/20 10:45:00 PM,44.922,,,,,
45,02/08/20 11:00:00 PM,44.922,,,,,
46,02/08/20 11:15:00 PM,44.922,,,,,
47,02/08/20 11:30:00 PM,45.104,,,,,
48,02/08/20 11:45:00 PM,45.104,,,,,
49,02/09/20 12:00:00 AM,45.286,,,,,
50,02/09/20 12:15:00 AM,45.286,,,,,
51,02/09/20 12:30:00 AM,45.286,,,,,
52,02/09/20 12:45:00 AM,45.104,,,,,
53,02/09/20 01:00:00 AM,44.922,,,,,
54,02/09/20 01:15:00 AM,44.560,,,,,
55,02/09/20 01:30:00 AM,44.195,,,,,
56,02/09/20 01:45:00 AM,43.831,,,,,
57,02/09/20 02:00:00 AM,43.648,,,,,
58,02/09/20 02:15:00 AM,43.466,,,,,
59,02/09/20 02:30:00 AM,43.282,,,,,
60,02/09/20 02:45:00 AM,43.099,,,,,
61,02/09/20 03:00:00 AM,42.732,,,,,
62,02/09/20 03:15:00 AM,42.363,,,,,
63,02/09/20 03:30:00 AM,42.179,,,,,
64,02/09/20 03:45:00 AM,41.994,,,,,
65,02/09/20 04:00:00 AM,41.810,,,,,
66,02/09/20 04:15:00 AM,41.810,,,,,
67,02/09/20 04:30:00 AM,41.625,,,,,
68,02/09/20 04:45:00 AM,41.439,,,,,
69,02/09/20 05:00:00 AM,41.625,,,,,
70,02/09/20 05:15:00 AM,41.810,,,,,
71,02/09/20 05:30:00 AM,41.810,,,,,
72,02/09/20 05:45:00 AM,41.625,,,,,
73,02/09/20 06:00:00 AM,41.439,,,,,
74,02/09/20 06:15:00 AM,41.439,,,,,
75,02/09/20 06:30:00 AM,41.625,,,,,
76,02/09/20 06:45:00 AM,41.625,,,,,
77,02/09/20 07:00:00 AM,41.625,,,,,
78,02/09/20 07:15:00 AM,41.810,,,,,
79,02/09/20 07:30:00 AM,41.994,,,,,
80,02/09/20 07:45:00 AM,42.179,,,,,
81,02/09/20 08:00:00 AM,41.994,,,,,
82,02/09/20 08:15:00 AM,41.994,,,,,
83,02/09/20 08:30:00 AM,42.179,,,,,
84,02/09/20 08:45:00 AM,42.363,,,,,
85,02/09/20 09:00:00 AM,42.548,,,,,
86,02/09/20 09:15:00 AM,42.548,,,,,
87,02/09/20 09:30:00 AM,42.732,,,,,
88,02/09/20 09:45:00 AM,43.099,,,,,
89,02/09/20 10:00:00 AM,43.831,,,,,
90,02/09/20 10:15:00 AM,44.379,,,,,
91,02/09/20 10:30:00 AM,44.922,,,,,
92,02/09/20 10:45:00 AM,45.828,,,,,
93,02/09/20 11:00:00 AM,46.548,,,,,
94,02/09/20 11:15:00 AM,47.266,,,,,
95,02/09/20 11:30:00 AM,48.339,,,,,
96,02/09/20 11:45:00 AM,49.759,,,,,
97,02/09/20 12:00:00 PM,52.050,,,,,
98,02/09/20 12:15:00 PM,56.404,,,,,
99,02/09/20 12:30:00 PM,59.164,,,,,
100,02/09/20 12:45:00 PM,58.820,,,,,
101,02/09/20 01:00:00 PM,57.785,,,,,
102,02/09/20 01:15:00 PM,58.476,,,,,
103,02/09/20 01:30:00 PM,57.614,,,,,
104,02/09/20 01:45:00 PM,55.537,,,,,
105,02/09/20 02:00:00 PM,54.842,,,,,
106,02/09/20 02:15:00 PM,56.057,,,,,
107,02/09/20 02:30:00 PM,58.131,,,,,
108,02/09/20 02:45:00 PM,57.958,,,,,
109,02/09/20 03:00:00 PM,58.993,,,,,
110,02/09/20 03:15:00 PM,61.741,,,,,
