"Plot Title: RLSF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Detached (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,09/23/14 10:31:46 AM,0.00,,,,
2,09/23/14 10:31:51 AM,,Logged,,,
3,09/24/14 09:43:32 PM,0.01,,,,
4,09/24/14 10:53:16 PM,0.02,,,,
5,09/24/14 11:18:18 PM,0.03,,,,
6,09/24/14 11:54:11 PM,0.04,,,,
7,09/25/14 12:28:47 AM,0.05,,,,
8,09/25/14 12:41:01 AM,0.06,,,,
9,09/25/14 01:08:53 AM,0.07,,,,
10,09/25/14 01:14:35 AM,0.08,,,,
11,09/25/14 01:29:54 AM,0.09,,,,
12,09/25/14 01:53:29 AM,0.10,,,,
13,09/25/14 02:16:46 AM,0.11,,,,
14,09/25/14 02:35:57 AM,0.12,,,,
15,09/25/14 02:59:47 AM,0.13,,,,
16,09/25/14 03:27:58 AM,0.14,,,,
17,09/25/14 03:34:53 AM,0.15,,,,
18,09/25/14 03:48:59 AM,0.16,,,,
19,09/25/14 03:59:11 AM,0.17,,,,
20,09/25/14 04:10:49 AM,0.18,,,,
21,09/25/14 04:36:12 AM,0.19,,,,
22,09/25/14 04:59:54 AM,0.20,,,,
23,09/25/14 05:02:07 AM,0.21,,,,
24,09/25/14 05:02:08 AM,0.22,,,,
25,09/25/14 05:04:41 AM,0.23,,,,
26,09/25/14 05:07:33 AM,0.24,,,,
27,09/25/14 05:12:36 AM,0.25,,,,
28,09/25/14 05:18:38 AM,0.26,,,,
29,09/25/14 05:24:50 AM,0.27,,,,
30,09/25/14 05:28:26 AM,0.28,,,,
31,09/25/14 05:34:04 AM,0.29,,,,
32,09/25/14 05:37:57 AM,0.30,,,,
33,09/25/14 05:43:20 AM,0.31,,,,
34,09/25/14 05:48:03 AM,0.32,,,,
35,09/25/14 05:57:53 AM,0.33,,,,
36,09/25/14 06:02:14 AM,0.34,,,,
37,09/25/14 06:06:24 AM,0.35,,,,
38,09/25/14 06:12:13 AM,0.36,,,,
39,09/25/14 06:15:40 AM,0.37,,,,
40,09/25/14 06:18:17 AM,0.38,,,,
41,09/25/14 06:23:09 AM,0.39,,,,
42,09/25/14 06:26:08 AM,0.40,,,,
43,09/25/14 06:32:26 AM,0.41,,,,
44,09/25/14 06:37:19 AM,0.42,,,,
45,09/25/14 06:44:46 AM,0.43,,,,
46,09/25/14 06:47:52 AM,0.44,,,,
47,09/25/14 06:54:41 AM,0.45,,,,
48,09/25/14 07:03:04 AM,0.46,,,,
49,09/25/14 07:07:39 AM,0.47,,,,
50,09/25/14 07:21:23 AM,0.48,,,,
51,09/25/14 07:40:04 AM,0.49,,,,
52,09/25/14 08:06:39 AM,0.50,,,,
53,09/30/14 10:41:20 AM,,,Logged,,
54,09/30/14 10:41:32 AM,0.50,,,Logged,Logged
