"Plot Title: RLSF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,12/17/14 11:37:46 AM,0.00,,,
2,12/17/14 01:04:13 PM,0.01,,,
3,12/17/14 05:37:00 PM,0.02,,,
4,12/17/14 06:03:18 PM,0.03,,,
5,12/17/14 06:14:01 PM,0.04,,,
6,12/17/14 06:43:47 PM,0.05,,,
7,12/17/14 06:50:42 PM,0.06,,,
8,12/17/14 07:01:44 PM,0.07,,,
9,12/17/14 07:13:35 PM,0.08,,,
10,12/17/14 07:18:49 PM,0.09,,,
11,12/17/14 07:23:35 PM,0.10,,,
12,12/17/14 07:23:36 PM,0.11,,,
13,12/17/14 07:31:11 PM,0.12,,,
14,12/17/14 07:39:19 PM,0.13,,,
15,12/17/14 07:56:47 PM,0.14,,,
16,12/17/14 08:08:02 PM,0.15,,,
17,12/17/14 08:20:41 PM,0.16,,,
18,12/17/14 08:32:11 PM,0.17,,,
19,12/17/14 08:42:12 PM,0.18,,,
20,12/17/14 08:45:57 PM,0.19,,,
21,12/17/14 08:50:28 PM,0.20,,,
22,12/17/14 08:53:03 PM,0.21,,,
23,12/17/14 08:55:13 PM,0.22,,,
24,12/17/14 08:56:42 PM,0.23,,,
25,12/17/14 09:00:56 PM,0.24,,,
26,12/17/14 09:03:31 PM,0.25,,,
27,12/17/14 09:19:28 PM,0.26,,,
28,12/17/14 09:35:03 PM,0.27,,,
29,12/17/14 09:39:05 PM,0.28,,,
30,12/17/14 09:42:54 PM,0.29,,,
31,12/17/14 09:42:55 PM,0.30,,,
32,12/17/14 09:49:57 PM,0.31,,,
33,12/17/14 10:06:25 PM,0.32,,,
34,12/17/14 10:27:02 PM,0.33,,,
35,12/17/14 10:31:27 PM,0.34,,,
36,12/17/14 10:37:51 PM,0.35,,,
37,12/17/14 10:44:45 PM,0.36,,,
38,12/17/14 11:02:54 PM,0.37,,,
39,12/17/14 11:16:41 PM,0.38,,,
40,12/17/14 11:44:44 PM,0.39,,,
41,12/18/14 01:07:56 AM,0.40,,,
42,12/18/14 03:12:29 AM,0.41,,,
43,12/18/14 03:48:48 AM,0.42,,,
44,12/19/14 01:36:14 AM,0.43,,,
45,12/19/14 01:47:27 AM,0.44,,,
46,12/19/14 02:08:00 AM,0.45,,,
47,12/19/14 02:15:14 AM,0.46,,,
48,12/19/14 02:52:53 AM,0.47,,,
49,12/19/14 03:56:46 AM,0.48,,,
50,12/19/14 04:45:31 AM,0.49,,,
51,12/19/14 04:57:17 AM,0.50,,,
52,12/19/14 05:09:23 AM,0.51,,,
53,12/19/14 05:25:12 AM,0.52,,,
54,12/19/14 06:02:43 AM,0.53,,,
55,12/19/14 06:13:05 AM,0.54,,,
56,12/19/14 06:38:19 AM,0.55,,,
57,12/19/14 06:49:32 AM,0.56,,,
58,12/19/14 06:49:33 AM,0.57,,,
59,12/19/14 07:01:57 AM,0.58,,,
60,12/19/14 07:12:07 AM,0.59,,,
61,12/19/14 07:30:34 AM,0.60,,,
62,12/19/14 08:04:53 AM,0.61,,,
63,12/19/14 08:18:59 AM,0.62,,,
64,12/19/14 08:29:53 AM,0.63,,,
65,12/19/14 08:41:54 AM,0.64,,,
66,12/19/14 08:59:54 AM,0.65,,,
67,12/19/14 09:44:22 AM,0.66,,,
68,12/19/14 09:56:32 AM,0.67,,,
69,12/19/14 10:08:22 AM,0.68,,,
70,12/19/14 10:22:12 AM,0.69,,,
71,12/19/14 10:30:50 AM,0.70,,,
72,12/19/14 10:38:04 AM,0.71,,,
73,12/19/14 10:52:45 AM,0.72,,,
74,12/19/14 10:59:12 AM,0.73,,,
75,12/19/14 10:59:13 AM,0.74,,,
76,12/19/14 11:05:11 AM,0.75,,,
77,12/19/14 11:09:20 AM,0.76,,,
78,12/19/14 11:19:15 AM,0.77,,,
79,12/19/14 11:24:16 AM,0.78,,,
80,12/19/14 11:50:45 AM,0.79,,,
81,12/19/14 11:57:25 AM,0.80,,,
82,12/19/14 12:11:47 PM,0.81,,,
83,12/19/14 12:12:19 PM,0.82,,,
84,12/19/14 12:13:05 PM,0.83,,,
85,12/19/14 12:14:51 PM,0.84,,,
86,12/19/14 12:17:14 PM,0.85,,,
87,12/19/14 12:21:00 PM,0.86,,,
88,12/19/14 12:21:01 PM,0.87,,,
89,12/19/14 12:25:20 PM,0.88,,,
90,12/19/14 12:31:36 PM,0.89,,,
91,12/19/14 12:31:37 PM,0.90,,,
92,12/19/14 12:39:33 PM,0.91,,,
93,12/19/14 12:41:32 PM,0.92,,,
94,12/19/14 12:45:42 PM,0.93,,,
95,12/19/14 12:48:16 PM,0.94,,,
96,12/19/14 12:50:06 PM,0.95,,,
97,12/19/14 12:51:45 PM,0.96,,,
98,12/19/14 12:51:46 PM,0.97,,,
99,12/19/14 12:53:29 PM,0.98,,,
100,12/19/14 12:54:45 PM,0.99,,,
101,12/19/14 12:56:16 PM,1.00,,,
102,12/19/14 12:56:57 PM,1.01,,,
103,12/19/14 12:56:58 PM,1.02,,,
104,12/19/14 12:57:56 PM,1.03,,,
105,12/19/14 12:58:38 PM,1.04,,,
106,12/19/14 12:59:10 PM,1.05,,,
107,12/19/14 12:59:37 PM,1.06,,,
108,12/19/14 01:00:08 PM,1.07,,,
109,12/19/14 01:00:36 PM,1.08,,,
110,12/19/14 01:01:15 PM,1.09,,,
111,12/19/14 01:01:44 PM,1.10,,,
112,12/19/14 01:02:20 PM,1.11,,,
113,12/19/14 01:02:50 PM,1.12,,,
114,12/19/14 01:03:31 PM,1.13,,,
115,12/19/14 01:04:03 PM,1.14,,,
116,12/19/14 01:04:41 PM,1.15,,,
117,12/19/14 01:05:29 PM,1.16,,,
118,12/19/14 01:06:44 PM,1.17,,,
119,12/19/14 01:07:41 PM,1.18,,,
120,12/19/14 01:07:42 PM,1.19,,,
121,12/19/14 01:09:22 PM,1.20,,,
122,12/19/14 01:10:39 PM,1.21,,,
123,12/19/14 01:12:45 PM,1.22,,,
124,12/19/14 01:14:22 PM,1.23,,,
125,12/19/14 01:17:04 PM,1.24,,,
126,12/19/14 01:19:32 PM,1.25,,,
127,12/19/14 01:22:38 PM,1.26,,,
128,12/19/14 01:23:57 PM,1.27,,,
129,12/19/14 01:27:09 PM,1.28,,,
130,12/19/14 01:29:18 PM,1.29,,,
131,12/19/14 01:32:57 PM,1.30,,,
132,12/19/14 01:40:41 PM,1.31,,,
133,12/19/14 01:52:17 PM,1.32,,,
134,12/19/14 01:54:37 PM,1.33,,,
135,12/19/14 02:08:57 PM,1.34,,,
136,12/19/14 02:12:24 PM,1.35,,,
137,12/19/14 02:15:34 PM,1.36,,,
138,12/19/14 02:19:42 PM,1.37,,,
139,12/19/14 02:23:45 PM,1.38,,,
140,12/19/14 02:27:28 PM,1.39,,,
141,12/19/14 02:37:02 PM,1.40,,,
142,12/19/14 02:42:06 PM,1.41,,,
143,12/19/14 02:48:46 PM,1.42,,,
144,12/19/14 02:52:59 PM,1.43,,,
145,12/19/14 03:00:33 PM,1.44,,,
146,12/19/14 03:04:26 PM,1.45,,,
147,12/19/14 03:11:34 PM,1.46,,,
148,12/19/14 03:18:13 PM,1.47,,,
149,12/19/14 03:21:59 PM,1.48,,,
150,12/19/14 03:26:42 PM,1.49,,,
151,12/19/14 03:30:00 PM,1.50,,,
152,12/19/14 03:31:23 PM,1.51,,,
