"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Detached (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,12/30/19 01:30:00 PM,66.022,0.00,,,,
2,12/30/19 01:45:00 PM,64.481,,,,,
3,12/30/19 02:00:00 PM,63.626,,,,,
4,12/30/19 02:15:00 PM,62.769,,,,,
5,12/30/19 02:30:00 PM,61.912,,,,,
6,12/30/19 02:45:00 PM,62.940,,,,,
7,12/30/19 03:00:00 PM,62.254,,,,,
8,12/30/19 03:15:00 PM,59.680,,,,,
9,12/30/19 03:30:00 PM,58.476,,,,,
10,12/30/19 03:45:00 PM,57.785,,,,,
11,12/30/19 04:00:00 PM,56.923,,,,,
12,12/30/19 04:15:00 PM,56.057,,,,,
13,12/30/19 04:30:00 PM,55.364,,,,,
14,12/30/19 04:45:00 PM,54.147,,,,,
15,12/30/19 05:00:00 PM,53.100,,,,,
16,12/30/19 05:15:00 PM,52.050,,,,,
17,12/30/19 05:30:00 PM,51.172,,,,,
18,12/30/19 05:45:00 PM,50.113,,,,,
19,12/30/19 06:00:00 PM,49.228,,,,,
20,12/30/19 06:15:00 PM,48.517,,,,,
21,12/30/19 06:30:00 PM,47.802,,,,,
22,12/30/19 06:45:00 PM,47.446,,,,,
23,12/30/19 07:00:00 PM,47.624,,,,,
24,12/30/19 07:15:00 PM,47.982,,,,,
25,12/30/19 07:30:00 PM,48.160,,,,,
26,12/30/19 07:45:00 PM,47.802,,,,,
27,12/30/19 08:00:00 PM,47.088,,,,,
28,12/30/19 08:15:00 PM,46.369,,,,,
29,12/30/19 08:30:00 PM,46.369,,,,,
30,12/30/19 08:45:00 PM,46.728,,,,,
31,12/30/19 09:00:00 PM,46.908,,,,,
32,12/30/19 09:15:00 PM,47.266,,,,,
33,12/30/19 09:30:00 PM,47.088,,,,,
34,12/30/19 09:45:00 PM,46.008,,,,,
35,12/30/19 10:00:00 PM,46.008,,,,,
36,12/30/19 10:15:00 PM,45.286,,,,,
37,12/30/19 10:30:00 PM,46.008,,,,,
38,12/30/19 10:45:00 PM,45.466,,,,,
39,12/30/19 11:00:00 PM,45.286,,,,,
40,12/30/19 11:15:00 PM,45.828,,,,,
41,12/30/19 11:30:00 PM,46.188,,,,,
42,12/30/19 11:45:00 PM,44.922,,,,,
43,12/31/19 12:00:00 AM,44.379,,,,,
44,12/31/19 12:15:00 AM,44.379,,,,,
45,12/31/19 12:30:00 AM,43.831,,,,,
46,12/31/19 12:45:00 AM,44.379,,,,,
47,12/31/19 01:00:00 AM,43.831,,,,,
48,12/31/19 01:15:00 AM,44.013,,,,,
49,12/31/19 01:30:00 AM,43.282,,,,,
50,12/31/19 01:45:00 AM,42.363,,,,,
51,12/31/19 02:00:00 AM,42.915,,,,,
52,12/31/19 02:15:00 AM,43.648,,,,,
53,12/31/19 02:30:00 AM,44.195,,,,,
54,12/31/19 02:45:00 AM,45.286,,,,,
55,12/31/19 03:00:00 AM,45.466,,,,,
56,12/31/19 03:15:00 AM,44.922,,,,,
57,12/31/19 03:30:00 AM,45.104,,,,,
