"Plot Title: Rangeland_1"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592073, SEN S/N: 10592073)","Event, units (LGR S/N: 10592073, SEN S/N: 10592073, LBL: Rangeland_1)","Coupler Attached (LGR S/N: 10592073, SEN S/N: 10592073)","Host Connected (LGR S/N: 10592073, SEN S/N: 10592073)","Stopped (LGR S/N: 10592073, SEN S/N: 10592073)","End Of File (LGR S/N: 10592073, SEN S/N: 10592073)"
1,01/26/16 03:00:00 PM,71.512,0.00,,,,
2,01/26/16 03:00:19 PM,,0.01,,,,
3,01/26/16 03:04:17 PM,,0.02,,,,
4,01/26/16 03:04:18 PM,,0.03,,,,
5,01/26/16 03:04:19 PM,,0.04,,,,
6,01/26/16 03:04:20 PM,,0.05,,,,
7,01/26/16 03:04:21 PM,,0.06,,,,
8,01/26/16 03:04:22 PM,,0.07,,,,
9,01/26/16 03:04:24 PM,,0.08,,,,
10,01/26/16 03:04:25 PM,,0.09,,,,
11,01/26/16 03:04:26 PM,,0.10,,,,
12,01/26/16 03:04:27 PM,,0.11,,,,
13,01/26/16 03:04:30 PM,,0.12,,,,
14,01/26/16 03:04:33 PM,,0.13,,,,
15,01/26/16 03:04:34 PM,,0.14,,,,
16,01/26/16 03:04:37 PM,,0.15,,,,
17,01/26/16 03:04:40 PM,,0.16,,,,
18,01/26/16 03:04:41 PM,,0.17,,,,
19,01/26/16 03:04:42 PM,,0.18,,,,
20,01/26/16 03:04:50 PM,,0.19,,,,
21,01/26/16 03:04:51 PM,,0.20,,,,
22,01/26/16 03:04:52 PM,,0.21,,,,
23,01/26/16 03:04:53 PM,,0.22,,,,
24,01/26/16 03:04:54 PM,,0.23,,,,
25,01/26/16 03:05:06 PM,,0.24,,,,
26,01/26/16 03:05:08 PM,,0.25,,,,
27,01/26/16 03:05:10 PM,,0.26,,,,
28,01/26/16 03:05:11 PM,,0.27,,,,
29,01/26/16 03:05:46 PM,,0.28,,,,
30,01/26/16 03:05:51 PM,,0.29,,,,
31,01/26/16 03:05:53 PM,,0.30,,,,
32,01/26/16 03:05:54 PM,,0.31,,,,
33,01/26/16 03:05:55 PM,,0.32,,,,
34,01/26/16 03:05:57 PM,,0.33,,,,
35,01/26/16 03:09:26 PM,,0.34,,,,
36,01/26/16 03:10:30 PM,,0.35,,,,
37,01/26/16 03:10:41 PM,,0.36,,,,
38,01/26/16 03:10:47 PM,,0.37,,,,
39,01/26/16 03:10:49 PM,,0.38,,,,
40,01/26/16 03:10:50 PM,,0.39,,,,
41,01/26/16 03:10:51 PM,,0.40,,,,
42,01/26/16 03:11:02 PM,,0.41,,,,
43,01/26/16 03:11:08 PM,,0.42,,,,
44,01/26/16 03:11:24 PM,,0.43,,,,
45,01/26/16 03:11:43 PM,,0.44,,,,
46,01/26/16 03:11:44 PM,,0.45,,,,
47,01/26/16 03:14:41 PM,,0.46,,,,
48,01/26/16 03:14:43 PM,,0.47,,,,
49,01/26/16 03:14:44 PM,,0.48,,,,
50,01/26/16 03:14:45 PM,,0.49,,,,
51,01/26/16 03:14:48 PM,,0.50,,,,
52,01/26/16 03:14:49 PM,,0.51,,,,
53,01/26/16 03:14:52 PM,,0.52,,,,
54,01/26/16 03:14:53 PM,,0.53,,,,
55,01/26/16 03:14:54 PM,,0.54,,,,
56,01/26/16 03:14:56 PM,,0.55,,,,
57,01/26/16 03:14:57 PM,,0.56,,,,
58,01/26/16 03:14:58 PM,,0.57,,,,
59,01/26/16 03:14:59 PM,,0.58,,,,
60,01/26/16 03:15:00 PM,68.763,0.59,,,,
61,01/26/16 03:16:02 PM,,0.60,,,,
62,01/26/16 03:16:48 PM,,0.61,,,,
63,01/26/16 03:17:31 PM,,0.62,,,,
64,01/26/16 03:19:27 PM,,0.63,,,,
65,01/26/16 03:19:29 PM,,0.64,,,,
66,01/26/16 03:19:31 PM,,0.65,,,,
67,01/26/16 03:19:33 PM,,0.66,,,,
68,01/26/16 03:19:34 PM,,0.67,,,,
69,01/26/16 03:19:36 PM,,0.68,,,,
70,01/26/16 03:19:37 PM,,0.69,,,,
71,01/26/16 03:19:38 PM,,0.70,,,,
72,01/26/16 03:19:39 PM,,0.71,,,,
73,01/26/16 03:19:44 PM,,0.72,,,,
74,01/26/16 03:19:45 PM,,0.73,,,,
75,01/26/16 03:19:47 PM,,0.74,,,,
76,01/26/16 03:19:48 PM,,0.75,,,,
77,01/26/16 03:26:50 PM,,,Logged,,,
78,01/26/16 03:26:52 PM,,,,Logged,,
79,01/26/16 03:27:10 PM,,0.75,,,Logged,Logged
