"Plot Title: UNF"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,09/23/15 03:02:00 PM,0.00,,,,
2,09/23/15 03:02:09 PM,,Logged,,,
3,09/30/15 04:12:06 PM,0.01,,,,
4,10/15/15 01:03:19 AM,0.02,,,,
5,10/15/15 01:50:44 AM,0.03,,,,
6,10/18/15 10:17:03 PM,0.04,,,,
7,10/18/15 11:02:56 PM,0.05,,,,
8,10/18/15 11:45:07 PM,0.06,,,,
9,10/19/15 12:09:40 AM,0.07,,,,
10,10/19/15 12:18:04 AM,0.08,,,,
11,10/19/15 12:39:38 AM,0.09,,,,
12,10/19/15 12:56:32 AM,0.10,,,,
13,10/19/15 02:10:09 AM,0.11,,,,
14,10/19/15 03:01:00 AM,0.12,,,,
15,10/19/15 03:40:54 AM,0.13,,,,
16,10/19/15 04:06:09 AM,0.14,,,,
17,10/19/15 04:11:50 AM,0.15,,,,
18,10/19/15 04:51:15 AM,0.16,,,,
19,10/19/15 05:39:06 AM,0.17,,,,
20,10/28/15 11:03:22 AM,0.18,,,,
21,10/28/15 11:43:14 AM,0.19,,,,
22,11/02/15 12:46:33 AM,0.20,,,,
23,11/02/15 02:22:05 AM,0.21,,,,
24,11/02/15 02:34:58 AM,0.22,,,,
25,11/02/15 02:40:37 AM,0.23,,,,
26,11/02/15 02:45:59 AM,0.24,,,,
27,11/02/15 02:47:18 AM,0.25,,,,
28,11/02/15 02:48:54 AM,0.26,,,,
29,11/02/15 02:50:18 AM,0.27,,,,
30,11/02/15 02:51:23 AM,0.28,,,,
31,11/02/15 02:52:45 AM,0.29,,,,
32,11/02/15 02:57:42 AM,0.30,,,,
33,11/02/15 03:00:10 AM,0.31,,,,
34,11/02/15 03:03:17 AM,0.32,,,,
35,11/02/15 03:04:28 AM,0.33,,,,
36,11/02/15 03:05:58 AM,0.34,,,,
37,11/02/15 03:08:04 AM,0.35,,,,
38,11/02/15 03:09:42 AM,0.36,,,,
39,11/02/15 03:11:31 AM,0.37,,,,
40,11/02/15 03:13:22 AM,0.38,,,,
41,11/02/15 03:15:11 AM,0.39,,,,
42,11/02/15 03:17:52 AM,0.40,,,,
43,11/02/15 03:20:03 AM,0.41,,,,
44,11/02/15 03:23:24 AM,0.42,,,,
45,11/02/15 03:25:34 AM,0.43,,,,
46,11/02/15 03:29:23 AM,0.44,,,,
47,11/02/15 03:33:32 AM,0.45,,,,
48,11/02/15 03:37:32 AM,0.46,,,,
