"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592087, SEN S/N: 10592087)","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Host Connected (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,03/09/16 11:30:32 AM,64.139,0.00,,,,
2,03/09/16 11:30:40 AM,,,Logged,,,
3,03/09/16 12:30:32 PM,62.598,,,,,
4,03/09/16 01:30:32 PM,61.912,,,,,
5,03/09/16 02:30:32 PM,58.303,,,,,
6,03/09/16 03:30:32 PM,59.851,,,,,
7,03/09/16 04:30:32 PM,59.164,,,,,
8,03/09/16 05:30:32 PM,57.785,,,,,
9,03/09/16 06:30:32 PM,56.404,,,,,
10,03/09/16 07:30:32 PM,55.711,,,,,
11,03/09/16 08:30:32 PM,56.230,,,,,
12,03/09/16 09:30:32 PM,54.322,,,,,
13,03/09/16 10:30:32 PM,52.750,,,,,
14,03/09/16 11:30:32 PM,52.925,,,,,
15,03/10/16 12:30:32 AM,54.669,,,,,
16,03/10/16 01:30:32 AM,54.495,,,,,
17,03/10/16 02:30:32 AM,54.669,,,,,
18,03/10/16 03:30:32 AM,53.973,,,,,
19,03/10/16 04:30:32 AM,53.449,,,,,
20,03/10/16 05:30:32 AM,52.576,,,,,
21,03/10/16 06:30:32 AM,51.523,,,,,
22,03/10/16 07:30:32 AM,54.842,,,,,
23,03/10/16 08:30:32 AM,61.569,,,,,
24,03/10/16 09:30:32 AM,66.537,,,,,
25,03/10/16 10:30:32 AM,70.137,,,,,
26,03/10/16 11:30:32 AM,69.449,,,,,
27,03/10/16 12:30:32 PM,72.891,,,,,
28,03/10/16 01:30:32 PM,66.022,,,,,
29,03/10/16 02:30:32 PM,60.368,,,,,
30,03/10/16 03:30:32 PM,57.958,,,,,
31,03/10/16 04:08:52 PM,,0.01,,,,
32,03/10/16 04:30:32 PM,56.577,,,,,
33,03/10/16 04:49:52 PM,,0.02,,,,
34,03/10/16 04:50:34 PM,,0.03,,,,
35,03/10/16 04:52:05 PM,,0.04,,,,
36,03/10/16 04:52:49 PM,,0.05,,,,
37,03/10/16 04:53:56 PM,,0.06,,,,
38,03/10/16 05:06:40 PM,,0.07,,,,
39,03/10/16 05:19:29 PM,,0.08,,,,
40,03/10/16 05:22:27 PM,,0.09,,,,
41,03/10/16 05:23:16 PM,,0.10,,,,
42,03/10/16 05:23:56 PM,,0.11,,,,
43,03/10/16 05:24:30 PM,,0.12,,,,
44,03/10/16 05:30:32 PM,56.230,,,,,
45,03/10/16 05:32:40 PM,,0.13,,,,
46,03/10/16 06:30:32 PM,56.057,,,,,
47,03/10/16 07:30:32 PM,56.057,,,,,
48,03/10/16 08:19:52 PM,,0.14,,,,
49,03/10/16 08:30:32 PM,55.884,,,,,
50,03/10/16 08:31:12 PM,,0.15,,,,
51,03/10/16 09:30:32 PM,55.884,,,,,
52,03/10/16 10:30:32 PM,54.322,,,,,
53,03/10/16 11:30:32 PM,53.449,,,,,
54,03/11/16 12:30:32 AM,53.449,,,,,
55,03/11/16 12:35:12 AM,,0.16,,,,
