"Plot Title: 10592087"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,10/28/14 09:08:57 AM,0.00,,,
2,10/31/14 10:19:21 AM,0.01,,,
3,10/31/14 11:12:01 AM,0.02,,,
4,10/31/14 11:14:03 AM,0.03,,,
5,10/31/14 11:15:29 AM,0.04,,,
6,10/31/14 11:17:11 AM,0.05,,,
7,10/31/14 11:18:36 AM,0.06,,,
8,10/31/14 11:20:22 AM,0.07,,,
9,10/31/14 11:21:44 AM,0.08,,,
10,10/31/14 11:23:25 AM,0.09,,,
11,10/31/14 11:23:26 AM,0.10,,,
12,10/31/14 11:24:29 AM,0.11,,,
13,10/31/14 11:26:14 AM,0.12,,,
14,10/31/14 11:29:37 AM,0.13,,,
15,10/31/14 11:33:50 AM,0.14,,,
16,10/31/14 11:33:51 AM,0.15,,,
17,10/31/14 11:37:47 AM,0.16,,,
18,10/31/14 11:40:58 AM,0.17,,,
19,10/31/14 11:44:16 AM,0.18,,,
20,10/31/14 12:05:06 PM,0.19,,,
21,10/31/14 12:23:22 PM,0.20,,,
22,10/31/14 12:35:59 PM,0.21,,,
23,10/31/14 12:47:39 PM,0.22,,,
24,10/31/14 12:51:07 PM,0.23,,,
25,10/31/14 01:04:02 PM,0.24,,,
26,10/31/14 01:09:08 PM,0.25,,,
27,10/31/14 01:11:12 PM,0.26,,,
28,10/31/14 01:14:16 PM,0.27,,,
29,10/31/14 01:14:17 PM,0.28,,,
30,10/31/14 01:16:50 PM,0.29,,,
31,10/31/14 01:18:50 PM,0.30,,,
32,10/31/14 01:29:13 PM,0.31,,,
33,10/31/14 01:41:10 PM,0.32,,,
34,10/31/14 11:31:34 PM,0.33,,,
35,11/01/14 04:27:37 AM,0.34,,,
36,11/01/14 04:28:56 AM,0.35,,,
37,11/01/14 04:29:46 AM,0.36,,,
38,11/01/14 04:30:42 AM,0.37,,,
39,11/01/14 04:32:30 AM,0.38,,,
40,11/01/14 04:34:04 AM,0.39,,,
41,11/01/14 04:36:10 AM,0.40,,,
42,11/01/14 04:38:16 AM,0.41,,,
43,11/01/14 04:42:15 AM,0.42,,,
44,11/01/14 04:42:16 AM,0.43,,,
45,11/01/14 04:50:21 AM,0.44,,,
46,11/01/14 04:51:01 AM,0.45,,,
47,11/01/14 04:51:59 AM,0.46,,,
48,11/01/14 04:53:20 AM,0.47,,,
49,11/01/14 04:55:12 AM,0.48,,,
50,11/01/14 04:56:26 AM,0.49,,,
51,11/01/14 04:58:02 AM,0.50,,,
52,11/01/14 04:59:46 AM,0.51,,,
53,11/01/14 05:00:57 AM,0.52,,,
54,11/01/14 05:03:20 AM,0.53,,,
55,11/01/14 05:05:33 AM,0.54,,,
56,11/01/14 05:08:27 AM,0.55,,,
57,11/01/14 05:13:06 AM,0.56,,,
58,11/01/14 05:19:29 AM,0.57,,,
59,11/01/14 05:20:11 AM,0.58,,,
60,11/01/14 05:21:22 AM,0.59,,,
61,11/01/14 05:22:46 AM,0.60,,,
62,11/01/14 05:24:22 AM,0.61,,,
63,11/01/14 05:25:26 AM,0.62,,,
64,11/01/14 05:27:17 AM,0.63,,,
65,11/01/14 05:29:02 AM,0.64,,,
66,11/01/14 05:32:00 AM,0.65,,,
67,11/01/14 05:35:26 AM,0.66,,,
68,11/01/14 05:37:20 AM,0.67,,,
69,11/01/14 05:39:01 AM,0.68,,,
70,11/01/14 05:41:15 AM,0.69,,,
71,11/01/14 05:42:50 AM,0.70,,,
72,11/01/14 05:44:31 AM,0.71,,,
73,11/01/14 05:46:21 AM,0.72,,,
74,11/01/14 05:48:40 AM,0.73,,,
75,11/01/14 05:50:38 AM,0.74,,,
76,11/01/14 05:53:02 AM,0.75,,,
77,11/01/14 05:58:14 AM,0.76,,,
78,11/01/14 07:18:49 AM,0.77,,,
79,11/01/14 07:19:30 AM,0.78,,,
80,11/01/14 07:20:15 AM,0.79,,,
81,11/01/14 07:22:08 AM,0.80,,,
82,11/01/14 07:23:27 AM,0.81,,,
83,11/01/14 07:23:50 AM,0.82,,,
84,11/01/14 07:24:25 AM,0.83,,,
85,11/01/14 07:24:26 AM,0.84,,,
86,11/01/14 07:24:46 AM,0.85,,,
87,11/01/14 07:25:00 AM,0.86,,,
88,11/01/14 07:25:18 AM,0.87,,,
89,11/01/14 07:25:34 AM,0.88,,,
90,11/01/14 07:25:49 AM,0.89,,,
91,11/01/14 07:26:05 AM,0.90,,,
92,11/01/14 07:26:37 AM,0.91,,,
93,11/01/14 07:27:08 AM,0.92,,,
94,11/01/14 07:27:58 AM,0.93,,,
95,11/01/14 07:29:08 AM,0.94,,,
96,11/01/14 07:30:18 AM,0.95,,,
97,11/01/14 07:31:21 AM,0.96,,,
98,11/01/14 07:32:02 AM,0.97,,,
99,11/01/14 07:32:30 AM,0.98,,,
100,11/01/14 07:32:31 AM,0.99,,,
101,11/01/14 07:33:01 AM,1.00,,,
102,11/01/14 07:33:42 AM,1.01,,,
103,11/01/14 07:33:43 AM,1.02,,,
104,11/01/14 07:35:02 AM,1.03,,,
105,11/01/14 07:36:22 AM,1.04,,,
106,11/01/14 07:37:43 AM,1.05,,,
107,11/01/14 07:38:56 AM,1.06,,,
108,11/01/14 07:39:55 AM,1.07,,,
109,11/01/14 07:41:00 AM,1.08,,,
110,11/01/14 07:42:08 AM,1.09,,,
111,11/01/14 07:43:16 AM,1.10,,,
112,11/01/14 07:44:49 AM,1.11,,,
113,11/01/14 07:47:38 AM,1.12,,,
114,11/01/14 07:50:07 AM,1.13,,,
115,11/01/14 08:17:35 AM,1.14,,,
