"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,03/25/15 01:54:31 PM,0.00,,
2,04/05/15 09:14:53 AM,0.01,,
3,04/05/15 10:07:01 AM,0.02,,
4,04/05/15 10:38:54 AM,0.03,,
5,04/05/15 11:28:45 AM,0.04,,
6,04/05/15 12:43:17 PM,0.05,,
7,04/05/15 03:27:43 PM,0.06,,
8,04/07/15 01:51:42 AM,0.07,,
9,04/07/15 04:34:49 AM,0.08,,
10,04/07/15 09:16:57 AM,0.09,,
11,04/07/15 04:36:55 PM,0.10,,
12,04/08/15 11:52:57 AM,0.11,,
13,04/09/15 01:54:03 PM,0.12,,
14,04/10/15 06:51:07 PM,0.13,,
15,04/12/15 02:11:25 PM,0.14,,
16,04/19/15 04:29:07 AM,0.15,,
17,04/21/15 06:49:09 AM,0.16,,
18,04/22/15 01:03:32 AM,0.17,,
19,04/22/15 04:02:40 AM,0.18,,
20,04/24/15 10:35:07 PM,0.19,,
21,04/27/15 11:08:16 PM,0.20,,
22,05/03/15 10:26:58 AM,0.21,,
23,05/15/15 11:21:36 AM,0.21,Logged,Logged
