"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,12/29/15 03:34:25 PM,0.00,,,,
2,12/29/15 03:34:36 PM,,Logged,,,
3,01/03/16 07:09:50 PM,0.01,,,,
4,01/03/16 08:12:56 PM,0.02,,,,
5,01/03/16 09:47:46 PM,0.03,,,,
6,01/04/16 02:10:33 AM,0.04,,,,
7,01/04/16 03:01:02 AM,0.05,,,,
8,01/04/16 03:29:59 AM,0.06,,,,
9,01/04/16 03:41:33 AM,0.07,,,,
10,01/04/16 04:18:48 AM,0.08,,,,
11,01/04/16 04:46:36 AM,0.09,,,,
12,01/04/16 05:11:49 AM,0.10,,,,
13,01/04/16 05:25:56 AM,0.11,,,,
14,01/04/16 06:08:55 AM,0.12,,,,
15,01/04/16 06:16:30 AM,0.13,,,,
16,01/04/16 06:32:37 AM,0.14,,,,
17,01/04/16 06:37:48 AM,0.15,,,,
18,01/04/16 06:40:34 AM,0.16,,,,
19,01/04/16 06:42:41 AM,0.17,,,,
20,01/04/16 06:44:35 AM,0.18,,,,
21,01/04/16 06:49:58 AM,0.19,,,,
22,01/04/16 06:56:22 AM,0.20,,,,
23,01/04/16 06:59:40 AM,0.21,,,,
24,01/04/16 07:07:24 AM,0.22,,,,
25,01/04/16 07:11:49 AM,0.23,,,,
26,01/04/16 07:15:51 AM,0.24,,,,
27,01/04/16 07:40:41 AM,0.25,,,,
28,01/04/16 07:53:22 AM,0.26,,,,
29,01/04/16 03:30:54 PM,0.27,,,,
30,01/04/16 03:46:41 PM,0.28,,,,
31,01/04/16 03:49:18 PM,0.29,,,,
32,01/04/16 04:08:18 PM,0.30,,,,
33,01/04/16 04:17:09 PM,0.31,,,,
34,01/04/16 04:44:54 PM,0.32,,,,
35,01/04/16 04:46:07 PM,0.33,,,,
36,01/04/16 05:06:54 PM,0.34,,,,
37,01/04/16 05:22:20 PM,0.35,,,,
38,01/04/16 05:26:41 PM,0.36,,,,
39,01/04/16 05:28:02 PM,0.37,,,,
